,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,9714792000.00,8454540000.00,6579908000.00,10055400000.00,9729152000.00,11239670000.00,5077690000.00,9474677000.00,5596314000.00,7536347000.00,5737102000.00,6786387000.00,6325998000.00,6450270000.00,5041751000.00,8768070000.00,4487166000.00,6160456000.00,3989482000.00,3924542000.00,3667387000.00,4208084000.00,3141555000.00,4521163000.00,4771047000.00,3669054000.00,3705414000.00,4970980000.00,5221539000.00,7304535000.00,4931305000.00,6876642000.00,7788126000.00,7050105000.00,6860768000.00,6030625000.00,4655696000.00,5232213000.00,4726217000.00,4788902000.00,5269217000.00,2980114000.00,3850877000.00,4358181000.00,3101353000.00,2923034000.00,2584616000.00,2883699000.00,3054432000.00,1913165264.86,1082353973.62,1544308648.55,2016875894.55,2878036210.16,3762775982.99,2695907159.30,2828223006.54,2944749117.28,1876973374.20,836007074.06,1483165608.09,840276806.18,567779679.91,464811356.02,706133085.57,350706687.39,372400195.98,691059107.77,381899506.88,343602536.98,388127339.48,0,391217505.69,264908983.12,228708792.06,139386711.91,417386045.47,241337574.08,81949086.86,102263531.45,372497908.68,0,134959260.60,0,99584191.53,0,113247034.36,0,21496853.53,0.0
3,交易性金融资产,415503000.00,179813000.00,207113000.00,191011000.00,193676000.00,204179000.00,205580000.00,634080000.00,194880000.00,185734000.00,187117000.00,179662000.00,141160000.00,178134000.00,144998000.00,173877000.00,133294000.00,187686000.00,242877000.00,496284000.00,427669000.00,381729000.00,465698000.00,293457000.00,459679000.00,414523000.00,160570000.00,371760000.00,405092000.00,282770000.00,378440000.00,253949000.00,186134000.00,393117000.00,385256000.00,545731000.00,525661000.00,506575000.00,207525000.00,202748000.00,91772000.00,98522000.00,91181000.00,139192000.00,386553000.00,848830000.00,667680000.00,1369305000.00,924340000.00,912231388.10,740282438.74,531067001.47,181096875.30,312691334.93,218432844.58,189896282.57,379258487.64,113632146.17,104078359.82,194629252.09,140081401.50,197751044.01,206967947.54,141838248.51,168774786.99,120932440.08,121343020.20,16468187.72,16468187.72,59662249.76,57375031.19,0,30918267.58,29752613.92,0,183082797.31,115603520.52,62456168.34,218095.73,15089825.66,0,0,0,0,0,0,7297793.07,0,2225026.94,0.0
4,衍生金融资产,100980000.00,110859000.00,69167000.00,85692000.00,49055000.00,6430000.00,7645000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,19031590000.00,19717968000.00,21571806000.00,20187216000.00,19319466000.00,20162162000.00,20100651000.00,18363671000.00,17773590000.00,0,17467268000.00,0,13062266000.00,0,12332536000.00,0,12036681000.00,0,0,0,13072159000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,636619000.00,1275366000.00,1160380000.00,0,1423547000.00,0,0,1243520000.00,1376864000.00,1084367000.00,1096250000.00,1418463000.00,1536191000.00,1160936000.00,870776000.00,1580862000.00,1369632000.00,970596000.00,1136808000.00,1325706000.00,1591694000.00,1570466000.00,1470135000.00,1488325000.00,1376286000.00,1231500000.00,1246167000.00,768907000.00,778109000.00,551734000.00,557965000.00,808753000.00,1030528000.00,760128000.00,430591000.00,410240000.00,508585000.00,3216064000.00,2840889000.00,1517036000.00,1690845000.00,424361000.00,391512000.00,482220000.00,853406000.00,631030000.00,610538000.00,389579000.00,757747000.00,176728210.27,184620220.43,62460596.38,205284400.73,124070287.39,82785716.93,29551778.25,41527049.51,32442039.98,23082502.02,5014957.04,22371154.06,11730721.63,14599043.54,9981918.40,6774788.90,3749999.99,2192000.09,2000000.05,3898198.00,1598197.98,0,0,0,0,0,0,250000.03,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,18394971000.00,18442602000.00,20411426000.00,0,17895919000.00,0,0,17120151000.00,16396726000.00,15546184000.00,16371018000.00,14154592000.00,11526075000.00,11340996000.00,11461760000.00,9987936000.00,10667049000.00,12853171000.00,12778123000.00,13048266000.00,11480465000.00,13939475000.00,14079494000.00,11413985000.00,10066489000.00,12185885000.00,12725556000.00,9533327000.00,8238033000.00,8115505000.00,10349376000.00,6863942000.00,8110784000.00,10608593000.00,11953665000.00,10795299000.00,8129836000.00,12548035000.00,9452740000.00,7039281000.00,3862604000.00,2892409000.00,3107087000.00,3594503000.00,4193731000.00,7860706000.00,9814151000.00,10153083000.00,8899769000.00,8588150254.92,8926396321.74,6968012557.38,5184079015.40,7119546258.51,5708791929.72,3994786402.70,3449826569.01,4786736704.72,5811966887.95,6536290854.49,4890512079.12,6078891776.25,6221886708.05,4584486813.53,3242822831.21,3378383245.41,3222522604.43,3187874983.27,2501874411.84,2688864373.38,1987814922.54,1364443000.00,1116179813.30,2446517209.54,1759218087.94,2805313051.71,1981558100.40,1646175199.73,1082692842.92,1494492961.24,731675089.72,0,534980739.22,0,350715688.21,0,222118522.50,0,83325373.57,0.0
8,应收款项融资,1236504000.00,40918000.00,40918000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
