,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,126605385.90,82755582.11,115963175.08,91196019.55,128565133.29,146894258.76,120738311.62,215536055.23,188752887.31,188201279.09,170095770.06,134348008.80,109856826.37,96306889.65,80401811.56,90934494.58,88959465.93,57020720.59,74793661.94,56528758.53,75510059.15,119622851.82,88038913.24,42626201.74,57044262.22,52459870.39,123784127.43,128107528.03,158651720.21,223694999.12,344517059.33,510438470.00,606263751.03,655328151.25,727729558.24,611811809.20,551124663.58,605912680.22,482092152.22,846043502.52,603610055.84,857455642.83,892138391.73,851551405.23,640177886.00,789813792.56,927636405.54,783403093.55,779935289.57,327976001.08,181340491.88,295226171.93,501845895.63,143180091.50,328394340.43,575581645.08,676267497.09,583835912.82,660523223.65,682467700.94,669113272.24,710671620.95,692230122.96,637003304.77,611601118.12,547830433.41,485201629.07,576324863.56,579482794.05,567723570.85,563525176.24,532028272.75,442677770.67,449628318.57,221839311.02,463631150.90,455888992.99,493968368.39,376122868.70,293309194.88,201877475.69,0,244720672.99,0,126235872.27,0,118958863.87,0,61450023.53,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,29853062.46,54246308.54,32425894.46,33965015.31,41998145.15,48285204.70,1191982.82,0,0,0,0,0,200176183.34,0,0,0,0,0,1501125.00,1501125.00,1549481.00,1546520.00,46520.00,935607.00,935747.00,933082.00,233082.00,217360.00,231350.00,15413484.00,7239340.00,19256180.00,40000000.00,10300000.00,10300000.00,7500000.00,0,0,0,0,83650620.00,0,42000000.00,0,4340000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,51569666.07,55673355.82,64407477.44,82671333.45,77393158.38,142363142.97,162768117.01,177376943.93,175762325.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,27205019.07,19008422.20,24874780.94,28881423.15,37862880.46,89191162.84,81747519.84,110726601.70,66976614.61,76647749.30,81470637.00,74349063.65,84927140.44,70534977.83,55169680.32,42706473.96,42828324.95,44391782.46,81463103.71,49943935.83,80929653.99,49972675.94,72917477.00,71675782.14,58074805.39,24537707.84,7378754.91,29328000.00,43077936.20,29460511.54,72839183.40,98320084.00,105037005.14,137986364.79,143630918.04,280950553.84,357642318.43,160690311.17,142910414.63,369073410.84,268857756.69,321902298.65,257365133.75,257845188.42,243556129.01,221866151.00,215015370.75,232705312.52,209822127.56,172926354.19,221753272.58,192785956.60,203133467.08,135056096.35,56775396.79,111398665.33,70075233.91,119592239.71,61659000.00,103175520.00,102737003.26,53225000.00,27305250.00,28174325.21,60102772.21,13330000.00,16918600.00,136564721.51,112342856.00,105967031.00,99223357.03,119729598.56,122004025.66,83771737.40,26822000.00,82508887.88,37312500.00,28880601.06,10129800.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,24364647.00,36664933.62,39532696.50,53789910.30,39530277.92,53171980.13,81020597.17,66650342.23,108785711.35,129740201.62,158347878.04,163044576.78,169726266.42,188539566.86,198616410.25,201997852.77,198025349.84,197115909.01,183955856.07,194764980.38,152251139.23,161052566.83,141451781.03,156646222.56,160787965.45,214032884.49,259132849.88,265523714.14,297623615.89,268005649.50,294553190.11,261083406.81,220154802.48,226465578.74,325662932.71,291779797.63,196089487.72,221956425.23,185278341.44,174416797.61,161404372.07,213041835.44,225403610.03,197518891.75,159990114.80,167825486.88,153956640.88,204897195.41,167960731.29,197836771.06,222748951.89,223788269.94,205227450.27,234329004.69,140390147.17,206834317.11,121892326.89,224319484.54,123853934.77,86161927.08,88898838.50,105510791.08,62286136.17,53098374.45,59733235.34,96428175.97,72897293.77,78441408.21,26259029.02,53720867.55,73352195.49,84951333.82,64669162.78,77378036.22,181148219.29,4391110.11,3461869.14,451779.14,385990.60,31167750.96,27490806.25,0,16282127.21,0,42872747.71,0,27053207.81,0,52061923.16,0,0.0
8,应收款项融资,6056000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
