,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,12991687927.55,12230897141.18,15877154910.71,20891452497.73,18317495603.54,3478102839.31,5456464288.38,11588714165.97,11172135419.75,7456142733.41,10565556575.79,12280468013.38,10953167661.56,11355781735.88,15845795481.31,13291228716.25,61635042.66,85981638.20,114211281.66,68103662.39,58936958.28,62580936.31,102971076.73,329032196.77,124280775.50,104257645.07,91728855.24,55094439.98,152835788.31,87762302.18,134797083.55,117221266.30,74127548.36,140752385.62,152985499.61,71819398.29,72870447.80,113705776.09,99456131.55,169591686.38,95114459.34,153031470.72,170555258.11,256426295.22,290633956.54,319659231.52,527990435.18,507629058.95,108045893.52,69356517.67,53358442.22,84063449.71,72209773.94,41417609.82,22748453.13,24651875.40,26870594.96,38965216.99,26796739.79,16871042.63,16833054.99,102047004.08,75245376.58,30477562.06,55491160.45,63623368.45,79792883.39,73110580.02,72315909.67,201488443.60,196701695.77,160012026.47,247037258.82,208264749.78,104853903.67,47972788.46,74624725.65,82429581.02,96008955.12,23160535.18,92868352.30,0,113548808.20,436773.85,0,0,0.0
3,交易性金融资产,2211803671.97,704327152.57,0,0,0,0,0,0,4164780000.00,4475400000.00,1976900000.00,5477350000.00,0,616708000.00,0,0,0,0,0,0,0,48453911.01,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,685485.08,16081944.11,955395.31,678814.25,2377141.34,3217948.77,3183794.93,2440898.00,1873316.00,1340000.00,1340000.00,440000.00,200000.00,0,0,0,0,0,0,0,0,0,0,0,49487831.68,1362221.00,64338825.82,62976604.82,64996690.12,0,0,0,0,0,0,0,0,12000000.00,0,0,13500000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,19016965.39,12687778.39,113950662.58,95999138.27,85070685.48,68659682.74,87165485.73,72333871.04,71206867.61,35153186.39,51961742.08,58148971.66,39184607.54,47699444.36,45424820.23,62226502.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,6655620.38,0,24847605.01,25091322.68,19200726.42,10358294.00,6680250.54,960154.00,3815319.20,1767210.00,6492656.70,2882217.50,72000.00,3244808.60,8519298.70,895667.79,2296534.00,6035603.20,4573327.05,12183058.32,36288266.09,3930135.11,11832278.86,9507828.00,1629919.50,3647412.00,3855624.00,4683212.09,6287398.95,11013802.20,11728848.98,10204184.48,2280000.00,4302350.62,1368250.00,9066462.11,3264651.40,18838563.80,9473217.90,7292369.60,3680495.80,4031849.51,6063876.91,9321906.37,5645192.05,10035663.29,3993463.50,4792347.49,6221963.47,5342091.93,6258250.99,5992189.20,1591717.72,2037410.35,3696178.46,4307928.59,4442492.23,3879600.00,3009600.00,6136727.00,6921800.00,7565530.00,6413210.00,13250500.00,14790943.09,4818743.00,3756000.00,922232.00,1835000.00,0,200000.00,0,1010000.00,0,0,35362.68,917835.00,420000.00,250000.00,0,560000.00,0,0,0,0.0
7,应收账款,19016965.39,12687778.39,107295042.20,0,60223080.47,43568360.06,67964759.31,61975577.04,64526617.07,34193032.39,48146422.88,56381761.66,32691950.84,44817226.86,45352820.23,58981693.66,52217902.84,49514550.64,48614596.49,54387186.60,36617512.21,45959062.97,61687185.08,57546903.15,65493119.40,61719509.47,62596501.26,68113642.12,66458536.07,62011457.59,79400645.33,74484380.12,73571793.22,81571080.25,72079098.34,81331119.43,67526064.17,85394951.33,92965135.03,78219843.87,59677158.91,77325272.85,78561879.65,54280305.92,49324137.93,61957310.38,96274206.91,88652702.33,73210072.45,75052347.58,86204124.51,74795902.34,71266786.04,86356069.70,94077367.71,72419020.76,58063499.70,60680682.84,57885386.97,56837860.86,48718250.04,53263175.04,72096277.56,84814359.71,81266581.77,86523942.92,91828959.90,91914614.43,75599780.06,66471101.91,58212699.76,60333798.14,50630801.16,51413350.69,54923450.92,52355055.39,27935197.70,23796597.34,16690994.76,10909793.87,10181639.21,0,3057363.73,4387015.82,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
