,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,3709605976.48,3444833061.36,2589975269.80,4108126956.43,3030996515.39,3014168335.59,3033385071.63,4420659256.48,4137912823.05,3710394042.38,6372347729.01,6250445599.32,4070601837.19,3060896934.53,1235593552.77,2291805058.47,2083720715.60,1333879977.13,2704283511.69,3068923946.73,1912052396.95,2423615125.60,2182432095.97,1910071850.01,2020015635.50,2382128496.97,1333613067.20,536031684.65,627042245.66,533134281.88,377452266.46,474384750.93,401455053.45,338536674.07,576029156.35,376717321.72,435202654.87,662052754.67,392195499.23,176506821.45,705415877.68,707010177.87,392164518.22,418876472.99,532694126.34,378617402.33,379174290.54,328063935.36,382571859.47,767742757.04,739160187.95,299079238.96,504536535.40,369205946.34,430208997.39,199087244.03,406022615.48,341189888.72,341989053.17,420411633.10,561671986.67,706605999.17,742088442.02,686351094.29,548889109.97,548020506.43,629005876.75,568426621.25,492992772.84,498714476.23,464707621.98,441245214.92,390175350.10,339236761.94,217898406.18,263556544.10,250350936.73,164195944.12,95235802.14,87788189.79,0,17494726.00,21940562.00,1431011.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,14632331.00,14632331.00,43499337.00,63321963.00,81169885.00,0,197208931.00,187962601.00,211536917.00,251993489.00,260534466.00,278369957.00,312919640.00,331322292.00,351662182.00,304035197.00,301776593.00,295584370.00,247548844.00,171613790.00,169372149.00,181575335.00,169853631.36,167163736.32,244808323.20,98034827.36,0,0,0,0,0,0,0,0,22630.00,4015894.43,4015894.43,4010854.43,3527749.21,4749310.90,7023968.20,6973298.20,12979622.04,14543580.92,14570038.14,12887815.40,16072865.21,16303773.21,14841169.57,27806169.21,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3537218737.15,3703717790.19,3568569422.04,3203440508.28,3041124015.66,3121631508.82,2780439224.82,2694533697.54,0,2386179365.77,0,1929765321.71,0,1817933159.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,60937088.51,72290000.00,101000000.00,194026576.79,69761214.00,144661927.78,132646824.11,139780311.47,98935031.12,101538581.80,121207301.33,98897132.43,150994546.88,178246913.29,231856181.15,196698289.58,254263221.67,109899755.42,201843233.45,86071629.05,70983761.61,74610049.51,111222578.03,54903545.16,23514979.89,31890000.00,15753978.00,16000000.00,34828000.00,900000.00,8382553.00,14376495.13,14006495.13,21319838.59,17110206.57,33409659.24,40790002.17,7232140.00,47101890.00,26666040.00,77860000.00,25100000.00,3654315.00,60593662.87,28354315.00,33647915.00,53884404.66,52884705.16,83573312.50,47350564.12,76577826.33,25803652.70,32448335.34,63510182.82,29981971.09,74759200.00,853731.60,19640581.29,14400000.00,19800000.00,37700000.00,18500000.00,23500000.00,15000000.00,18700000.00,18700000.00,15000000.00,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,3476281648.64,3631427790.19,3467569422.04,3009413931.49,2971362801.66,2976969581.04,2647792400.71,2554753386.07,2346972934.65,2284640783.97,2040589935.13,1830868189.28,1742778057.60,1639686246.03,1485050484.51,1482986533.67,1487166392.61,1909597426.90,1491929480.75,1330072054.76,1845221417.20,2007460602.25,1921382734.99,1445790819.76,1354727406.75,1360673505.63,1709713255.53,857670056.54,724799706.77,750060907.39,703314277.81,555123329.90,438130745.04,571105596.16,455577838.87,425093280.83,434368841.14,497346470.30,616511586.72,411729476.86,319581290.03,510053107.11,464284238.38,259405555.95,295208080.69,280616421.80,367752860.81,475072406.17,284287054.55,326144951.72,384339157.92,139542699.14,154571230.42,273758203.30,262330260.59,262526786.62,239873931.95,289381713.38,209541133.00,217522191.95,261488708.73,264307783.83,243781729.25,194106187.36,238094470.73,192689002.34,197568351.33,180739428.61,183904832.57,179297200.13,212827766.20,128293560.08,257415607.27,129182406.66,233036384.75,54742175.59,147419193.07,86334862.41,159053595.16,74096983.54,0,128698439.00,25901131.00,171116375.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
