,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1001477270.82,766836816.57,572504847.67,516156676.92,1058856611.04,553518819.91,661960738.85,353045702.12,567774405.13,728629774.59,298151889.38,270335055.87,280688024.96,346063480.59,320632413.20,563990173.43,59857180.39,27678054.96,43104273.55,40312964.62,71207467.65,18272663.18,15188333.23,799879875.53,51371927.54,61094171.64,37791281.45,8045973.41,40341092.56,43084267.46,40005978.58,23619060.02,7800326.94,15436890.78,65540171.87,30991566.35,39276502.63,36774958.76,84922804.95,133688861.52,75608664.10,128550520.04,65872463.93,65628101.78,26923492.30,29923491.93,56579595.78,92995227.38,58645569.40,36480035.23,106519439.21,62740708.72,66484492.95,176777349.52,152002997.63,236604726.71,321579411.27,317486103.24,373328166.33,167767177.04,160264377.72,94390371.60,99956714.85,174136671.90,116375008.03,101838683.67,85109380.57,283656006.12,202193043.74,434388025.76,75803557.08,127394589.54,85285418.99,87360400.39,192119374.11,154644263.67,69519844.19,19548591.25,26230478.13,16448585.17,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,932631398.78,919222938.90,840406051.35,704450704.98,765652670.66,784550400.71,716022685.00,428743044.31,0,396296956.49,0,361271964.48,0,405626910.14,0,0,142467390.87,152932944.15,161278111.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,30450000.00,42000000.00,66621400.00,7850000.00,38000000.00,58000000.00,70000000.00,22090890.74,27810510.40,52800000.00,27100000.00,30300000.00,21760000.00,33320000.00,21600000.00,51650000.00,0,0,0,0,6200000.00,22230000.00,22490000.00,350000.00,23200000.00,70630000.00,103830000.00,13880000.00,17800000.00,18002548.11,372548.11,7500000.00,33730000.00,6141746.95,5200000.00,15528394.75,18603205.03,29874404.00,39127821.40,24988461.86,18589763.63,8901842.04,6747265.74,3051000.00,20356698.16,15044946.80,20778138.30,64849804.12,27828020.08,30681218.13,40325915.53,33436050.86,24961886.63,5745445.08,41635500.56,35832085.31,14345358.33,21397573.97,26464645.26,19314898.21,15482492.38,24576072.38,15002800.00,2843980.00,13705377.40,14286900.00,19140800.00,12195828.00,33074086.00,6000000.00,14912800.00,4982000.00,27999496.75,15636250.00,7797200.00,5319047.46,10696800.00,5044133.53,0,0,0.0
7,应收账款,902181398.78,877222938.90,773784651.35,696600704.98,727652670.66,726550400.71,646022685.00,406652153.57,338818304.65,343496956.49,378450264.59,330971964.48,373704886.54,372306910.14,385985668.15,351874350.23,142467390.87,152932944.15,161278111.38,128360552.35,105379346.62,111534245.15,107480394.64,54026458.11,45719917.97,54960702.18,85598166.40,149318117.17,90517885.07,74489056.85,167528037.92,110942578.84,113166561.71,160486396.84,189688916.59,124456389.70,168653665.54,158733983.42,182805876.96,181031988.28,163692925.29,166084835.09,252697824.79,182788344.51,95455335.38,125445396.68,149752516.21,179038719.23,122738323.23,119814130.00,151848821.96,170415454.93,109409280.20,126867250.44,124201324.39,129903750.40,111263686.50,124324818.28,148151245.33,132786281.34,110955883.18,148109530.63,183403174.71,111609511.16,130026111.97,133793336.58,144259453.44,130918522.72,124146004.88,125201511.53,139394140.39,115924543.06,94963493.60,84544094.90,79148766.02,87358692.67,17311680.14,45017725.82,29843458.01,30106921.15,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
