,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1725868074.04,2560843974.44,1822656113.76,2442723381.93,1343076110.58,3145063988.41,1615536212.03,2505070113.49,1723721634.34,1978530777.73,1706522720.74,2661321219.62,2004384115.65,2014696732.86,1642885132.16,1486510733.05,870740505.63,1452570144.68,880086786.35,1005331560.16,712622988.25,1271373591.67,981308010.45,853821387.91,691565085.57,1363605042.82,884610680.23,774359413.01,654727251.68,1110533511.76,824417565.38,779385067.13,410652332.67,843850996.29,595451717.99,328923557.72,410651897.98,581094410.79,575390665.97,567216186.41,502895832.71,599428684.92,432994258.69,481556819.90,402869407.44,742195675.31,544907514.10,488538819.54,427142433.67,374491397.76,349292735.82,348967560.30,489326158.42,472076494.00,621013542.28,564092883.32,476053164.60,506733859.65,423889344.61,415644213.08,350467421.49,315690546.81,309128461.10,318133685.80,295010966.31,304888902.94,271288432.49,314937506.72,356090233.94,420444814.27,304660000.00,344516888.30,355260763.57,202239223.62,227669477.22,335350410.55,52719782.76,47282837.09,57859891.83,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4674002.90,0,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,16855000.00,17629075.28,17629075.28,17529200.28,0,0,0,1500000.00,0,0,0,0,0,0,104739723.80,50000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,8598885664.86,7643006888.02,8825199988.11,6272866055.10,7202523580.23,6571579261.71,7640572177.63,5850896964.15,0,0,0,0,0,0,0,0,0,0,0,3828360175.64,0,0,0,3210965003.16,0,0,0,2663098961.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,712334083.97,789800839.70,1016207097.07,639854829.69,528887004.30,1161837487.93,1245347759.44,965969108.65,1229779316.24,1633123592.34,1459376626.93,956836494.97,503671817.70,1176921881.46,1336604534.50,991982466.01,698693941.14,925555868.58,687072684.72,724746427.28,485676540.45,589413653.25,691500017.23,545482303.44,488302539.57,605624552.66,421896514.51,387534790.46,312030286.81,513507279.78,489161973.91,586715266.72,492791486.49,553888170.35,351305306.20,366708036.35,251049675.70,216481613.99,220757062.03,166114531.75,106158554.72,127881011.34,135900266.31,188562049.38,99542771.71,157467627.39,126968673.86,173945199.69,101495241.69,133245405.58,65609575.78,64793872.81,48578101.75,45978999.26,36545899.50,24190511.13,19762768.69,23749282.22,15945403.63,3487629.80,5246331.86,3647535.02,3380827.18,4342065.02,6256602.68,5832656.31,2236811.45,4500469.68,3393904.72,6885292.97,0,2698366.60,3229551.73,0,630000.00,0,0,0,0,0.0
7,应收账款,7886551580.89,6853206048.32,7808992891.04,5633011225.41,6673636575.93,5409741773.78,6395224418.19,4884927855.50,6353135322.69,4915751225.89,5949600142.10,4466145766.04,5594331965.66,3894217587.79,4789210469.77,3637323842.03,4809548743.46,3354004874.88,4242569255.41,3103613748.36,4079260904.98,3046444154.57,3520902103.17,2665482699.72,3581685623.34,2486417569.26,3255966997.84,2275564171.03,3364381796.95,2197715520.68,3062096220.17,1995361925.38,2512525962.60,1764743874.07,2310213894.04,1503808021.67,1876858951.77,1497670702.41,1617080307.97,1268276931.44,1457544460.52,881420672.28,1266889920.79,774613299.45,1233214885.84,662723239.73,1133668083.09,499387098.96,1017404058.46,538402713.22,912520935.32,470290688.79,800372878.79,439694595.35,735671374.37,418604231.14,715209411.92,411136905.86,639972076.95,402257982.95,588461191.41,396067533.32,505768478.45,315155418.48,423081976.19,325543936.23,432958437.33,332743533.20,468300385.02,328869065.75,393250000.00,312057491.00,311765153.81,285964776.83,310692935.00,253446575.74,253044375.27,200400842.31,175108511.73,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,559531177.14,381470804.41,644639003.56,351676102.16,546948910.83,330998236.24,261437473.38,243339486.36,374927626.48,265321749.40,358191139.76,317704858.86,511633130.46,213251189.32,297273746.58,330341296.28,321878361.53,259136033.13,264326477.32,257077248.49,339616382.54,341061224.84,247695775.07,206774876.50,198731478.89,183298899.90,187934490.41,150344654.53,315827442.98,326847739.28,262071577.98,199721202.99,167406256.43,164059342.01,169653781.33,180051130.32,116233132.15,84533430.60,152065132.00,136173154.10,132180613.98,100936458.10,110892580.75,95562862.26,124135286.10,122101888.41,93164533.86,114184149.84,103163351.71,101434978.09,89656693.18,65779761.09,60199977.80,89490789.23,68841257.63,76134280.90,41707093.19,66927772.65,41319552.16,57335418.52,47302155.22,42667147.51,34151329.88,55239710.11,19817861.09,17998517.66,16209527.38,25203611.05,32645064.79,22658332.70,0,82058828.04,91209252.81,58718770.38,7360844.88,6527292.21,3134708.61,3492973.34,3085646.74,0.0
10,其他应收款(合计),133277142.84,137370599.12,287724811.47,82878867.32,71070175.65,69191767.84,106838064.32,47019949.69,0,0,0,0,0,0,0,0,0,0,0,43017698.52,0,0,0,39430217.92,0,0,0,30558840.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,6255557.18,6255557.18,779957.18,779957.18,0,780000.00,780000.00,780000.00,780000.00,3728400.00,240000.00,240000.00,0,1684800.00,0,240000.00,1684800.00,1684800.00,240000.00,240000.00,0,6318000.00,6318000.00,6318000.00,6318000.00,0,0,0,4212000.00,4212000.00,4212000.00,4212000.00,2954775.54,2954775.54,2954775.54,2954775.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240000.00,3240000.00,3240000.00,0,0,0,0,38188.73,1979306.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,131115041.94,0,82098910.14,71070175.65,68411767.84,106058064.32,46239949.69,106000203.03,55679207.50,97684422.21,29818329.33,66887423.13,46191185.77,67971778.58,36824970.85,80263178.61,62417393.20,77096920.90,42777698.52,86579497.83,56738119.44,70364509.56,33112217.92,63319891.21,44940949.29,43595938.16,30558840.15,60591671.77,49975192.04,56451203.89,40183460.47,42005444.63,38215108.41,50568118.67,18668289.95,39962927.95,26260059.11,32308929.79,23675697.57,44460038.12,39625587.48,52415140.83,39066622.88,21583235.71,24406250.35,44799545.47,17197334.92,49896374.59,25242803.75,128084084.32,25431490.42,20864295.09,26708534.07,27680272.74,19519926.08,31236716.18,25748945.10,22890631.47,14409403.02,89732612.05,65453881.85,53688231.32,18677608.24,24043955.10,56587396.85,22231669.65,23749481.51,52173762.16,25008322.92,0,19588696.79,72955158.30,53376910.83,50563105.47,43589996.12,53771196.42,64362320.78,40023740.86,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
