,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2338463069.45,1688352692.35,1798045610.98,1348909279.61,1694413063.42,1351048807.73,1553834330.44,1501362230.65,2947971819.17,1523089317.08,1687024351.25,1469129330.59,1319550622.32,1048783867.07,1260100019.56,1159802156.96,1065470448.40,895005433.52,862219382.60,643473219.94,1082863152.59,756791812.73,696538442.75,689366982.28,713348595.01,635659365.03,735223873.79,702523993.37,972313286.37,981702805.48,1126376419.83,1405549962.23,1125762224.75,1109166535.07,1484439923.68,1491823045.42,530654606.08,520741514.34,519764574.94,357197720.51,430376797.58,389910386.49,443969230.25,429411316.23,123261518.17,171709910.82,204772939.48,242253465.56,260371017.86,237254858.29,185186508.59,186165591.12,245864695.97,250589531.13,210662590.81,223472069.66,232010337.92,284729144.48,47964702.34,43530002.98,17798586.57,0.0
3,交易性金融资产,0,0,0,0,4200177.24,294600.00,0,5812130.82,772850.00,6971875.47,1132073.11,1546050.00,1382149.51,2891620.76,3315212.76,233224.79,839053.18,1657650.00,5058231.03,0,3380230.00,2984422.72,1325495.00,8278580.00,11644225.00,5513540.00,6025610.00,6419660.00,7940200.00,3054732.60,11707305.00,13599276.00,9066470.00,4469920.00,0,5308100.00,6041660.00,0,5917425.00,3663150.00,1927850.00,3146850.00,8127825.00,10910180.00,0,0,0,0,0,0,4969742.14,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,1343175.28,5021987.16,28936135.07,2520944.10,276751.86,3870.00,13434986.85,8288558.14,114551.00,539385.00,1063510.00,2782465.00,552185.85,2462326.21,1203766.77,1503028.15,1193374.49,2347571.09,2870101.00,4393150.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,4407185880.14,4394146515.56,4167882323.69,4074693248.25,4363488140.35,4384834855.66,3844948482.92,3616670930.73,0,0,2608050989.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,2469434600.16,2206622376.81,1975613749.63,2229031648.98,2389427586.94,2135920872.07,1925351691.79,1984932895.65,1884885882.96,1506105717.13,1309843949.98,1250926101.21,1245068441.61,1000299327.01,925206896.46,1235058812.00,1405511989.69,1300352621.95,1210634434.24,1265248814.44,1537759049.59,1488665971.18,1294801339.89,1206590838.02,1199365679.58,1055969477.12,715739363.93,718415083.32,748233712.39,715338663.80,605411603.41,763261883.55,1085982731.29,1013500433.29,833759789.94,805715773.09,752113753.16,476819472.88,288962204.56,436328017.15,291506516.53,264610538.03,197282319.09,242916221.84,92636956.02,61806890.96,36405428.86,77802044.07,145460954.61,114943825.13,46381310.30,53220735.80,72368894.98,35043173.48,18461450.99,17488111.36,36988705.03,32122554.36,8936691.79,12024275.90,5779387.85,0.0
7,应收账款,1937751279.98,2187524138.75,2192268574.06,1845661599.27,1974060553.41,2248913983.59,1919596791.13,1631738035.08,1592877026.19,1556446814.54,1298207039.59,1160095440.13,1269783117.05,1401983054.81,1236495990.35,1084310732.11,1146767716.45,1207214414.81,1013118006.56,931576293.43,1078856144.22,1352910618.68,1095439719.80,944215263.55,851243683.98,1095493920.38,964753699.44,706583622.45,674079638.89,765505884.31,586945161.12,469217337.89,539990723.16,718682245.61,569833403.96,509242747.26,520459396.05,635612299.66,507098326.82,463500026.87,411929222.52,412581842.70,386969406.85,364433160.43,145866634.46,221982290.11,236913337.33,160852935.92,174701481.45,264346670.24,272908356.86,163096803.86,159381737.71,196108058.52,181304645.07,109402398.63,103393084.84,145908482.86,66316911.71,48807987.21,37783823.38,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,62910428.51,53794432.25,42447414.31,49523629.02,63303735.69,39500650.00,68087805.86,53900037.53,59693592.23,41334130.83,43390359.63,37810011.06,30701928.72,23680130.89,23362472.68,23229162.21,31961851.66,23563940.97,21920296.11,17483812.73,34484574.54,28108323.30,44006062.30,45050698.97,24936073.13,36192366.32,35695922.58,21310974.01,206525919.79,243982428.83,240535051.02,268652673.71,154833676.29,108948721.53,119917884.72,83834133.49,52210365.59,39552947.14,122607589.79,21578783.37,6551619.41,7096089.63,19864379.80,29538757.84,3762328.30,5996925.93,1422440.58,6038808.39,4797814.54,5119732.53,1325829.46,1664049.86,1358510.17,2264864.93,2366416.85,4753494.73,2896993.26,1232214.34,1477142.88,1728662.18,1008969.85,0.0
10,其他应收款(合计),83419092.27,65666108.94,58729091.94,86684469.12,72122338.05,58127362.64,94038749.70,94217727.13,0,0,86463874.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,24456.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,1250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,65666108.94,0,86684469.12,72122338.05,58127362.64,92788749.70,94217727.13,75271276.25,67249961.29,86463874.67,74631344.83,73288442.22,62150246.07,78364333.14,74845797.74,44166070.88,35661824.70,40865297.33,92205312.58,37252511.97,24087691.90,33988777.59,33320309.10,33477394.00,28744162.32,40012015.78,18732892.36,36159270.03,19222520.63,32050752.29,17212562.10,29837382.78,18024049.55,27813909.43,20287849.26,23013929.24,23043508.68,19900534.83,8543685.97,15774692.01,13649444.05,37092819.98,23475515.97,3117265.04,2434669.65,4473739.35,2029404.70,4838388.36,2616312.41,3018483.97,1098799.76,5882313.52,2503844.58,3344644.34,2154216.43,6933846.53,2146137.13,1917059.25,1645308.13,1266808.39,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,1844960593.43,1804997672.73,1883178902.29,2026869790.61,1945131933.89,1811275553.64,1909199052.28,1856573695.35,1539403153.59,1188656192.60,1220941192.72,1204314003.68,1064627522.00,1028340732.87,1233670127.56,1184568214.63,1170771121.82,1067127210.78,1222117213.21,1150279699.56,985244228.39,925141839.22,1064352351.77,1056719945.71,952574488.98,1000543566.57,1146201076.97,874834323.17,798859617.41,809306483.80,941989152.05,835130452.37,727861486.18,722656611.96,828727354.03,755885173.02,723161596.61,742716533.41,769018170.22,573370327.70,524836210.91,509984488.49,603432914.99,622839694.25,173735806.09,172812929.07,177930596.96,156300448.70,120068408.95,113020084.27,117018876.30,112002460.22,75788304.68,83173162.28,98839452.38,85550021.39,77552886.46,88263760.83,87861252.41,61416995.40,37557261.37,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64500.00,78377.39,156754.79,235132.19,68507.92,202909.24,254929.47,482751.75,348901.75,173690.12,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,1009750923.69,1470288950.34,1672989630.20,2097861658.08,1440584866.08,1469229689.59,1588876262.61,1646692796.53,280779217.66,33192321.12,108681767.13,344878658.62,369605312.44,719536127.00,447962238.23,493988859.97,96404179.55,177499137.30,432159340.79,433371196.50,472222579.24,316827033.82,20432565.16,30270161.30,28054983.34,30408496.16,37393895.88,36289786.56,163446.60,340188.15,126317.50,303692.50,0,0,0,0,0,0,0,0,0,0,5211940.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,9748033162.77,9482268359.33,9652209108.48,9687063018.79,9583521006.58,9114315389.26,9072419670.66,8783518106.88,8381769369.05,5923585715.06,5756748118.08,5546113405.12,5374559721.72,5290127432.69,5209681057.51,5257539988.56,4963085806.12,4710429805.12,4810962302.87,4538031500.13,5232062470.54,4895517713.55,4250884754.26,4013812778.93,3814645123.02,3888524893.90,3681045458.37,3085110335.24,3444275091.48,3538453707.60,3545141762.22,3772927840.35,3673334694.45,3695448517.01,3864492265.76,3672096821.54,2607655306.73,2438486276.11,2233268826.16,1864181711.57,1682902908.96,1600979639.39,1701950836.77,1723524846.56,542380508.08,636743616.54,661918482.56,645277107.34,710238065.77,737301482.87,630809107.62,517312940.62,560722834.42,569839389.71,515214332.63,443049061.78,460273880.72,555028874.06,215341711.08,170546546.51,101368527.53,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,50000000.00,50000000.00,50000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
