,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,115391957.86,18663932.86,49047276.02,28135329.08,26617037.41,130059242.69,65115139.54,262550886.23,189311877.56,111355234.80,287873854.77,37076063.44,29284160.57,39460536.86,103719413.91,110333871.81,132532699.74,69430511.26,278935130.22,42329053.04,52696628.18,101923660.36,300210965.00,286737849.52,270631265.48,314164653.44,246986614.39,325267815.97,385911353.23,646635701.50,224718703.41,430606689.59,622688813.82,419660643.08,583603415.21,774178012.28,58141226.85,104250347.35,91463345.24,179813774.68,178725095.05,274135568.23,175828557.26,186081322.74,9238982.73,22472143.81,10084319.88,51883095.86,36062134.56,61453212.22,69615992.04,177455.13,10447644.89,10100417.41,1859363.29,4212574.58,0.0
3,交易性金融资产,0,0,0,0,18514655.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,80566708.20,98649336.54,111174489.96,124105781.47,117904126.49,89783300.69,231765891.83,333649084.42,373272870.88,586434017.71,484660476.46,467183451.77,0,531476233.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,3429834.91,2479000.00,0,3426407.92,2096651.00,29468111.95,85409074.85,348499829.76,29943978.77,27636307.72,47364415.38,45852075.43,1454200.00,6269174.60,5447827.63,6461656.63,3279621.49,4047112.07,67457900.00,56009656.00,41487870.00,45879679.03,64486500.00,83294010.00,3505600.00,5079815.00,9855000.00,11808800.00,2845000.00,8163260.00,8047874.30,1700000.00,2670000.00,1070000.00,6490087.24,2493672.22,333831.46,2779800.00,1593173.75,1064462.18,1568305.99,0,371650.34,7964000.00,0,250000.00,0,0,0,0,450000.00,0,50000.00,0,0.0
7,应收账款,80566708.20,98649336.54,107744655.05,121626781.47,0,86356892.77,229669240.83,304180972.47,287863796.03,237934187.95,454716497.69,439547144.05,445365864.37,485624157.64,368204516.96,304897297.29,409090475.95,368061161.32,294665044.27,393375167.00,408013447.64,497646774.29,449780504.29,388890432.30,331038180.12,235993212.94,114785265.91,110280667.91,114336912.18,125478506.05,99398385.02,96931726.60,99336795.81,97622666.72,93974450.55,84797457.48,99701143.70,95688629.93,98884536.48,78987076.61,80244964.69,78211791.06,57308501.25,54561466.99,64169040.72,62584745.84,59817975.41,58389370.42,56401514.47,44971720.82,54250632.83,43160088.66,34660573.26,30352341.71,19815466.10,21424900.35,0.0
8,应收款项融资,16038810.00,145800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,48137702.77,19725606.43,26932945.73,15537396.91,12158049.16,7810769.45,50376723.15,44331155.34,112806393.01,73792977.66,94108933.24,83329360.01,47341717.80,54646584.38,46936743.96,42502741.95,114308815.81,55694421.99,65635662.22,9949902.35,2967242.74,2538102.02,48780104.41,7157196.99,19823678.26,2124370.75,4456342.07,2328848.79,10005117.35,3926876.01,439224467.67,428567892.80,424315650.94,346548479.31,271787160.37,313127015.68,219501413.93,169061801.96,152048323.60,169757669.10,129751812.04,129596004.97,114879328.70,90075295.68,54675290.23,49530372.24,65341383.42,39969115.50,104148805.80,90255999.32,56274951.18,34708311.64,29760673.17,24053277.01,20023542.60,24701708.50,0.0
10,其他应收款(合计),12971570.07,8457426.10,2491913.77,20568825.98,28815168.37,28520603.24,28096022.68,28401196.00,26515246.82,28365641.61,26289739.47,22317640.49,0,21605658.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,11446.20,20795.54,0,22937.91,0,19628.05,-13574.98,22861.73,17255.99,24889.57,24106.55,185857.11,24997.98,46500.36,0,51080.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4830888.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
