,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,333373749.28,454176889.02,648053781.12,749630841.74,593651316.20,608775858.03,354896704.13,346559958.83,271867668.43,169885764.15,93371104.05,67402733.52,373241440.83,841112159.29,77050404.51,406626084.56,219108893.78,232537285.37,329004121.91,361903081.98,198278799.47,287240528.75,310966045.79,348805584.96,320022292.67,296420620.75,356068356.76,382944918.39,335712920.51,346178624.01,429161845.97,489144502.08,413943758.82,467594259.68,549010935.68,634070522.56,131989176.46,195654845.58,181561611.96,245936796.44,122759612.83,147430856.98,151459910.72,191955664.11,142146237.84,152442480.08,164234379.62,191592763.50,213172696.55,37028075.51,61427090.77,33334026.29,20776756.68,12104397.99,16663916.24,6481856.18,1432478.35,387456.87,0.0
3,交易性金融资产,11723863.21,51989153.76,50594816.10,47111134.92,49982420.80,47678158.48,46540089.58,52697854.32,47157228.16,81624060.00,108896861.00,99371765.40,0.00,20920.00,65793920.17,0.00,48461718.71,355715.38,101136471.24,0.00,5124225.72,73769480.30,0,0.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,6816700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,394329978.73,389739250.29,393646505.78,404200072.52,381966063.36,345726292.01,277708796.57,176850436.86,0,128948593.77,0,118267329.62,0,111223651.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,42661277.39,40384480.63,16492733.46,23953061.52,35249786.45,20846510.36,1200800.00,622056.20,1578369.34,300000.00,3556297.11,3178756.57,3440000.00,4800000.00,556587.50,859530.00,3246880.40,2559436.67,2525090.00,4601040.50,5207870.10,7394000.00,11504404.21,8504750.00,3024401.10,3775000.00,5102000.00,2790888.74,900000.00,4072020.00,2562110.00,5467752.49,7140173.40,6543750.00,9512505.80,10178660.00,9250275.00,6259671.00,7264401.00,7531195.80,5986531.00,2555930.00,2554950.00,5239000.01,3860000.00,3677962.15,5088600.00,3690142.40,465000.00,630000.00,2795409.38,2796200.00,1900000.00,0,1304116.00,0,0,0,0.0
7,应收账款,351668701.34,349354769.66,377153772.32,380247011.00,346716276.91,324879781.65,276507996.57,176228380.66,117928175.84,128648593.77,100101200.99,115088573.05,94287182.80,106423651.14,100153299.07,97332332.67,90960780.64,91278804.18,100219281.67,130024537.39,150609663.46,206551735.71,202253680.70,213045985.62,217007659.90,219247176.81,179989945.87,185975182.95,214076432.42,197183114.21,170879520.03,174847378.38,222082519.44,211093712.00,177056345.83,185658248.30,219570626.66,194535809.23,150468747.62,157415774.10,170241307.58,151617578.29,133530328.61,137929325.20,127590508.22,113154559.89,89513785.82,88163649.38,98010764.23,81333433.45,58124208.89,52902598.22,45619658.30,39714989.18,31005475.24,20032617.07,6825869.89,-168031.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,324925766.40,238632376.31,182490435.24,131852766.57,221861046.76,192199965.40,128357835.59,75875899.06,2128071.65,1454585.20,359497.63,248248.60,1547213.96,1982667.25,6609579.70,1965369.42,43255080.99,2302794.36,12636505.20,11315321.66,53151631.18,35425958.10,32633608.69,23388291.82,33942877.33,42611484.49,44866491.54,34301039.81,67814591.74,86404209.60,93653694.32,73155506.13,99924198.84,80488076.51,68978312.41,65224985.48,54315197.13,59150070.68,37127677.40,41294019.21,43742224.34,52967859.54,48716450.63,24243689.47,22422089.14,23874703.81,20877500.83,13249316.05,14661861.47,10486584.48,22313013.78,21451816.90,22957127.74,4264338.09,1124446.98,3778328.18,2123978.49,893869.75,0.0
10,其他应收款(合计),86198591.15,177257816.81,189004680.70,274033329.43,292158862.73,354371564.40,228053232.65,40244841.26,0,18386568.52,0,16039353.71,0,6688843.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
