,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,100837502.97,74194135.74,75667960.95,113861630.80,109192391.09,67916846.85,83061953.96,134077374.38,90867196.34,120231838.95,88035476.11,88097183.59,135058511.36,250566801.21,114941207.97,205259114.76,245606117.09,237673194.26,182142022.77,233919541.61,222717279.38,236128355.40,444274901.42,79492679.65,19908064.01,46388434.12,20927622.30,35748926.82,16651164.16,15986315.52,54809260.31,41188084.49,29694982.61,34604222.51,82019467.62,60938071.81,75267379.79,83268735.83,102757164.28,128165069.19,109298099.25,124870771.70,129887865.21,165064672.83,149390220.28,148890259.15,147857021.45,29825467.95,15370831.85,8497104.02,28171516.74,18387824.71,0.0
3,交易性金融资产,0,0,0,0,0,0,0,239342.47,0,0,0,0,0,0,0,11342.47,0,0,2067397.26,1524931.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,592196812.16,577992523.61,470979048.54,469814323.65,492307259.55,483661999.20,436743561.01,451423574.27,0,453427611.49,0,391413050.04,0,462255131.74,0,0,0,0,0,0,0,0,0,0,290037677.84,0,0,248014804.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,31638000.00,77374000.00,71215300.00,66629906.90,35573000.00,49058000.00,56164360.00,48556360.00,8322700.00,35834100.00,34981557.65,32207903.52,28134448.80,37224760.00,32967800.00,30113800.00,1000000.00,34530000.00,45910000.00,39430000.00,35710000.00,32382000.00,42900000.00,38520000.00,3670000.00,590000.00,16339599.99,9000000.00,0,100000.00,4238880.00,1500000.00,0,50000.00,50000.00,850000.00,0,0,0,1400000.00,0,300000.00,0,3000000.00,0,0,500000.00,3000000.00,0,0,0,0,0.0
7,应收账款,560558812.16,500618523.61,399763748.54,403184416.75,456734259.55,434603999.20,380579201.01,402867214.27,447121062.60,417593511.49,361248116.84,359205146.52,389534270.14,425030371.74,409813839.71,401336088.69,440799284.12,410265713.37,351674680.09,367444668.64,351139598.97,273304869.42,211333995.78,222393978.08,286367677.84,253173823.68,207651410.91,239014804.01,222230861.46,186280633.06,165186296.72,205973283.78,208413696.73,169193018.41,131476572.20,169641380.35,144210121.75,123017459.85,98672944.85,115302812.99,126307621.69,107934477.83,81174391.53,87105206.19,105636747.60,77491091.31,57336600.55,52367754.63,67918222.30,76117388.01,50185194.33,26438801.42,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
