,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,932617433.46,804226539.79,701419938.61,934599775.56,989653930.88,761320509.11,722729820.87,891432947.99,1205864234.87,1488696314.46,1453916985.17,1592700227.80,1607574916.91,1537571512.30,1559429789.12,1526599057.18,1631593371.36,1459944012.93,1370461982.46,1300021770.96,1246751990.42,773474179.78,713951041.51,702311030.40,674751986.92,632566120.59,620181228.39,564468671.00,580646403.27,558152927.87,512381059.60,592758160.43,571710635.67,612994960.55,496096569.81,546422165.76,741639396.61,651340139.37,678611956.05,688497471.62,659543667.05,701543385.30,646082433.79,633997128.64,586203696.15,556260611.05,636951146.19,245685411.40,218187750.95,151638373.67,162302068.46,0.0
3,交易性金融资产,548000000.00,565000000.00,674000000.00,628000000.00,570000000.00,710000000.00,700000000.00,656000000.00,342000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,94903928.54,99534411.71,101136456.92,86329414.18,63001064.34,80205428.07,64278663.86,84486481.20,56868524.67,0,97614062.94,0,42750618.05,0,45319767.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,306418.00,2126286.00,1819868.00,942700.00,766000.00,0,0,0,0,160000.00,0,0,0,320000.00,160000.00,9828219.00,4403800.23,648000.00,0,324000.00,361691.46,0,505733.71,505733.71,0,125962.20,125962.20,0,0,0,0,0,0,0,637740.00,637740.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,94903928.54,99227993.71,99010170.92,84509546.18,62058364.34,79439428.07,64278663.86,84486481.20,56868524.67,101654348.04,97454062.94,77315539.83,42750618.05,74891876.69,44999767.32,70182781.39,53719270.91,79491169.76,50725686.04,67944106.53,38886477.68,52827230.52,53282611.28,46573353.78,34539050.76,43811042.48,26677160.94,46557790.72,22511231.51,17571920.68,36237364.97,38763378.10,34689720.09,35117862.90,34761143.32,34155457.76,12426953.21,36974520.87,30533338.83,8704200.39,5358190.95,27934906.49,5818371.83,21713807.33,5300774.78,6115125.28,2434923.97,480568.92,1590882.96,43335897.02,2525477.87,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,13034062.03,41881610.52,21864245.52,28657944.76,17758223.42,33022847.31,30537049.65,23508413.28,18423523.37,21529627.55,21772187.59,24267545.46,22623104.74,17739931.27,14983196.82,12530122.79,20966766.19,10013133.79,10949829.18,14404406.83,10264878.70,35576505.16,34087150.65,34543368.36,20164762.52,24027084.66,24254583.99,17056521.34,16044833.31,30830696.26,20753438.31,20258558.51,10616693.50,85830571.40,13104360.14,22482759.31,15148458.96,15682660.12,14225187.38,15152629.75,7041660.23,14976935.14,17345035.00,19567920.49,17946919.97,22510756.73,21109544.22,10548290.16,10930216.97,7874718.71,15410791.51,0.0
10,其他应收款(合计),22443219.72,21480659.08,34992771.57,29749513.05,26674834.35,42990614.34,34093061.02,32078885.90,24800343.94,0,26025915.27,0,20122907.02,0,25131608.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,68676.45,68676.45,68676.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,22443219.72,0,34992771.57,0,26674834.35,42990614.34,34024384.57,32010209.45,24731667.49,24008600.89,26025915.27,23933414.19,20122907.02,32243564.00,25131608.88,20602278.02,17721049.16,15170146.25,13955016.02,20666584.88,12960611.24,20151636.99,12428069.25,12960250.83,11700594.36,14175610.09,12118382.63,11580012.56,12747090.32,11153087.92,9873692.88,10172003.54,6774830.64,19083422.74,17766514.43,16960999.43,14069550.87,10123517.89,13703910.17,10961081.33,9035685.55,20835446.95,19579794.57,26759795.00,18855802.01,16769800.60,15454446.07,23463360.44,14562932.08,126849507.25,128943163.20,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,28407158.54,26896159.77,33423151.56,26282711.73,30214162.97,28020782.52,24764816.92,25099255.32,22156328.66,14937262.12,19703957.15,13853210.34,17442241.34,19071413.71,19725184.43,12852088.47,28895637.12,311444.50,8882326.38,9199197.37,11777943.74,287061.68,1249105.35,636173.31,606571.50,1535791.98,2154695.41,3101327.00,2730533.08,4007547.08,4184827.61,5664338.77,5456836.90,7174452.44,7678066.82,8374556.17,8601073.97,2052851.84,2639175.15,11782312.26,13118923.54,16218290.22,19377497.89,19649881.16,17490720.32,23573560.09,22235883.67,23270037.99,22942852.48,28946669.92,16918618.09,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
