,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,298830045.43,224164814.65,815280399.54,82562273.97,777935333.93,660993801.22,591115889.84,565916200.12,623682907.51,562326791.87,529386099.94,453486435.92,416004285.30,437600199.20,503511178.27,447355943.69,495193214.28,625886549.45,516261025.09,261615455.95,171909313.75,117203867.50,397064295.49,224220406.56,343093758.00,340452664.37,902825045.37,535751393.59,666807148.34,469009898.15,556459977.44,851674253.92,981047439.88,1332717860.53,251330603.32,202869140.29,494479944.65,476911296.50,575239658.60,109694572.50,101352038.87,40867500.93,89934696.47,169933024.19,137485156.94,90064174.62,42397512.08,165754125.80,428893198.44,467300539.86,0.0
3,交易性金融资产,87000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,4765532.19,3967473.16,2377067.17,2377067.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,96388411.40,153928674.05,137770107.99,160978352.52,163932214.27,207821491.39,215210808.40,223365109.94,188233528.31,0,249726083.06,0,185549764.87,0,199335874.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,14118626.57,13482859.22,12028704.10,37803301.28,10046500.16,11601799.20,14669728.04,32528045.14,19152255.62,31469716.60,37433658.95,34937056.60,6900412.05,22868315.52,9318605.14,27764385.69,10106100.12,9831963.61,9436345.06,111191558.24,8965257.70,15860078.73,47388444.95,177898250.00,25536086.07,27731635.59,12689774.10,76303207.91,26911056.03,31999948.78,23017458.09,137795269.05,13806831.45,5280264.01,13169962.48,40912043.74,9898505.20,21376430.81,18139330.10,9493847.35,7634635.22,12352280.15,16803928.89,15808338.16,4656820.00,2955730.00,4972448.08,102199432.40,566987.32,0.0
7,应收账款,96388411.40,139810047.48,124287248.77,148949648.42,126128912.99,197774991.23,203609009.20,208695381.90,155705483.17,235346138.71,218256366.46,176772315.69,150612708.27,221404447.86,176467559.23,156809124.44,131464289.29,192687147.19,181889950.58,102540406.35,77963283.56,155587559.14,131318075.86,116961463.20,66086343.45,147455972.20,105721901.66,89416657.20,58625507.93,220995820.95,185678411.98,191941641.20,73017173.03,133684669.23,124066896.14,121037058.02,108181329.45,198955525.55,155464863.35,117142112.68,131269701.22,128601782.30,91108119.07,62624571.26,70205741.07,57314417.08,26019082.05,51216852.50,53026139.91,25434385.73,0.0
8,应收款项融资,48152342.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,35199885.31,77115826.93,47930299.31,41743930.75,7954210.33,131537423.33,107130084.22,81154266.38,19086923.50,48060945.53,19196955.01,20989644.10,13280302.04,34794745.65,25825756.01,40341814.14,9256593.72,26007003.68,39176741.02,161005261.46,97952995.15,161335087.28,182728782.85,131085495.52,65916279.79,88614967.40,259412853.79,216014910.11,160555734.47,347785531.57,276380464.77,227411484.56,110646210.43,126328928.47,111828811.45,101151777.84,107460165.49,78878654.80,33767738.84,39707990.02,38451785.90,14583512.04,15628938.06,6033464.90,36306389.09,59378884.49,68341619.55,70979593.73,51617230.17,94963530.18,0.0
10,其他应收款(合计),3230266.37,1417046.37,15772575.76,754138924.96,797147309.88,20551497.83,15594281.60,12523991.52,8887365.31,0,103637610.22,0,2048684.82,0,12425323.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645395.22,645395.22,645395.22,645395.22,1723395.22,1723395.22,941923.00,1279446.50,985478.55,1010713.19,5032607.16,5032607.16,985478.55,1113358.03,2195024.70,2195024.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,3230266.37,0,15772575.76,0,797147309.88,20551497.83,15594281.60,12523991.52,8887365.31,29094444.37,103637610.22,3578203.00,2048684.82,15627793.14,12425323.58,54734536.98,42333642.53,37089071.07,37958942.61,51239425.95,47121334.15,56361713.33,26546703.16,29428036.34,30101710.41,8891025.81,7470890.14,7922982.44,7211632.11,66921674.87,15756496.13,10736404.08,30628251.34,3557371.35,3867079.37,48636614.65,3402496.29,15830989.36,10016179.92,11439640.68,20988100.47,12165661.45,55932178.87,2446663.68,9116779.22,13510688.47,49345236.21,11186634.46,45758315.67,6802604.10,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,154173469.53,161256539.30,147135858.14,163406059.12,153657412.90,221217062.84,184157501.06,199114845.06,187951718.03,192711778.06,201820911.43,212457527.09,170909580.22,195366624.89,212041401.05,193396166.36,195975696.74,292297777.85,280997863.17,243568643.91,223767905.36,277163084.03,273078360.54,302870432.09,264413102.23,423565541.74,357769041.43,402068274.98,334149576.19,357089871.85,429119677.58,399577503.21,382641047.32,416512506.83,449318560.96,467415110.87,329813477.16,305971875.51,322104675.82,308070482.91,280507824.75,260715451.68,243917090.03,209715410.91,142303302.45,219020933.04,198242207.49,148838966.73,142310450.57,75341307.80,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,49858938.43,48854125.98,52523952.03,57987217.03,66506823.15,66130145.37,149669707.11,160785575.97,168471968.08,167604697.04,177009064.16,185722359.45,244934191.38,182042744.08,185018072.12,183227538.70,195059903.17,195316268.02,191427309.20,187516811.86,189847781.41,178060667.06,180291171.76,168255492.86,155819438.69,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,1468186.81,0,768156.96,0,1742729.56,5515954.70,0,321843.68,343629.06,0.0
