,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,468896789.25,555337284.90,782503044.27,513208167.05,327379876.78,483027574.07,650350112.45,487793476.30,453443896.37,270725427.15,437399309.27,553442517.55,392984863.17,427624009.98,562010036.56,747939234.27,798736604.17,562510971.27,909436222.82,964507014.34,755741642.30,665116750.71,763230395.60,703488319.61,501180113.66,502241523.37,602246499.30,673380231.46,643489726.27,488036620.79,510333384.03,534179707.85,523746129.83,641391460.05,665322811.37,666518672.60,628738523.16,719788534.55,836933325.64,853443052.58,79196016.94,63469949.02,78477223.81,78997061.84,44249685.20,0.0
3,交易性金融资产,850000000.00,750000000.00,797095000.00,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,79635068.27,108328328.03,117524300.96,372337475.06,187130657.96,156182342.13,176939323.97,325539669.20,0,167855781.74,0,312945573.51,0,121617278.62,0,0,0,0,0,0,0,61274528.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0.00,0,0,0,200000.00,0,0,0,1443963.64,3164358.53,0,6848000.00,5031000.00,1000000.00,200000.00,941260.78,0,0,0,0,0,0,0,0,0,1327766.50,0,0,0,0,0,0,0,14866.97,0,0,158517.30,0.0
7,应收账款,79635068.27,108328328.03,117524300.96,372337475.06,187130657.96,156182342.13,176939323.97,325539669.20,213485657.53,167855781.74,151295115.91,312945573.51,138982205.04,121617278.62,118158745.17,194109947.72,80339544.61,86354609.78,84037651.11,76079994.94,47323817.69,60274528.25,65493197.13,68901519.34,90022861.45,59328861.99,66177537.81,64600236.48,62268922.97,56753805.85,55921911.15,58396755.24,46648321.51,36810470.16,39139579.20,22144319.64,21775585.51,14473123.82,23793081.93,21888267.12,21990922.38,25118227.86,24633832.10,28212824.71,18790013.11,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
