,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,51545793.12,36398783.48,86731624.42,115969217.61,72562381.43,39758144.61,69618636.40,524932331.14,98321979.32,63659556.38,60933696.92,163550868.65,87107422.54,130805841.56,93729545.65,134410849.85,208181058.16,202185926.18,208903894.25,287317662.81,409127706.68,474577999.68,600454233.69,307608061.80,352471338.93,308621799.97,265368276.24,288206771.66,304932507.53,276976657.72,352653710.25,370810228.60,387801010.50,386401846.10,369381782.17,497951067.39,612737649.36,68396441.81,77921541.65,62212499.85,40790543.30,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,209776586.97,180125515.82,71713247.01,108843715.24,124902582.60,101279968.12,104127765.66,105104523.58,0,134869469.14,0,129465303.14,0,114450115.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,766557.71,3143454.33,1132331.73,2703202.03,427208.18,1653369.08,1192116.21,2971514.33,750565.09,1479919.87,4536446.69,4472086.86,858397.55,925869.56,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,209010029.26,176982061.49,70580915.28,106140513.21,124475374.42,99626599.04,102935649.45,102133009.25,137996174.58,133389549.27,94786221.32,124993216.28,139490133.85,113524246.42,104328743.36,130087622.01,120270897.10,118594371.34,97059393.46,131579732.14,138192103.28,117221751.44,95413143.43,96308982.93,122099169.21,109902201.22,62873762.10,66689272.65,75628941.22,91901503.09,42176606.65,55382319.63,94660889.12,92511201.61,64217910.63,67844645.64,71747027.75,67654509.41,63104013.75,38934217.78,29425507.56,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,30125497.76,48750454.60,37377304.41,18717579.23,26569511.24,28134973.25,24793562.48,19286076.01,49673849.42,33913195.87,38334954.60,23161822.48,29386607.41,27922321.25,32389675.42,23300398.59,56364489.50,57315580.03,70112894.54,52440732.11,53308445.77,39391764.76,20504213.48,37098540.73,45163450.10,28210630.87,60333004.74,15931802.32,20712205.25,15443789.14,57376149.39,30863056.85,32157082.89,40466516.56,113010691.53,31413293.12,49205753.88,11881857.01,13190622.17,4699986.26,8950481.47,0.0
10,其他应收款(合计),11162733.97,8979798.83,10341244.02,6504121.41,4246075.91,4045303.84,3907344.63,5664712.29,0,4067875.02,0,4699536.62,0,13444874.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,3940.34,34674.95,526119.00,321266.86,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,3077499.80,3077499.80,3077499.80,3077499.80,0,1796223.02,1796223.02,1796223.02,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,5867624.08,0,3105354.75,4246075.91,2249080.82,2111121.61,3868489.27,4608046.05,4067875.02,6920983.20,4699536.62,11477974.32,13444874.91,15871999.17,14787783.11,19203017.13,35996804.52,19311867.39,13287899.97,19239575.58,38504669.24,16896412.63,20324882.54,10639565.95,13835906.27,10333407.97,9011113.71,9590894.38,7921742.17,11600854.86,15175861.29,6429505.05,6429505.05,17118306.03,11274350.97,5815969.85,9468615.64,4368565.62,2208363.63,1729422.14,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0.0
