,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2109666472.97,2026567354.42,2636854542.35,2660565808.37,3046807125.60,3447360012.22,3787270981.36,4367765592.20,4668815714.80,122981979.76,252879519.98,296107613.59,421378331.49,415242295.23,592424020.34,1001133378.22,713841851.12,891737789.49,291486467.94,351321681.46,349970235.64,377617064.56,196407634.94,335697490.66,512251257.81,638060212.17,666964071.68,740654298.64,794080634.83,915924257.68,1046679493.03,80400124.84,90896177.16,183315614.08,61689725.11,13847266.56,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,711014160.09,717563430.54,834463997.27,826597759.36,968081483.13,1067148335.71,1114519413.94,1199350909.79,0,1601005102.02,0,1298454548.85,0,1392101325.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,87370591.49,75007572.10,82265700.46,43558594.60,53888726.60,87008167.39,139317450.47,145720308.80,99317374.00,256207811.33,156899654.58,219214482.49,143696082.49,132066870.00,196754311.84,129560731.60,122747970.00,65787012.40,155819574.42,224509787.65,148223439.08,83303091.08,88167200.00,74147000.00,115046580.00,141383420.00,133590680.00,138409000.00,64170323.30,11250000.00,19929200.00,39869000.00,23984159.63,3080000.00,5000000.00,0,0.0
7,应收账款,623643568.60,642555858.44,752198296.81,783039164.76,914192756.53,980140168.32,975201963.47,1053630600.99,1325970347.58,1344797290.69,1022651531.12,1079240066.36,1111701325.67,1260034455.75,1167295176.71,1338458954.84,1366642208.91,1350863026.40,1292141169.84,1247069177.75,1286404753.63,1281719636.62,1072164474.45,1143760499.30,973158291.06,806608194.82,641785776.19,695049179.33,527801778.19,440584994.21,266911445.70,327256625.20,160865903.22,171543403.35,100596862.38,31617768.57,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,280681555.59,269380096.04,239716697.35,127001900.10,704583655.65,612539779.93,721612932.83,465470646.08,540602370.94,307731430.50,341764381.78,251778229.54,239981274.60,216202131.96,216277392.52,186078257.97,206637594.73,348447772.71,133860873.25,66035391.64,78636289.95,70984811.65,80717023.63,81082798.97,94413703.51,148478411.67,112616182.12,74964639.70,192492416.04,157924044.54,126776169.94,72494863.27,120913585.81,92994325.43,89330245.58,46471655.10,0.0
10,其他应收款(合计),45964581.46,39761293.68,26876506.46,35793102.20,50099161.55,51622496.61,41608301.15,35011960.00,0,42466238.75,0,32021166.84,0,28524261.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,27893825.46,24044227.66,11229764.29,7087177.29,0,18920481.68,9585253.02,2922092.92,0,0,0,0,0,0,0,0,0,0,3971068.75,2791318.75,7193888.00,6074216.91,3524090.87,3663103.37,101062.50,1216950.00,18041608.00,13468767.49,9813678.33,6726777.47,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,15717066.02,0,28705924.91,50099161.55,32702014.93,32023048.13,32089867.08,45087657.34,42466238.75,44205819.77,32021166.84,31323527.84,28524261.28,72499595.61,73737927.07,37048793.10,16694520.98,8720401.04,7205624.56,12766028.56,21724229.25,23664410.42,20761013.49,33306434.25,27922086.56,26904885.55,22185842.72,27210444.50,18468697.73,16842284.00,32531066.85,25798961.23,2192692.82,60114654.33,62280838.48,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,308506872.72,256096430.77,252889250.57,229222453.35,472950308.61,540436208.46,614155988.55,478178296.82,352105551.71,358365631.26,430126257.06,277031553.24,341152436.00,316440951.27,318277000.72,289203905.09,392187265.27,338559672.75,247482150.71,266005914.27,372878598.57,361591324.97,446637677.45,304531138.07,287522567.82,267322457.00,328503397.36,269738404.40,429216495.71,316274739.47,435395677.31,322957141.99,434236086.89,385145298.35,361719622.75,178808541.64,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,35871297.00,32020558.72,39143660.02,93955276.72,71536714.65,121624188.48,83307153.77,88517964.06,66501385.96,58692099.55,52692748.04,51356116.64,27088511.38,14954341.90,7533748.86,2788070.70,0,0,0,0,1200000.00,7500000.00,174912444.44,165052444.44,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,3491704939.83,3341389164.17,4029944654.02,3973136300.10,5314058449.19,5840731021.41,6362474771.60,6634295368.95,7098400402.33,2491242481.84,2301219912.33,2206749228.70,2316321489.47,2383465307.39,2571061246.60,3020961225.49,2839105683.13,3012089794.73,2133481705.95,2164938896.08,2257273233.43,2210514375.04,2086194956.20,2128695488.30,2015799896.95,2030991732.22,1928406600.90,1954470132.28,2044785770.90,1867153511.10,1912534269.98,875508822.15,856694873.94,838271334.03,678451110.15,333026070.35,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,39000000.00,39000000.00,39000000.00,39000000.00,39000000.00,0,0,0,0,0,0,0,0,82280000.00,82280000.00,82280000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,17989691.16,18810168.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599400.00,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),345610521.96,2375079848.31,2289221071.44,2236651851.78,1776858397.82,1207177786.47,560381041.34,531545950.16,0,791078280.31,0,737758526.10,0,697407228.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,2335127180.56,0,2200827886.49,1776858397.82,1072488100.02,455519408.51,504830785.12,399258046.29,785918709.86,772928848.80,732728781.38,697341470.00,684691652.49,542495789.23,485706173.72,350765618.38,285856699.75,213934553.66,78353442.50,65726223.48,48724223.48,36925068.41,30169688.61,20343702.35,20232276.29,24682434.53,20893640.95,5157371.89,739649.80,37413443.49,36699429.49,2106272.37,0,3099124.09,0,0.0
31,工程物资,0,39952667.75,0,35823965.29,0,134689686.45,104861632.83,26715165.04,7697037.74,5159570.45,6441895.68,5029744.72,5483853.26,12715575.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),3649937319.06,1268760598.41,1290592837.47,1311368695.54,1123829078.25,1131952995.40,1140018229.20,1051108533.76,0,596704468.89,0,600963119.76,0,517936962.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,1268760598.41,0,1311368695.54,1123829078.25,1131952995.40,1140018229.20,1051108533.76,1025656378.16,596704468.89,586184221.75,600963119.76,520789963.11,517936962.84,457711322.87,461708948.73,467857445.17,465955791.76,470796124.97,340194662.96,337304477.91,333531569.78,316738249.30,251084625.14,232307529.16,223581387.06,219648795.02,221368166.60,210632704.09,202625589.74,137905403.13,138064476.12,114139068.14,109155053.11,62335266.05,36526899.37,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,254439875.75,256970921.27,259456978.96,262236829.81,813977789.47,819654030.06,819343125.28,825070196.88,828374156.15,833170712.17,837973372.93,842587636.24,819889270.99,824024863.87,808607565.65,812919564.78,812853847.83,668672541.28,671923300.67,83517274.88,84558039.82,85673377.41,79981813.29,81162818.28,66260503.91,65855151.55,51283710.66,52286269.77,17664328.88,17776275.50,17854333.23,17965446.51,17713970.35,17825952.15,185325.70,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,4031797.03,5379968.86,5379968.86,5379968.86,5379968.86,5379968.86,5379968.86,5379968.86,5379968.86,5380448.72,1348171.83,1348171.83,1348171.83,1507624.20,0,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,18645.12,176392.68,931691.44,964685.08,995165.68,837532.41,869411.31,871967.21,903255.74,270353.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,91212638.46,90275486.46,92824293.69,94099164.17,47592631.08,29120808.51,26943355.15,28898199.29,28577701.10,25971211.09,25930637.68,24811975.85,29281061.03,35023761.10,38081892.39,36783752.03,25163324.90,25460127.97,27517575.61,25828370.91,23713151.55,19591480.89,17301749.98,17810291.19,14160951.31,11117525.19,10329198.17,10920115.85,7830546.85,6572536.10,4798534.72,5398802.84,2985877.79,2211197.20,1458222.12,941000.25,0.0
44,其他非流动资产,477200950.42,657310469.64,715152505.38,608072543.08,332637779.18,249728900.84,139412356.67,151301436.14,49735982.18,49603606.58,51758282.75,53112546.41,60996578.75,60506333.74,59943187.47,59329256.75,41000000.00,54165795.72,50821721.43,319772500.00,41000000.00,0,6900000.00,60964000.00,23400000.00,23400000.00,39000000.00,39000000.00,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,4879422793.84,4710239289.76,4690298129.09,4555637274.09,4138859164.27,3481631003.39,2730125070.35,2631793645.67,2344200509.96,2301432043.28,2286152312.36,2263535954.55,2137813994.17,2138930946.58,1910871554.64,1860479493.04,1785300205.14,1587770925.34,1522653245.20,853046220.11,557681861.62,492900620.42,463226849.84,446571392.08,361853135.45,345534511.92,346292310.21,345816365.00,242792575.91,227714051.14,197971714.57,198128154.96,136945188.65,129791602.46,67077937.96,37467899.62,0.0
