,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150630,20141231,20131231,20121231,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,285368358.62,246499265.19,221246313.81,155285169.38,194798762.56,241765216.29,213674119.47,231496609.87,202327973.59,225284462.00,133120316.96,313006038.89,303741314.34,239988503.96,201976187.37,221788046.79,359657515.99,38615088.81,66993798.97,75537131.15,123346946.92,125310538.21,114576367.26,84631484.57,39881854.61,0.0
3,交易性金融资产,0,76634276.10,76634276.10,62685530.73,2454061.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,351562335.60,297523087.58,272610360.18,233078483.07,284863332.02,282524746.82,281958766.15,255778612.66,255167643.67,0,226811347.64,0,219489831.78,0,218705575.79,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,11212257.03,19525069.90,13659854.33,6392754.10,12386106.65,7955432.48,10926552.70,11369112.17,5161645.09,8153623.25,3853714.42,6719379.30,4958318.25,10711443.50,10209158.83,9516103.08,4344345.69,3570189.91,1320000.00,10059676.99,9561196.75,7104802.08,8487585.06,584000.00,3959488.79,0.0
7,应收账款,340350078.57,277998017.68,258950505.85,226685728.97,272477225.37,274569314.34,271032213.45,244409500.49,250005998.58,213415401.78,222957633.22,200002806.28,214531513.53,222964127.70,208496416.96,193496198.44,200426194.13,192668896.47,196940736.69,166502391.63,130437226.15,158916855.35,126064098.55,108159528.62,82845216.73,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,1207002.39,5661488.87,5452122.89,3489777.77,4699932.94,2409499.56,1985165.26,3274357.66,1398095.71,1825216.44,2330240.57,1358756.61,764497.56,11379025.86,10602905.89,11065602.97,8531981.29,8099864.23,7310756.79,4088672.72,25808944.81,2462189.73,2544086.10,1101269.48,1020302.49,0.0
10,其他应收款(合计),6613305.17,12924800.16,16455921.02,31198365.09,28654998.99,28890098.21,24772588.47,8313304.67,16461498.24,0,7614248.48,0,9599090.53,0,5474649.02,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,414611.11,128513.89,0,184400.00,1635962.22,2144760.83,1701700.00,1128800.00,0,329549.84,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,6613305.17,0,16455921.02,0,28526485.10,28890098.21,24588188.47,6677342.45,14316737.41,8532556.82,6485448.48,9107812.72,9269540.69,6323929.63,5474649.02,6511226.35,3972600.02,7840963.92,8717750.04,8498312.07,10624733.75,8383944.02,7626334.26,4505149.63,12300786.16,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,105264981.29,129607445.52,118763263.08,101228309.47,121047835.27,138291946.50,156527824.66,139647719.97,116182405.16,110559000.65,127517748.48,122761768.96,95528246.42,94359984.53,100211241.26,92021280.23,90933751.82,85395181.49,87071176.80,62950976.76,73068341.10,70066684.66,63109287.81,66687164.70,41952306.58,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,10052662.49,19220198.89,18533287.72,109006364.18,77755114.69,26660627.56,56277141.53,199019920.72,218523112.46,186139312.55,229510522.20,95742502.92,86883292.36,110000000.00,139000000.00,150000000.00,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,760068645.56,788070562.31,729695544.80,695971999.69,714274037.58,720542134.94,735195605.54,837530525.55,810060728.83,755611273.49,726904424.33,748699065.68,716006272.99,695727015.18,675970559.33,684398457.86,667866388.94,336190184.83,368354219.29,327637161.32,372847389.48,372245014.05,322407759.04,265668597.00,181959955.36,0.0
