,报表日期,20200331,20191231,20190930,20190630,20181231,20180630,20171231,20161231,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,
2,货币资金,945634391.24,1109741568.41,205841823.50,174211396.96,183951678.29,78157816.81,154489835.72,130127241.79,67534453.05,33379214.73,40702117.13,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,408402112.45,448471045.20,313593277.79,359955605.64,343259950.55,198042173.27,218807684.23,182155406.04,0,0,0,0.0
6,应收票据,52716315.82,57200580.59,30364029.03,76913207.92,0,0,0,0,19641721.99,2799486.63,9941059.00,0.0
7,应收账款,355685796.63,391270464.61,283229248.76,283042397.72,0,0,0,0,123040336.45,118423978.27,69788027.50,0.0
8,应收款项融资,7147946.96,26208743.92,60800294.12,0,0,0,0,0,0,0,0,0.0
9,预付款项,43111266.97,29738435.90,28728235.19,19906334.25,16508955.01,21315963.95,15856952.20,10829796.51,1765468.60,1194111.11,7380717.72,0.0
10,其他应收款(合计),18931071.18,14076898.60,14009817.63,15610673.15,8884007.16,0,13510189.11,3851772.68,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,14076898.60,14009817.63,15610673.15,0,10587305.93,13510189.11,3851772.68,4679694.47,3339533.54,2386123.76,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,228246434.99,202275689.64,229051166.90,181209821.65,163546899.25,215084592.81,146287623.62,98104322.72,66187478.90,60328652.73,69185094.72,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,16061879.05,13326943.23,9532366.50,9519874.56,4564737.53,2956807.40,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,140651795.04,15296727.81,49048318.15,56713839.98,3595404.55,18997798.63,6654207.16,29743463.85,2017965.41,753371.98,1784668.59,0.0
21,流动资产合计,1808186897.88,1859136052.71,910605299.78,817127546.19,724311632.34,545142458.80,555606492.04,454812003.59,284867118.87,220218348.99,201167808.42,0.0
22,非流动资产,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,7170546.81,7503794.60,9366817.37,9366817.37,4516817.37,4516817.37,5162077.00,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,8529631.68,11047596.31,16509589.64,12400103.52,9129392.78,7633714.46,0,0,0,0,0,0.0
27,长期股权投资,2053287.75,2747781.26,1596771.74,2439519.35,1750000.00,0,0,0,0,0,0,0.0
28,投资性房地产,1872901.69,1946131.72,2019361.74,2092591.77,2239051.83,2385511.88,2531971.94,2825015.42,3118058.90,3411102.38,0,0.0
29,在建工程(合计),1900048.79,1665743.51,2490139.45,1833794.12,4669686.29,0,3315361.17,164102.56,0,0,0,0.0
30,在建工程,0,1665743.51,2490139.45,1833794.12,0,1509700.79,3315361.17,164102.56,0,0,9326850.18,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),85931515.76,88707652.00,82750226.13,80999295.68,72500550.21,0,64371302.69,38375011.63,0,0,0,0.0
33,固定资产净额,0,88707652.00,82750226.13,80999295.68,0,69633004.98,64371302.69,38375011.63,22081862.75,18664792.43,6894844.50,0.0
