,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100630,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,198528123.83,419946568.16,299718939.03,316788918.80,151063006.30,175853879.14,232292239.84,303846223.57,271216065.50,682457994.19,225601416.87,260559050.89,94486630.50,166730489.00,931260101.76,109672750.16,99883240.16,118995650.40,131921434.70,191309402.37,167739766.27,271557836.42,276435431.79,276582643.08,219492538.82,297805608.06,328384611.20,356906142.06,322220784.02,367497932.92,450301036.34,543442794.87,525672310.78,625816580.59,665863174.30,16278833.91,58425558.96,36666756.83,8902811.39,6929723.95,0.0
3,交易性金融资产,0,0.00,79195735.70,79195735.70,0,0,0,0,1884031.00,1884031.00,1884031.00,1884031.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,958330000.53,704642335.05,782557320.98,633254813.03,586061144.65,582472742.89,467308258.84,431076952.95,0,386189293.85,0,310250774.76,0,282775682.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,480429144.43,312372971.81,214488901.79,231133972.94,91197845.11,152991782.03,84672096.96,149980774.31,105149230.82,146819227.52,107244751.94,118032516.51,91571672.52,91661731.07,46769808.50,139025529.95,117411902.19,130557481.66,122712238.47,157464403.01,111319483.19,96296053.38,111433353.60,135727271.01,145618850.43,104270610.76,84299293.50,98023604.82,78973064.29,96725694.33,28751950.00,47609686.00,59165190.66,79954651.76,42296956.40,36286724.00,34491052.00,4426072.00,4450000.00,12559823.20,0.0
7,应收账款,477900856.10,392269363.24,568068419.19,402120840.09,494863299.54,429480960.86,382636161.88,281096178.64,329878491.96,239370066.33,245201064.84,192218258.25,173477495.86,191113951.57,163930185.60,102117539.99,135800135.13,141413600.57,182403162.69,96951195.79,119882979.74,132396626.85,113320093.79,58867630.34,112203754.64,89217445.38,80144609.47,48506363.47,71617004.86,53369185.56,65145430.36,29071851.42,57985296.08,40476432.85,50127549.38,34138603.85,36966153.28,63692996.66,33990115.28,22451839.56,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,180546603.84,207665556.09,130753467.75,67037976.60,80546455.57,62527269.10,97674266.94,42020877.12,109207703.47,86589723.05,88627776.02,64007014.54,141099010.45,10040457.45,46368699.19,18076416.85,25642466.76,16141843.98,81011156.67,9861964.93,38906334.92,21550861.14,18998387.11,7275587.83,49749281.91,41358887.46,20298548.40,13427556.79,87390954.97,76298027.52,89440625.07,64444260.33,115180560.30,79210076.39,45944005.74,32263834.01,44567925.70,28849869.21,7691687.62,15524589.29,0.0
10,其他应收款(合计),72669751.16,62958540.35,111456222.10,69417403.15,67651965.53,70062714.28,120531016.95,83557350.15,0,34700427.73,0,42826410.80,0,10278048.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,50152.06,0,50752.41,0,19877.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,209375.00,621548.64,2352159.73,3089965.34,2047256.99,947666.19,4587942.60,3254007.92,2612937.55,847558.67,8961779.84,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,62908388.29,0,69366650.74,67651965.53,70042836.85,120531016.95,83557350.15,75819983.71,34700427.73,35489644.11,42826410.80,62458227.62,10278048.49,5298931.57,6570918.72,26026000.40,11412440.54,10894736.84,4589630.05,3885214.71,2533436.27,2597446.75,1630864.65,3084391.71,1929211.16,3937634.19,3115630.48,3777085.46,1985393.51,4248463.50,3626970.35,3527300.96,5503968.66,7323543.28,2837539.28,5684672.72,1294493.03,1368896.95,646515.41,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
15,存货,470816568.95,536335578.92,486327547.33,486753017.34,612048294.64,566553879.00,531914240.76,464157537.19,416695958.30,432890884.85,431190461.61,321242796.88,373637599.52,269713265.94,236265278.94,189725005.45,203276975.66,203845888.67,210985901.71,201787680.16,207256335.83,184410037.89,175915674.16,170208905.24,163626596.28,144223651.95,111770388.55,107700711.49,122578725.64,135656581.27,136160103.23,120330026.33,115485131.88,93397637.92,115052260.23,82812266.21,61320193.96,56594422.75,64709616.11,100128523.80,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,392068439.05,205861618.32,262343413.36,392843413.36,443238363.40,416536389.20,440543282.96,416553624.38,403224369.62,306139810.83,132304714.81,112215714.72,59484300.94,104411855.95,52719585.12,42475883.52,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,2273003820.67,2137410196.89,2152352646.25,2045291277.98,1940609230.09,1874006873.61,1890263306.29,1741212565.36,1713075834.38,1930852165.50,1267543861.20,1112985793.59,996214937.41,843949799.47,1482612590.68,607664044.64,608040720.30,622366905.82,739928631.08,661964276.31,648990114.66,708954226.95,699321935.84,652645061.88,696865379.13,680852671.76,629782751.50,632267951.71,689811627.16,734145752.66,774895167.17,817487369.14,877015790.66,924359348.17,926607489.33,204617801.26,241455556.62,191524610.48,121113127.35,158241015.21,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,87345399.58,74952432.27,56039330.36,21254140.92,0,15752070.41,15752070.41,10752070.41,0,8002070.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
26,长期应收款,11200000.00,11200000.00,11400000.00,11400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,15975327.78,8895327.78,13388279.25,9168279.25,12552370.22,9503498.13,7171268.81,7171268.81,21134006.08,8616924.37,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),299025277.37,231693703.69,265612861.78,177412312.83,128650489.11,124110360.06,426637194.80,291968437.54,0,197198107.93,0,277355562.09,0,194032721.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,219623602.14,0,169331605.14,128650489.11,117025438.67,378672266.40,258096296.54,221106073.17,164922981.90,350290233.43,257930642.81,34445197.78,185356985.18,904440229.65,811817240.83,165476665.46,78322058.17,25681563.32,17989197.69,8289008.81,96415892.05,26841445.57,11421903.25,37724663.75,35500747.32,21452159.70,0,231197443.96,189920733.97,105044275.20,62771837.76,97419428.77,36620931.37,17427539.45,15388681.07,15958380.74,7890372.61,360000.00,1113342.20,0.0
31,工程物资,0,12070101.55,0,8080707.69,0,7084921.39,47964928.40,33872141.00,32047170.84,32275126.03,37473461.16,19424919.28,15619889.90,8675736.80,21960979.31,8375317.96,896643.31,765014.16,502345.96,467270.18,708314.05,412991.08,620507.61,437107.54,38794.63,38794.63,38794.63,79939.92,1172269.03,681969.79,34880.07,34880.07,34880.07,34880.07,34880.07,42969.83,68038.66,28662.14,42306.00,0,0.0
32,固定资产及清理(合计),3118341024.30,2968322061.98,2877524758.30,3100324727.22,2705265428.84,2652986756.43,2243914622.41,2292372679.07,0,2068339774.70,0,2007987613.02,0,1884678811.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,2968322061.98,0,3100324727.22,2705265428.84,2652986756.43,2243914622.41,2292372679.07,2122424650.23,2068339774.70,1966060932.35,2007987613.02,1781647793.14,1883718358.16,734050945.99,738740465.87,653282100.80,673359554.70,689551083.46,685783537.53,699704261.02,601736504.04,614306925.78,626553593.18,599705945.96,601912863.36,616943864.73,630897093.42,298240646.40,301686503.79,307311018.21,315454347.59,182108221.29,184849293.12,190748348.27,195650450.14,163995786.25,163878623.27,185426908.95,199353767.70,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,1406891.15,0,0,960453.39,983939.96,983939.96,5512898.55,911641.23,1143805.52,0,0,-43000.00,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,397359493.51,400589037.58,396759734.18,320156093.00,327092356.07,313246468.64,311539680.89,311392790.54,309790733.86,311710782.10,313730763.73,315750745.36,313677903.95,315393251.66,316373799.37,316925851.00,318546665.74,324053033.52,324405091.15,324783273.85,313204000.48,63642537.93,63985611.28,64337581.99,62626932.71,62962981.18,54266557.63,54560354.63,54846766.53,55116833.68,55409606.08,55701004.57,55974895.39,56270436.90,56541341.82,56839869.75,9501524.56,9620646.97,9816091.40,12158162.52,0.0
40,开发支出,3205029.13,3205029.13,1449056.56,0,0,12144476.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
41,商誉,1648888850.68,1648888850.68,1648888850.68,1648888850.68,1733150150.68,1733150150.68,1733150150.68,1733150150.68,1733150150.68,1733150150.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,13546385.64,11538756.90,13450294.35,10255680.35,12535711.39,12940001.46,7616010.55,4152375.24,9505815.10,5159400.54,3069200.17,6289.27,38490.34,58306.91,59674.40,155696.45,283725.85,379747.90,475769.95,571792.00,675256.23,803898.96,907373.85,957442.07,842835.17,954643.37,817499.80,889999.84,986666.56,1059166.60,1107499.96,1180000.00,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,37872512.94,37688664.79,37570335.14,37721293.32,59136252.25,58981900.86,58774099.35,57171749.63,65414020.30,65223697.31,65052082.24,65052082.24,63278791.66,61909508.10,62360598.75,62360598.75,52996031.26,52996031.26,52996031.26,52996031.26,2559782.40,2559782.40,1992227.64,2559782.40,2134000.36,1965998.08,1740314.19,2046332.54,1395490.33,1260003.92,1260714.53,1931430.86,1666369.35,1945541.09,1822567.25,1822567.25,1621985.60,1876695.26,305692.98,519486.36,0.0
44,其他非流动资产,171992643.45,285639226.36,441708395.08,157701835.16,423662504.83,304071001.34,287364153.33,171717771.24,242471101.12,382862420.96,57773788.40,63764832.33,195458239.65,38126602.32,128158758.62,96826247.12,260225184.63,95545254.53,16888625.90,23554799.51,23764563.30,22842355.83,29485065.18,30301376.64,28025943.38,21389040.93,15952910.33,14524751.26,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,5804751944.38,5682613091.16,5763791895.68,5494283212.73,5417797333.80,5236886684.81,5091919251.23,4879849293.16,4757043721.38,4780263329.00,2794857352.63,2729917124.31,2404166306.42,2494199202.52,2168388926.05,2036185357.94,1457219915.60,1226332335.47,1111644316.52,1106145902.02,1048905186.29,788370962.29,738139156.91,736568787.07,731099115.96,724725068.87,711212101.01,702998471.61,587839282.81,549725211.75,470167994.05,437073500.85,337203794.87,279721082.55,266574676.86,269744538.04,191145715.81,183295000.25,195950999.33,213144758.78,0.0
46,资产总计,8077755765.05,7820023288.05,7916144541.93,7539574490.71,7358406563.89,7110893558.42,6982182557.52,6621061858.52,6470119555.76,6711115494.50,4062401213.83,3842902917.90,3400381243.83,3338149001.99,3651001516.73,2643849402.58,2065260635.90,1848699241.29,1851572947.60,1768110178.33,1697895300.95,1497325189.24,1437461092.75,1389213848.95,1427964495.09,1405577740.63,1340994852.51,1335266423.32,1277650909.97,1283870964.41,1245063161.22,1254560869.99,1214219585.53,1204080430.72,1193182166.19,474362339.30,432601272.43,374819610.73,317064126.68,371385773.99,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,565000000.00,620000000.00,660000000.00,597511960.78,534750000.00,534750000.00,539750000.00,602086000.00,561485000.00,556270500.00,436020500.00,296020500.00,135000000.00,0,223000000.00,170000000.00,122687279.91,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,58000000.00,65000000.00,60000000.00,0,35000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,3518534.90,0,0,0,0,0,395502.91,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,2387312.05,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,815120101.97,690294650.64,633949908.73,395398803.86,364818481.29,405074228.05,431222016.17,449753831.11,0,575118712.89,0,454544668.27,0,466936453.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,394668581.31,286741625.40,0,8661299.97,0,15259979.45,49388135.20,51820157.28,12120000.00,47153912.21,67368912.21,31571647.07,33851611.23,101113841.13,172551166.08,97849034.91,8564813.80,0,0,0,0,0,0,0.00,0,0.00,0,0,3500000.00,11100000.00,11100000.00,0.00,0,0,0,0,3639680.00,6667500.00,0,0,0.0
52,应付账款,420451520.66,403553025.24,0,386737503.89,0,389814248.60,381833880.97,397933673.83,422252919.70,527964800.68,429814803.73,422973021.20,354857318.70,365822612.09,171644181.93,334555342.83,108406629.43,99372486.66,110032111.45,68849352.62,71464613.65,76253142.49,55398812.31,32946296.99,83694665.67,78690958.10,44388870.88,71362691.25,37493322.01,40882736.13,38396891.52,43804442.86,26514553.64,25704476.01,37193415.55,26205742.21,17097801.98,18605294.16,8976777.00,58823251.16,0.0
53,预收款项,56410365.72,27363736.28,31017331.00,52528861.66,38696797.42,37422908.70,38747266.71,44724189.25,28182083.43,18755963.23,12141857.55,30094560.90,22294504.52,19010695.52,12069253.76,14893660.58,7081541.56,7701881.52,8060685.09,7003834.15,9440565.82,4998926.89,8889701.19,5720368.57,2885486.26,4578682.75,2305191.02,3870513.72,3472250.30,5203392.35,2592224.43,3228703.09,1761807.77,2821249.38,1949374.49,3345087.33,3182773.10,1349105.75,1063306.86,1516850.02,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,36215382.82,30610293.34,25059633.36,41538214.27,37892058.66,30873250.69,23310553.75,62040249.54,28797743.60,24681182.28,15967507.44,32222754.34,23164318.94,20990621.34,14570187.50,26923176.41,17548905.86,14945718.13,11107918.90,18377082.89,14626959.32,11624072.09,5945472.91,11735339.66,6367119.03,6368233.12,4745513.54,8180495.24,4285859.03,4256010.91,3890868.34,6521886.74,3528653.59,3286120.01,3367221.14,6815360.28,2643830.02,6956483.21,4111169.80,2059112.99,0.0
56,应交税费,10844094.33,3168650.95,-4768915.11,20098331.13,27845609.33,15770125.33,28383675.29,12187595.58,21417190.14,14360156.19,13269705.48,17560435.75,4848307.29,10540576.15,-13221476.94,11929162.97,3164981.69,13191293.50,62330562.28,48413833.58,6176439.78,4795513.79,2760989.22,-3565809.41,9533908.57,4727572.03,6448597.46,2345812.85,2584022.80,-3675315.00,-5973439.95,-2451118.11,-4752447.88,1939907.74,1041758.71,-2035752.73,5537111.01,3307287.44,-5854045.62,-3449850.90,0.0
57,其他应付款(合计),482280156.07,414186683.29,376589556.08,410353272.90,373171184.37,173880843.91,76689356.69,100306673.47,0,333531461.96,0,17870621.81,0,18300602.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,0,3357150.01,0,1041797.79,0,0,1448791.67,3027900.74,0,429713.41,429713.41,563282.85,0,0,214444.44,214444.44,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,34251.08,55416.67,53333.33,0,131230.31,101078.51,229596.57,0,77962.50,0.0
59,应付股利,0,39754249.85,0,0,0,2937500.00,0,0,0,0,0,0,0,5466442.50,0,0,0,0,0,0,0,15800000.00,0,0.00,0,15800000.00,0,0,0.00,23700000.00,0,0.00,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,371075283.43,0,409311475.11,373171184.37,170943343.91,75240565.02,97278772.73,94787240.18,333101748.55,8283692.78,17307338.96,3334234.98,12834159.76,63084212.47,77296220.36,54974010.14,17299605.62,1811700.14,254212.54,2719239.12,2316886.90,1636412.79,1371519.47,2997030.63,945737.62,1305879.69,852078.83,1331090.17,331785.66,334616.01,324764.38,265522.49,543673.06,220647.76,249475.07,1467866.41,2335149.81,100055925.79,62060042.92,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,525000000.00,515950000.00,43865000.00,43865000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,2490870100.91,2301574014.50,1765712514.06,1561294444.60,1377174131.07,1197771356.68,1138102868.61,1274617073.85,1169042177.05,1522717976.55,983296692.60,848313541.07,577350295.66,536174451.40,643911969.24,733661042.50,322428162.39,152510985.43,193342977.86,142898315.78,104427817.69,115788542.16,74631388.42,48207715.28,105478210.16,111111183.62,59194052.59,86611591.89,52666544.31,81798610.05,50341160.35,53850242.09,27373506.28,34348759.53,43772417.65,92711142.47,98670141.03,99450416.94,108353133.83,156087368.69,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,121125000.00,152375000.00,294360000.00,224460000.00,268325000.00,268325000.00,268325000.00,268325000.00,268325000.00,268625000.00,202625000.00,142625000.00,0,0,227500000.00,165810000.00,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,16400000.00,30000000.00,30000000.00,30000000.00,25000000.00,12000000.00,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),837210.00,620000.00,400000000.00,400000000.00,400000000.00,400000000.00,400400000.00,400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,400000000.00,400000000.00,400000000.00,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,620000.00,0,0,0,0,400000.00,400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,137619.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,11879360.36,11879360.36,0,0,0,0,282604.65,282604.65,282604.65,282604.65,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
77,长期递延收益,267988986.96,223991731.93,229881571.93,206060611.93,196075858.60,201965698.60,205271399.80,207582158.60,211120584.20,214473844.15,217511243.60,219501594.20,217083551.00,226367812.00,218423812.00,218956312.00,219488812.00,205021312.00,205553812.00,206086312.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.00,600000.00,0,0,0.0
78,其他非流动负债,0,0,0,0,560000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204531412.00,17650000.00,18182500.00,18715000.00,20420000.00,20450000.00,20480000.00,410000.00,440000.00,470000.00,500000.00,530000.00,560000.00,590000.00,600000.00,600000.00,0,0,0,0,0.0
79,非流动负债合计,389951196.96,376986731.93,936120932.29,842399972.29,864960858.60,870290698.60,873996399.80,476307158.60,479865808.23,483381448.80,420418848.25,362409198.85,217083551.00,226367812.00,445923812.00,384766312.00,219488812.00,205021312.00,205553812.00,206086312.00,204531412.00,17650000.00,18182500.00,18715000.00,20420000.00,20450000.00,20480000.00,410000.00,440000.00,470000.00,500000.00,16930000.00,30560000.00,30590000.00,30600000.00,25600000.00,12600000.00,600000.00,0,0,0.0
80,负债合计,2880821297.87,2678560746.43,2701833446.35,2403694416.89,2242134989.67,2068062055.28,2012099268.41,1750924232.45,1648907985.28,2006099425.35,1403715540.85,1210722739.92,794433846.66,762542263.40,1089835781.24,1118427354.50,541916974.39,357532297.43,398896789.86,348984627.78,308959229.69,133438542.16,92813888.42,66922715.28,125898210.16,131561183.62,79674052.59,87021591.89,53106544.31,82268610.05,50841160.35,70780242.09,57933506.28,64938759.53,74372417.65,118311142.47,111270141.03,100050416.94,108353133.83,156087368.69,0.0
81,所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,实收资本(或股本),1703753565.00,1135835710.00,1135835710.00,1135835710.00,1135835710.00,1135835710.00,631019839.00,631019839.00,631019839.00,631019839.00,475000000.00,475000000.00,475000000.00,475000000.00,475000000.00,395000000.00,395000000.00,395000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,158000000.00,118000000.00,118000000.00,118000000.00,118000000.00,108000000.00,0.0
83,资本公积,2251738593.92,2819656448.92,2819656448.92,2819656448.92,2819656448.92,2819656448.92,3324472319.92,3324472319.92,3324472319.92,3324472319.92,1482537441.94,1482537441.94,1482537441.94,1482537441.94,1482537441.94,542077441.94,542077441.94,542077441.94,777351641.94,779077441.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,777351641.94,775322426.70,776171641.94,776171641.94,776171641.94,66534441.94,66534441.94,66534441.94,66534441.94,334150.79,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,567753.27,501940.60,-1226016.33,342118.85,13503.28,-1014718.21,-1173761.36,-434468.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0.0
