,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,279505482.44,214076723.25,235363723.95,282987051.23,347484219.03,178991179.41,163525929.95,225873047.76,313967434.28,356658296.54,429106940.84,1055498561.03,1156865832.14,1119500041.51,348964432.56,355199057.53,335231873.62,367721061.98,385810561.54,408153479.43,469556641.18,453779048.08,414046274.00,407226428.09,419764923.38,359457465.75,399017900.46,435534494.10,457883915.33,469849134.78,452361423.87,479507790.18,488377456.82,453311973.55,81458020.40,92105333.55,57394238.33,38413879.51,0.0
3,交易性金融资产,981528996.63,35276866.06,27519348.29,20292231.93,20578625.96,19314198.54,21779397.61,50591170.73,24980903.62,22435278.08,25564601.99,35169468.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638400.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,446136005.96,446341600.80,412461150.49,396365382.98,388039613.65,386668931.17,375125687.64,362518350.28,343073586.51,0,226492319.24,0,208271460.29,0,158836043.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,3676869.70,20268800.24,28402315.13,15637599.77,13947028.57,4519523.67,1296949.35,5425275.51,6892441.63,6783707.31,5224467.29,8209219.42,12528073.97,4215507.00,7097210.00,4477961.20,9210652.19,1917538.19,4945972.69,9036147.00,11187189.04,6088000.00,4128320.00,4763400.00,13850250.00,5400000.00,3000000.00,2951286.00,7765483.72,1501286.00,1850000.00,870000.00,1171000.00,1665000.00,1107528.48,740000.00,0,0,0.0
7,应收账款,442459136.26,426072800.56,384058835.36,380727783.21,374092585.08,382149407.50,373828738.29,357093074.77,336181144.88,301180307.41,221267851.95,185690522.95,195743386.32,154584129.49,151738833.22,145066505.63,121954404.89,124779386.24,117826152.53,104110337.70,102197388.88,99759961.76,99762607.23,90613309.72,81103810.71,89862005.00,89631987.29,88058677.58,82072360.19,77787338.68,61766105.59,60908519.69,49682297.64,49963467.20,37864097.37,34883886.09,22609606.53,19227961.24,0.0
8,应收款项融资,18333542.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,10109764.04,11262971.89,8137804.11,6665903.02,6129017.70,7228255.42,7915357.55,10873491.75,8433470.77,10509611.56,7962918.06,7298087.34,5718230.46,8250068.37,6254947.37,6873049.81,5893196.26,5054236.06,3091521.70,6239831.66,3662843.76,17418884.09,16763913.37,18520657.26,12435172.98,13656126.89,12018994.25,11975809.72,11699671.68,15216920.10,20639679.37,2264875.89,1858126.29,32178097.46,18288436.70,6742533.28,1996383.13,2565828.13,0.0
10,其他应收款(合计),37796593.43,50868630.05,43491713.43,41463225.49,29394023.02,37268057.06,34661205.84,36065418.18,27228245.29,0,24313009.17,0,19982903.78,0,21080854.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,12833.33,166623.67,1770982.70,1790842.81,1168718.17,1832912.46,1176419.15,2445630.85,1581735.70,1982065.97,994861.10,4615402.75,4350576.37,4660196.79,4748890.36,5362014.29,4324600.45,4074555.55,1147500.00,4653086.81,2632138.41,2157500.00,0,6543442.97,3500000.00,3071732.50,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
