,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,861108355.46,888701566.65,868633496.40,872090575.04,1191027091.14,1035551536.43,1018165384.08,770248837.71,1226355623.35,1889902802.39,1366422430.72,1234055752.16,2267214091.67,1988140125.18,817954642.93,659939613.30,523517762.99,509899624.38,398080829.01,403435453.43,445656030.27,490115826.22,444457398.97,317278141.52,367140847.40,327865900.00,446954864.85,291340145.96,137408245.37,143473597.97,327946257.53,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158400.00,333640.00,0,0,5009100.18,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3451816705.97,3532715544.91,3391380073.44,3498232795.87,3100218952.43,4026945042.87,4066928469.55,3457891376.11,3411482084.29,0,3154859426.91,0,3026101829.97,0,2005850470.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,22787455.20,23970058.63,11398634.69,11360676.66,12672343.50,13992491.74,8288796.30,6967709.00,56377608.25,17866548.53,35654545.04,36088510.91,34014161.59,33439621.20,20838981.00,25944293.00,92968543.51,23617699.67,55929147.45,124788832.58,6051422.84,7464230.50,9825078.98,5655634.20,8671949.00,9053500.00,11339457.43,3696401.76,6396276.87,5141686.50,2936184.50,0.0
7,应收账款,3429029250.77,3508745486.28,3379981438.75,3486872119.21,3087546608.93,4012952551.13,4058639673.25,3450923667.11,3355104476.04,3976700363.09,3119204881.87,3173881615.65,2992087668.38,2574270694.30,1985011489.69,1357133944.46,1743601393.29,1329776366.37,1418456448.66,1044337004.06,987191005.49,682030661.41,781828585.53,785939417.32,638304268.08,412792400.00,338254831.54,322507354.55,164348105.45,117150790.09,86155596.19,0.0
8,应收款项融资,7748712.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,192494374.30,200956191.36,172119957.26,72197360.37,154210493.00,159026502.85,201858521.93,483048964.76,328147707.26,801906584.99,872340623.83,1029458125.14,758038552.56,459430294.63,135312009.77,380058937.96,297902441.74,381949825.59,324957544.45,292693325.21,141805047.08,202492440.38,103033228.56,119769322.75,8614506.76,50196700.00,28608285.05,14805652.80,34494609.02,22170275.48,22938274.74,0.0
10,其他应收款(合计),552239646.39,601473704.15,308662373.00,243975008.43,232467736.45,198222636.10,164927884.95,89704428.16,116779253.90,0,111067325.89,0,67033788.56,0,55253941.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,67358214.50,70055063.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,484881431.89,0,308662373.00,0,232467736.45,198222636.10,164927884.95,89704428.16,116779253.90,100904134.22,111067325.89,85859492.58,67033788.56,60282871.15,55253941.75,81530736.56,66478356.15,38698906.50,26977135.76,26515490.50,15973719.71,16939950.70,12279193.92,21246473.05,19240997.10,40300600.00,17177433.11,21447240.00,5783612.42,5370012.91,9188028.13,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,458573826.08,607414950.42,386207375.06,350242271.35,351403590.89,561820061.89,663438793.55,615109659.78,745284982.38,561157038.69,674769135.64,656419797.30,455704766.65,377603397.74,408930234.38,635525098.54,497975753.02,567474116.00,349814731.18,269201899.74,322031099.57,301143210.88,253405330.76,284314799.42,313049981.06,234049200.00,144856191.29,157250747.11,131735186.83,75995927.98,55870245.16,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195129152.94,220785572.00,220785572.00,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,646663359.72,502593463.72,543279744.51,600489898.52,508890687.81,36703314.42,31936297.67,26853700.65,32902665.02,27836881.66,22779166.03,3152813.15,3152813.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,383768437.26,379252363.70,410516334.35,396715322.71,455018283.79,432034171.57,444013687.63,427351064.82,411201989.34,415183547.00,228570732.28,482912059.99,348268304.03,153110679.94,120512425.08,58495066.31,39437894.46,41312284.86,198928.96,279857.53,3132087.29,10672438.51,86248024.61,60756034.44,21745870.63,20367100.00,255030.22,195769.41,234501.71,198133.64,0,0.0
21,流动资产合计,6554413417.50,6713107784.91,6080799354.02,6033943232.29,5993236835.51,6450303266.13,6591269039.36,5870208031.99,6272154305.54,7791457900.57,6430808841.30,6701828166.88,6925514146.59,5646277684.14,3543813724.60,3198627690.13,3261882145.16,2892728823.37,2769543918.41,2382037435.05,2142625984.25,1710858758.60,1691076841.33,1594959822.70,1376768420.03,1094625400.00,987604493.49,811576951.59,480400537.67,369500424.57,510043686.43,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,510563400.00,360023400.00,386599400.00,359923400.00,359923400.00,357625000.00,324625000.00,301853303.72,101453303.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.00,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,325855508.34,593867459.39,588994877.77,377859444.43,501206466.08,38911467.43,42406923.68,44721386.76,38672422.39,53368703.74,56864159.97,17583657.49,17583657.49,8595692.59,10841665.76,13383349.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,126279069.84,135851028.46,172251709.78,168226045.78,160593705.75,132238433.19,120415714.45,97613235.22,99399057.41,55614958.68,54477057.53,52246509.78,48528609.43,159124572.59,127578676.97,117870260.84,117870260.84,108243260.17,53338778.65,45000000.00,35000000.00,0,0,0,0,0,0,0,0,0,6000000.00,0.0
