,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,533880774.78,100466016.74,155213943.68,203868775.84,468367664.95,185325218.98,237532903.58,182360634.39,361081959.81,197345413.43,116949783.48,191615861.00,317942646.44,208709660.52,282644325.25,278934629.48,334811457.75,227524226.66,262799754.05,35901059.68,168874691.81,142552422.60,137260313.46,123047722.63,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,871032314.07,860319048.37,768343724.97,705715171.56,580675277.73,651352106.07,609320651.65,552024491.84,447674875.18,0,562708838.57,0,316472851.58,0,267290257.11,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,419140.00,1245000.00,815740.00,627297.46,1154448.73,439600.00,682200.00,642600.00,0,450000.00,850489.46,2789012.31,3501984.51,335000.00,1729000.00,1368376.05,1597384.05,580000.00,471560.00,900000.00,0,0,590756.31,1162000.00,0.0
7,应收账款,870613174.07,859074048.37,767527984.97,705087874.10,579520829.00,650912506.07,608638451.65,551381891.84,447674875.18,537944573.54,561858349.11,467486269.88,312970867.07,302337503.14,265561257.11,240529531.91,223301821.34,225496336.38,233475108.56,207863661.56,180464419.94,177198573.31,138564143.81,100624161.32,0.0
8,应收款项融资,1981455.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,36311417.91,52536481.45,39352671.05,31822755.61,23800116.13,23370237.51,19954169.49,17284282.44,17340006.86,13367507.71,10845709.40,23580700.18,11538181.27,7641542.49,3240017.17,3221395.83,2866743.86,6267334.05,2131609.69,4372195.30,3167417.07,895308.95,2227689.35,8376054.26,0.0
10,其他应收款(合计),50468946.77,78749477.66,71956306.62,87638790.94,46845184.54,76228275.30,65658761.69,50207485.32,41735381.28,0,51702874.79,0,45338222.43,0,40734686.76,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,50468946.77,0,71956306.62,0,46845184.54,76228275.30,65658761.69,50207485.32,41735381.28,59480506.78,51702874.79,59343021.98,45338222.43,46078105.17,40734686.76,41411432.79,35012375.70,32125846.32,20775297.01,22674323.96,19800306.00,23467046.25,21805560.98,21668396.07,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,143627846.38,140463792.80,139230241.86,107132884.83,87484101.22,94425985.78,86059885.41,106773951.28,89824846.34,73109068.83,74572959.61,64486052.20,44266417.58,38848478.81,36183680.45,34239643.80,32556973.23,47443581.33,38302378.60,32359004.01,25886647.98,13777137.22,20818923.46,20152093.70,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,35000127.00,35000127.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25688.63,34251.56,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,3603861.44,1240434.04,2906503.98,11171546.29,4632718.53,11061016.82,19129932.44,74240075.82,30097549.08,34156848.48,67140682.29,154514211.84,50151386.54,0,11658219.02,76000000.00,103005196.24,0,0,57500000.00,0,0,1561580.82,0,0.0
21,流动资产合计,1640906616.35,1233775251.06,1177003392.16,1147349925.07,1211805063.10,1041762840.46,1037656304.26,982890921.09,987754618.55,915853918.77,918920975.14,998815256.39,785709705.84,603950290.13,641751185.76,675705009.86,733151952.17,539463013.37,557989959.47,361570244.51,398193482.80,357890488.33,322828968.19,275030427.98,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,118600000.00,118600000.00,219600000.00,218600000.00,218600000.00,166000000.00,116000000.00,63500000.00,13500000.00,13500000.00,8500000.00,7000000.00,12000000.00,7000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,0,0.0
25,持有至到期投资,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,15000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,178706046.35,189228588.30,189182013.68,181040477.65,174191056.66,72531758.87,71317721.00,43016078.11,42169001.69,39587927.68,6816717.05,22101221.67,7014395.36,49509481.54,6382248.82,1562680.38,1629806.14,4045425.43,3238845.96,4000000.00,4000000.00,722377.16,0,0,0.0
28,投资性房地产,3247984.16,3303465.47,3358946.78,3414428.09,3469909.40,3525390.71,3580872.02,3636353.33,3691834.64,5213900.96,3802797.26,3858278.57,3913759.88,3969241.19,4024722.50,4080203.81,4135685.12,4189632.38,4246647.74,4302154.30,4357610.36,0,0,0,0.0
29,在建工程(合计),2891000.00,72533038.97,61770733.26,61745670.06,59837374.74,67710453.94,57441621.33,44929507.37,35404389.82,0,13451417.08,0,9030903.39,0,92787931.50,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,2891000.00,0,61770733.26,0,59837374.74,67710453.94,57441621.33,44929507.37,35404389.82,14817499.24,13451417.08,11552275.35,9030903.39,116804382.59,92787931.50,67242357.36,56928230.66,44335492.74,32338046.85,16331814.51,4970663.00,31420011.00,0,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),290194928.57,293953886.13,296664029.85,297659288.90,300209659.68,301567310.94,306902138.02,306693014.16,310211428.25,0,302127359.96,0,245370858.16,0,75501432.92,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,290194928.57,0,296664029.85,0,300209659.68,301567310.94,306902138.02,306693014.16,310211428.25,300668751.37,302127359.96,296030801.83,245370858.16,94530270.37,75501432.92,75485731.09,75586185.34,74213947.77,75578021.98,73938138.69,73771679.85,47569266.02,40892584.49,40922135.62,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,169265048.15,49328025.80,49384794.20,58501225.95,53662512.60,24355822.89,20612005.58,21800914.68,23154125.90,16999878.78,15084060.15,16056135.79,6536749.02,6512390.91,5955947.23,7304156.13,5017942.45,5132884.32,5029094.74,5210057.15,5262364.68,5837117.73,665036.69,444558.00,0.0
40,开发支出,22868695.50,62003462.68,40100885.14,12808357.38,4795473.91,19404037.98,12027636.31,3615820.50,0,4960375.33,0,0,0,1165947.89,0,0,0,200076.69,0,0,0,0,0,0,0.0
