,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,71792297.03,91705894.95,72813912.68,87528627.80,56292886.15,120266930.19,106435846.66,128015237.01,133871114.92,199824681.96,123511689.01,117383458.31,130865833.64,151622590.70,212548787.28,109241165.67,89705726.20,87744689.41,47998354.04,30608444.01,40707228.91,34230299.01,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,96821083.73,85983162.07,88840345.77,67656583.41,83108177.02,88240886.86,103874169.96,90326520.62,0,56093723.12,0,55534152.35,0,54849253.78,0,0,0,53159069.70,0,0,0,0,0.0
6,应收票据,34874852.24,37260855.60,20107709.35,28502815.44,26627019.01,38164184.04,39405027.42,55263337.20,39389553.71,22019263.46,20297764.94,28800473.63,17143191.82,26794674.85,26300532.62,33990371.03,14301456.94,28964963.36,28705778.82,16221010.14,12437112.47,11827116.14,0.0
7,应收账款,61946231.49,48722306.47,68732636.42,39153767.97,56481158.01,50076702.82,64469142.54,35063183.42,56668331.12,34074459.66,42102818.53,26733678.72,35422664.95,28054578.93,39724025.67,22973377.45,36785675.17,24194106.34,16828361.87,13731241.10,12529415.71,9637574.64,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,11453755.44,7539597.36,7550099.51,11506705.28,8037537.81,11053310.21,9158401.86,3101973.84,8292783.12,6584927.53,6279363.64,2356702.45,7047783.40,1556884.23,1262672.15,463372.90,2407248.50,1625226.12,2188780.37,2486236.50,6279240.85,2126405.34,0.0
10,其他应收款(合计),1219941.82,1194193.97,1257858.03,1120575.78,561905.56,555374.31,5567514.97,388905.84,0,243618.17,0,153645.39,0,179279.62,0,0,0,245094.63,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,1194193.97,0,1120575.78,561905.56,555374.31,5567514.97,388905.84,6082327.05,243618.17,432999.28,153645.39,264366.09,179279.62,364495.56,70250.00,228878.27,245094.63,1534260.60,1898831.27,1894453.60,72760.50,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,32162721.16,32673630.14,29464030.10,36390649.01,34962299.10,36031506.83,31803652.68,33859930.83,31085295.34,20933057.48,23573978.25,23585361.75,20087708.73,19397437.67,13877508.51,14888187.70,15764686.20,17021523.49,15826371.28,16213288.18,10266504.57,9451887.69,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,111103201.00,97357732.25,141570489.79,154180476.20,170872253.14,113940942.39,142071194.27,140788629.87,100375861.90,65225812.45,140049953.50,150047010.68,120000000.00,100000000.00,25000000.00,120000000.00,120000000.00,120000000.00,0,0,0,0,0.0
