,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,
2,货币资金,279106778.30,289328008.30,292969674.33,320153417.44,310676887.89,229676651.85,363033915.11,368820948.66,214524537.71,223303231.66,361374512.06,94916571.90,61742257.87,56962838.42,80905828.46,72004924.07,76130103.17,40006168.05,29073968.06,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,363151815.40,330553989.14,397431555.39,384848838.92,335808468.46,369727467.95,343195761.17,370762733.32,0,344967963.05,0,313383721.03,0,297426493.59,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,1230000.00,1334000.00,200000.00,350000.00,0,0,0,0,0,0,0,0,0.0
7,应收账款,363151815.40,330553989.14,397431555.39,384848838.92,335808468.46,369727467.95,343195761.17,369532733.32,368302804.94,344767963.05,317620253.58,313383721.03,327351876.27,297426493.59,315456560.15,293380161.59,225605015.80,271233753.59,261753002.50,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,6029757.45,4670211.58,3971765.91,3033922.29,3029945.35,15057569.06,2361446.90,2965119.87,1693267.51,4439682.56,2424755.06,1676174.86,1597758.40,1894409.85,1311057.00,1171134.44,390268.53,315511.27,205664.17,0.0
10,其他应收款(合计),21159184.22,24941875.47,25267541.70,16860049.65,45783619.24,26936039.98,22807016.78,16211107.08,0,14119862.56,0,7949960.75,0,9761643.84,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12465.22,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,24941875.47,0,16860049.65,45783619.24,26936039.98,22807016.78,16211107.08,25841081.61,14119862.56,15310152.31,7949960.75,10621110.84,9761643.84,5476266.09,6094696.53,2863515.91,1527273.40,1120006.52,0.0
