,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,241560240.27,220662950.62,285402576.00,212850230.46,180786608.16,164144107.47,77247650.09,91557908.22,55422554.50,95522876.48,103845402.47,82550850.14,67444223.49,64376821.70,25042931.50,31161288.58,156492747.03,129558047.20,106685011.95,110847496.39,155917333.07,132280111.10,95700330.31,88539009.23,50705418.33,61378549.30,40755268.63,45839691.04,44791105.71,43799675.84,50813232.81,96516634.88,84518574.78,170715993.95,224937333.39,261335095.63,190892966.76,205459577.00,228224891.32,156902149.87,210331649.26,66815660.86,87954929.08,92404816.44,79683876.21,82440473.48,47749024.17,56129504.96,49210390.83,14659695.82,39184822.50,65408496.00,73225985.19,77006480.58,62446721.71,50120607.80,105828262.43,119238132.47,116750501.26,85374894.58,95721590.10,80388463.12,39656590.00,32119857.74,0,20340555.20,13657816.70,4541194.92,12969012.50,7796955.10,4779252.70,12810038.96,10936294.14,11058070.68,49458729.79,36463459.92,1495281.63,6242576.63,30814326.50,111463940.46,160991.31,457074.00,408240.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,99200000.00,0,0,0,0,0,0,0,0,0,511589.00,321248.00,341579.00,255642.50,238490.00,240249.50,265132.50,333802.50,319743.50,310975.50,266176.00,317564.00,344706.50,313568.50,342810.00,381912.00,457582.00,435383.50,569038.50,1495854.00,3284602.50,3138062.00,2271726.00,7226968.00,8432396.00,5059545.00,5678019.00,7356373.00,10546587.00,10644125.00,8176689.88,596655.00,177370.00,942960.00,528000.69,668680.00,443705.33,573705.33,657793.53,657793.53,725362.81,3725362.81,4000000.00,4170000.00,4220000.00,6380000.00,0,311361.20,291361.20,291361.20,0,0,0,0,0,0,0,0,0,0,3500000.00,3500000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,30846350.07,26913466.27,25018931.09,17551888.72,24236902.85,21402493.29,9578769.27,12499637.26,0,9079136.00,0,9537221.64,0,6644069.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,227362.98,0,200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130400.00,0,0,0,0,0,0,0,0,118743.00,0,10000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,30618987.09,26913466.27,24818931.09,17551888.72,24236902.85,21402493.29,9578769.27,12499637.26,9535525.71,9079136.00,5113544.20,9537221.64,5712657.89,6644069.84,7717690.64,6641990.29,307247.90,65230.47,37103.31,270265.39,145702.99,105158.20,80331.05,235430.59,101176.10,202996.68,495202.80,467000.30,0,0,0,0,0,0,202413.96,771578.95,378822.36,459014.03,391890.15,484521.87,1532396.24,1556092.31,553560.02,636264.13,646762.83,767483.97,909475.17,1020427.08,1096841.61,819331.61,517792.46,489598.46,406608.31,166134.81,210288.79,326029.99,0,0,151.20,151.20,151.20,151.20,0,0,0,0,0,372657.93,443305.60,24586435.16,26105874.45,24800890.90,31592558.52,31154490.86,23907111.90,25041717.17,29400432.80,21748830.52,16696940.20,15897179.85,12587024.60,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
