,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,6236031288.69,7122295174.35,6769740682.35,6233233874.04,5288411547.38,5726936825.15,5655705037.09,5098434229.53,6500795401.61,5169473722.11,6314481625.25,7290640804.14,6163749361.40,186520761.19,232756082.83,245375869.44,271394446.52,196512747.81,225165249.32,210391847.73,9249887.80,18597296.93,28797470.98,139095561.40,17706542.82,12149974.77,4138033.38,37104800.51,2815488.22,10928858.72,28899393.86,90881521.76,125312151.33,50094893.77,57437014.25,79098704.15,90455649.21,18036405.62,2920710.39,27606424.95,4764115.19,9707998.12,11763790.54,24698964.01,57640002.84,11091661.30,33540878.96,23511892.40,15292185.45,14224971.20,16837230.27,28061381.49,299796934.13,373642846.18,208549638.09,544219347.24,328622851.20,399057011.16,247831496.65,286591544.15,233841930.28,208847813.46,259716251.47,239107173.53,314421701.93,297723868.33,371567295.55,333278038.99,266555835.59,254069711.21,241112025.70,219023871.68,176847356.04,237622833.88,83841242.51,88955006.00,87889701.09,83141006.20,41342949.54,25331776.01,24071306.52,14526986.22,0.0
3,交易性金融资产,13458972701.47,13133525076.90,14426036525.34,12130200334.39,11392027703.92,9965532679.73,9859421168.62,10246025529.61,11569936993.94,9844675030.35,7975630108.76,10138218897.77,4333565670.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.00,0,0,2500000.00,65000.00,65000.00,0,0,300000.00,364000.00,0,2000000.00,0,8489830.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,7127641.76,4329246.10,286350.38,199000.00,117500.00,185500.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,165412025.13,156663639.16,121976303.24,149066146.53,171822922.44,183505669.00,184125492.32,182615113.05,0,190892985.05,0,208962377.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,306214.00,806214.00,0,110000.00,0,1793578.00,4043578.00,270000.00,2074711.20,3970000.00,15790000.00,2250000.00,2273518.15,4190000.00,4729117.51,1252084.57,1100000.00,1390000.00,920000.00,4681093.70,1500000.00,13919715.00,15587065.14,11536527.44,2293073.90,0,0,0,2190000.00,4000000.00,11140683.26,30192978.18,27432506.95,42200875.23,70659925.50,9114120.00,1683357.70,10195742.30,11684520.00,13730035.48,3364212.36,7449000.00,4033429.13,100000.00,5261784.88,13286246.17,37055928.81,5980806.55,25822731.56,16259680.32,11109216.67,18362793.92,13572033.54,3946658.27,5140346.94,4613371.41,8923829.73,18011617.58,15403748.97,3886000.00,17015194.38,5837897.00,10042341.52,4765010.22,14022217.40,5736031.16,4544916.39,5654700.00,6323013.00,6662204.70,10248030.00,12187911.52,14839452.00,2177200.00,5919507.00,2837600.00,4176920.42,150000.00,0,0,0,0,0.0
7,应收账款,165105811.13,155857425.16,0,148956146.53,171822922.44,181712091.00,180081914.32,182345113.05,219909745.41,186922985.05,158934650.03,206712377.76,121976995.24,109056871.15,95752684.02,111497741.32,109859643.11,116304720.64,91117794.55,109318504.79,90958062.10,75892339.65,62296246.61,67576169.66,899257.42,1283020.99,1776601.75,2341639.10,4799604.62,8332995.43,13385229.76,21479309.20,15727415.97,13330301.86,14121249.68,15124251.16,10427927.96,11329857.15,8940912.53,7922286.55,11520074.31,12014772.67,9962262.31,9147061.55,37603454.70,49868574.61,63206168.08,66003113.02,64668609.86,72075867.38,84657953.26,87913647.52,95758523.79,322375546.35,121844240.29,139091890.24,180398652.01,123418087.24,119340066.47,109175802.10,164464909.21,128113424.53,84920290.30,90247562.33,120874945.76,119033980.73,84140057.15,73869477.90,142002187.78,116323360.28,139592712.80,117959068.44,135396994.38,143475986.53,176089548.98,177635417.02,113513135.03,87253371.78,48387043.68,48567571.41,34410171.95,20421086.53,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,2383782.31,2440013.19,5435271.18,2357654.91,2783395.19,2494512.23,3138995.49,3230500.04,2925459.18,8244030.16,14532243.96,6391804.22,16289587.46,10833449.36,18130544.88,4463465.83,9791073.95,14425009.39,31012208.50,11689444.20,20294355.23,10104021.86,27282192.53,8249943.94,2491814.63,1350493.53,263644.18,1587495.27,7996547.31,13736864.21,17767544.94,15277236.19,20602033.20,16374256.78,12828374.26,11898367.06,19197014.42,12616512.04,22208825.69,14328040.91,12205073.76,11256459.28,12569292.45,28539010.79,55476733.28,56267915.52,61089038.52,93768066.89,68637432.56,60661231.41,51313710.21,58267968.81,170275546.07,164123502.50,357235194.57,183176054.73,223027825.08,223791531.04,219933126.13,170959773.79,137013791.62,177818153.59,236058995.53,177052560.09,168951142.53,215940048.95,205501462.73,153478095.16,159518870.10,168683749.18,178353730.54,166764310.37,190688738.63,157364439.62,137436965.74,110951241.65,60943030.70,57211280.76,36451625.39,49325737.16,20770060.24,8066889.71,0.0
10,其他应收款(合计),226852348.79,524391237.66,184053412.61,288255300.71,269011988.95,278217511.31,168738063.19,277828303.25,0,262886351.80,0,123525961.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,410439.53,0,149236004.28,171542263.59,138769433.84,98815857.61,164968863.97,146293567.53,135435033.50,61543119.77,21935605.47,12886301.90,236322.55,245093.79,326064.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,30204.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22127.68,22127.68,0,0,0,0,0,0,0,22127.68,22127.68,0,0,0,0,0,0,0.0
13,其他应收款,0,523980798.13,0,138989091.63,0,139448077.47,69922205.58,112859439.28,74349723.82,127451318.30,98445728.96,101590356.18,116632297.89,18164710.28,18369905.59,16152418.23,10667845.20,11157787.76,14583793.63,10728715.25,10271515.26,15626523.87,15917694.42,13965122.72,53746223.60,54074002.23,52342550.39,51725454.18,45210708.60,60692101.59,78617165.83,55697783.11,62736657.39,63258733.99,51756437.36,44305569.61,58631053.43,48193080.16,42393824.47,36049407.65,33634095.13,36661449.81,28073881.57,24197979.14,158587747.94,141269661.22,157661837.27,176657671.10,194138022.70,186350343.27,265193073.18,169637970.64,1007100727.98,496945092.78,266349106.63,1127100727.98,136165232.20,134195582.38,142436455.45,98788906.28,148692443.60,145411803.14,122763718.39,130393589.64,99150317.08,53249008.02,87104849.63,154215248.90,121425494.15,131492302.10,115612442.41,102446035.93,60947817.24,38359493.08,114748247.44,68102451.35,67963796.78,66269119.24,21097037.08,42141244.87,63872579.59,31641534.10,0.0
14,买入返售金融资产,7120233470.42,7561092601.67,8863170662.65,8835311676.38,8978152300.04,9405564924.33,7228087817.08,7322510655.84,7301623910.38,5349884820.10,4342351392.42,4569437225.31,5244378960.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,22038206.05,27515195.20,28951561.75,31132649.28,35527331.17,35795778.22,36819785.60,42863849.22,36320871.34,51388446.87,52445062.61,40995887.40,54174892.07,49997852.43,47529347.20,51643583.29,63250796.70,1429242149.05,1434248485.62,1429180850.05,1432205829.08,1439639390.58,1441992305.08,1384128268.02,37504122.35,16152829.26,18163359.40,20626821.93,24475462.95,25771553.86,41487764.84,48435515.64,62893070.81,56507461.76,50500935.22,67866605.64,58153837.68,36945817.89,52881293.78,38646267.52,74914396.48,47954837.07,25478143.39,32313157.35,186558254.25,243042944.87,244900315.45,266062953.45,264369405.52,238710344.46,236075636.90,215825292.69,226992870.21,208778806.65,316413965.37,216581977.89,340080118.96,337845917.38,276150372.16,267406797.67,202031192.83,246993695.49,207660555.12,186918055.83,236811891.24,242522345.68,230896572.09,185582852.54,187022935.14,195213113.94,176325507.11,165864460.09,189400193.74,162307635.66,123021459.17,106539328.55,147257523.08,128345169.79,79163776.98,86957734.07,77025948.14,64497635.11,0.0
