,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1112769623.46,1545243182.57,1007287326.17,824912111.66,1140810843.78,1290654573.79,947134337.47,853352671.20,889494801.95,678746036.01,662897173.28,419442371.86,561699089.65,632771607.33,935616011.98,675937273.22,444157697.42,590888451.15,1120544511.08,338872607.10,530323185.34,390328837.81,363359155.01,390872732.21,447560353.51,267236263.54,382396756.62,373434116.48,729689688.68,330167236.95,390277394.78,276967200.77,615663410.47,809503837.41,263766810.33,241970981.95,142412091.76,202899651.70,156268400.05,175152427.21,198788609.29,182364745.24,172765932.95,107092975.77,142634645.63,88447147.05,85474884.52,138130995.34,100673582.04,188974374.43,107771837.63,138641928.38,129026526.79,132146646.42,90359967.03,37933127.47,58980140.78,102883861.19,69196733.59,42958973.69,100988569.36,142167934.37,193421444.35,146108858.23,46643015.94,34809960.99,42017083.90,80751341.44,87607961.30,124568337.71,149935552.87,161086791.06,239215091.05,51206845.25,52831254.00,38718876.00,142314091.00,160208475.13,3520664.49,3704705.02,5627689.39,0.0
3,交易性金融资产,0,0,0,75970125.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304112.53,303801.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3212000.00,0,730000.00,0,0,0,0,380000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0,27457.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1330842099.25,1755710895.17,1725253164.57,1514779769.26,1567208789.38,1550323118.20,1282114941.27,1211559142.86,1168279568.66,1606683398.82,1768232459.96,1393436730.42,0,1297971735.46,1162005229.05,833521826.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,11990666.51,67727430.75,19346571.68,97658770.65,24027663.73,103118856.80,199932846.42,117542982.05,98787220.76,102931341.84,161473999.95,62479619.61,20441661.66,67862147.21,22050581.11,96831589.45,101431265.85,185400051.54,33948570.90,199586152.92,34694402.29,107005205.84,38034736.04,137177720.27,19063249.55,29466150.42,39647853.14,96876088.81,37744933.35,79757197.95,67226621.35,200645890.99,75844360.58,73393238.24,22665251.84,35544869.82,23077466.41,31043519.40,26770727.43,54364117.64,19976824.29,24831082.93,14243769.99,29586547.21,17357682.05,16464452.26,8303567.20,14910692.10,7614756.00,5383346.91,7318758.06,11209741.06,8163165.66,3175978.34,1600000.00,770105.00,1643842.00,1860000.00,0,563580.00,0,1104817.83,4380806.32,800000.00,1214000.00,0,1503000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,1318851432.74,1687983464.42,1705906592.89,1417120998.61,1543181125.65,1447204261.40,1082182094.85,1094016160.81,1069492347.90,1503752056.98,1606758460.01,1330957110.81,1484313266.42,1230109588.25,1139954647.94,736690236.67,896240486.06,727897412.76,664524833.85,383897415.88,661290523.75,517716901.23,636984553.01,280052267.82,535142799.18,477113041.83,336965793.30,177366316.66,216240370.35,177488234.79,165193447.44,126227148.31,177240717.34,210982255.21,227524449.55,188756318.13,320756850.29,314886290.71,326225508.95,256984954.81,351294839.09,352448608.35,331720127.27,283580150.16,389625305.14,387334571.04,384683520.34,321547001.75,406404380.56,427295217.30,396763261.63,342537855.51,352225516.04,336275756.23,289401360.42,238938848.49,260854760.89,232458650.95,250488474.90,181052444.48,185508603.74,167083277.50,173959630.03,141546955.02,159088797.79,151815318.50,164829006.64,142044171.39,158017449.18,155069171.02,159636669.13,126791955.38,144664903.70,113574375.61,144365444.00,99660374.00,112848850.00,92040246.75,94919056.15,41111242.14,9862668.90,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
