,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,203017017.51,190214841.97,157389873.84,253917845.90,238030282.29,130166186.16,165589141.37,271702841.74,147419467.35,170325148.12,66151838.10,346686948.66,104172485.10,122447713.89,133815518.64,171637464.54,104167413.06,118910456.94,121625772.50,123895126.02,95436916.02,73182229.81,107671448.74,204316101.06,127184726.10,280767290.80,126592046.32,124107153.06,49836545.20,79854770.77,54232502.18,118047703.26,83033696.05,123268405.28,114815228.68,157644322.85,60822702.63,59010793.39,69720283.28,53923427.21,20491231.37,51193072.98,48297342.74,20619704.04,21876019.78,22841759.61,35389434.72,30486845.03,31797892.39,46412650.18,28339534.27,31668379.18,34097330.71,39626958.13,26948788.13,41281520.42,53757862.75,104451623.64,91479447.07,132842017.61,156927379.57,214477620.70,256573656.12,245733596.43,272369574.97,204711460.91,226589207.63,235274293.18,153862749.04,226241417.15,200173752.64,231538526.33,242635467.06,299787372.15,355620025.43,9243546.23,3015636.74,7344694.56,0.0
3,交易性金融资产,63200000.00,109330832.20,105702988.00,111690600.00,0,0,0,0,40000000.00,0,0,0,1000000.00,1016178.07,1016178.07,1247789.76,11211505.82,1228260.71,3218404.89,226092.43,236638.15,324698.93,11316426.33,340225.22,22086790.12,1303946.56,290700.32,290700.32,272728.46,266122.70,2253388.23,2253388.23,253723.13,302706.69,315893.60,315893.60,255989.79,255989.79,284148.14,284148.14,1638375.66,138375.66,109596.68,109596.68,151400.00,185400.00,200000.00,0,0,0,0,1000000.00,2250000.00,1250000.00,5863549.54,5863549.54,4986721.04,4986721.04,6926772.15,10209572.15,11499477.29,7249477.29,8011177.29,10011177.29,13454796.88,9844796.88,6011124.16,8041624.16,13257605.84,8190646.00,8190646.00,8190646.00,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,118678675.12,149685626.23,148877962.58,139368237.30,166268318.30,148020224.86,88409330.85,99590608.00,0,86402798.05,92429531.39,74474854.08,0,76304582.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,331831.60,230000.00,100000.00,628825.60,150000.00,77840.00,2025680.00,3189484.00,2242622.00,1475000.00,2991100.00,1287830.00,671161.88,700000.00,2525000.00,3254509.80,1827011.20,4990000.00,2395200.00,1900000.00,4200000.00,423440.00,2830000.00,1603800.00,770000.00,1820000.00,241000.00,4320000.00,610000.00,100000.00,2230000.00,0,490477.12,566480.00,1515620.00,2614502.00,352500.00,643960.00,134193.00,2734735.27,1722832.48,1479794.00,461710.60,460000.00,276904.00,1273074.00,194866.00,2033794.60,1209673.90,1342412.40,7524.00,0,1135529.70,144000.00,164745.30,864745.30,300000.00,300000.00,1115250.00,632720.00,0,417199.00,850000.00,970000.00,200000.00,660000.00,367000.00,300000.00,850000.00,1200000.00,1900000.00,900000.00,0,0,0,0,0,0,0.0
7,应收账款,118346843.52,149455626.23,148777962.58,138739411.70,166118318.30,147942384.86,86383650.85,96401124.00,109420534.03,84927798.05,89438431.39,73187024.08,90688800.95,75604582.79,68685802.29,62119976.80,68591285.50,46315449.85,52415401.35,42416932.23,52074414.15,39019349.10,44171230.41,37839538.38,76713326.48,59585093.31,55109730.54,42499147.29,56694436.77,56818371.92,55405184.05,36597356.86,41807882.46,37951649.21,42426614.79,31166433.27,38504610.02,42531087.11,28728091.31,24119496.73,23907685.51,19728282.45,17154373.06,15466592.46,42037904.74,34439480.50,34624981.82,33973018.92,49599045.42,43814239.54,52340379.27,47981737.65,76855498.68,72251820.43,76954788.46,73873677.78,75121318.59,75925290.59,77515724.27,72801618.94,86569289.31,81485053.88,74765714.32,59724461.41,60238534.29,53280062.38,47368618.47,44958590.05,37751845.66,33672140.37,25759969.04,26312227.93,12325882.16,12997518.45,11500512.58,12422504.58,17904162.33,3435061.12,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,29075115.91,58745739.89,40060978.35,28530063.73,54772204.86,48753105.33,6169323.51,27118153.62,88340727.28,80964382.61,80716095.17,48678852.79,90529666.20,81751683.13,65715507.14,60712140.84,76938427.09,81111769.30,70406124.89,53974160.37,51322596.75,41447939.39,40952968.36,38691452.50,46957708.35,43551789.80,29314335.24,29839214.81,31861991.63,31619098.86,46917225.02,30193549.92,48959854.27,50657527.06,54197315.74,42969887.24,33495542.02,31077353.05,27414933.70,25827930.95,24091937.47,31958995.49,29399522.40,12165878.64,9239295.15,16402323.84,18774823.91,16910145.77,18341797.22,56436020.34,60331840.80,47494343.88,48235242.38,86668536.08,84739131.66,80530927.71,119909866.41,89615222.24,89080908.13,72786526.10,68406415.12,64708092.74,59499316.93,59905532.05,180642363.31,183085711.20,209636573.06,200999231.64,181313954.30,44456573.43,49477076.26,83684365.29,23598489.81,19025437.70,8213998.83,2179306.15,1755952.49,4009600.00,0.0
10,其他应收款(合计),70876311.32,64922795.76,73842076.08,38571075.64,87329487.78,81090607.59,20973411.76,35602731.79,0,71394584.62,33792132.27,27943154.08,0,30073918.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
