,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,304675250.72,309936823.90,344472175.71,347827593.55,282781820.93,230780143.16,264764240.55,201001946.88,253569671.83,93228070.69,110358215.78,341701222.29,403743788.14,439686959.86,110841142.84,206418657.72,251650304.30,323631611.07,293802498.34,274605945.65,390414378.69,211108637.62,152781820.08,205762299.98,178519104.81,349959809.21,55024503.99,108464428.01,250542695.46,267502775.20,313209836.48,468548847.63,502161540.46,723384886.49,118360346.05,116749026.87,261823975.07,195111255.40,50309773.67,28346810.38,102635217.49,283585954.76,145108526.42,161363731.22,142124235.84,123757475.68,87960448.55,141738199.42,126894736.19,176063611.17,180339702.62,167974843.78,113245316.61,114276546.38,99099928.63,90246311.41,76102991.41,101711276.89,145114765.45,139738101.47,137694828.95,170951441.85,48390727.41,83133222.32,61134442.33,156301557.78,206065038.20,362745425.04,86569890.69,21674994.00,17054722.00,0.0
3,交易性金融资产,0,0,0,0,0,0,-685200.00,-685200.00,-685200.00,-685200.00,0,4193972.64,4097005.36,4097005.36,260290.99,260290.99,260290.99,260290.99,298801.42,298801.42,205250.70,205250.70,189194.82,189194.82,189194.82,189194.82,165593.58,161151.33,161151.33,161151.33,167000.00,167000.00,167000.00,167000.00,196600.00,196600.00,196600.00,196600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.00,50000.00,0,0,0,28079080.00,27888800.00,29946400.00,29946400.00,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,579071703.64,656087171.01,718368422.12,642767966.22,654488107.93,604015714.78,633714404.72,663619000.12,541521055.72,533504147.10,0,571721551.40,0,586161717.86,0,562209369.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,190846340.82,341141680.19,257123546.93,198691478.77,261031194.04,224926021.75,165535397.83,251272875.47,141663068.04,154786316.36,255819851.93,250004913.79,201833777.01,301782859.58,185359153.12,215135246.68,121852974.99,110855084.12,72522338.26,82240875.54,53504201.23,65832193.90,48286370.87,61994752.38,60726658.15,66800340.19,32512009.64,38176474.66,38558899.82,60607298.21,52016489.08,46272157.65,26865282.18,15128768.48,17320218.37,12586641.66,10553574.91,12880418.19,5827649.01,1801252.05,5483725.53,524333.85,978036.40,5146034.30,50000.00,480000.00,1206637.09,700000.00,340313.02,995164.92,4259765.83,5156160.14,5195882.73,1210000.00,1587912.87,4594483.51,3120582.00,7338185.29,4627625.90,13523739.81,4198272.51,7623272.51,1860000.00,1780000.00,425000.00,525000.00,104000.00,0,322000.00,271488.00,350000.00,0.0
7,应收账款,388225362.82,314945490.82,461244875.19,444076487.45,393456913.89,379089693.03,468179006.89,412346124.65,399857987.68,378717830.74,349998027.45,321716637.61,317112352.91,284378858.28,377909671.20,347074122.72,372503481.88,314153959.30,317409340.73,281624619.43,295396878.65,209745466.87,245930921.87,202523243.88,239245274.68,173013539.38,209000850.01,211883799.41,227488574.02,140933174.05,217114125.88,204972218.87,225968525.68,186381511.73,171230222.78,174684681.23,182708784.84,186335142.43,171568319.41,141046709.66,147082535.34,110299585.64,110471900.99,95354436.54,121019700.46,81457975.38,115336093.09,137671829.92,133148053.55,112442054.54,131326506.25,109010753.19,122514843.69,109000213.31,134371498.41,130082836.38,137817644.04,102808991.04,126419782.83,115313768.81,131214274.10,103190697.47,110395921.34,93355045.55,104304023.29,71526811.30,81175434.50,80116785.31,44076982.63,63752162.00,48138488.54,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
