,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,87301823.05,77902246.58,90482509.28,92162587.70,91396167.28,78597667.05,72558230.99,28762459.53,39253562.79,12709240.69,50539112.93,6714235.50,8548797.50,21468955.59,22747623.79,8530699.16,17740182.87,39991705.99,56550617.16,25470841.53,12775365.79,8818714.50,103978496.87,74214718.85,53614936.68,16409830.78,82742014.45,71964456.17,74851892.04,77471108.14,62325196.58,57328737.25,63612288.27,2647080.74,33478477.88,36119895.28,39587610.65,10217187.32,20330144.26,41922135.96,35587537.06,38439405.95,50933179.40,53699657.59,46785641.86,43927272.35,55941281.81,30621894.79,32871954.46,35968059.62,50142099.12,18785803.15,36714526.58,20586035.27,21735816.56,57764291.06,46185462.03,18734794.07,33255948.43,59741146.67,120144563.05,164446891.28,186924507.08,133735127.78,116507838.61,80404579.49,163810123.84,170236474.20,176788397.77,91043503.81,130802491.36,162124516.76,310268404.62,17452693.43,2467069.44,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200897.67,10000000.00,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84500000.00,84500000.00,0,0,50000000.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2850002.34,990066.97,966564.83,0,0.00,19982360.11,19906620.11,26848973.40,21012543.44,0,21012543.44,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,10399129.52,10819129.52,420000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.00,0,0,0,0,0,0,0,0,0,1457800.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,2850002.34,990066.97,966564.83,0,0.00,19982360.11,19906620.11,26848973.40,21012543.44,21012543.44,21012543.44,6464025.23,0.00,0,0,33079.10,33079.10,32887.10,36727.10,888272.32,484816.25,721013.56,2341873.81,6883489.23,3507489.43,11715446.77,12256383.75,12143541.66,19671122.76,20936279.83,4142897.37,11626077.88,10561094.90,4176121.56,4224463.16,2408566.54,1049638.09,2814922.50,1535534.50,7839240.95,11528896.50,10928866.57,1366.57,309280.23,8289311.42,4377785.64,298497.64,27608328.65,29923867.79,9680877.14,2284719.54,15133792.34,20395100.95,11520904.82,9132384.11,10861084.30,19178200.67,21766251.77,13540200.47,9864485.92,13865642.56,12365911.65,13299417.90,16454083.87,12493607.97,17198256.49,4810797.99,6850745.79,6155504.69,14653306.50,8828145.43,15920827.76,2961165.34,2526050.66,3246622.34,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
