,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,4760362611.40,5320524942.00,5724311645.47,4279391493.15,3261435407.54,3744274978.71,2674887834.29,3247912744.20,1091623007.89,1976094480.92,1890597177.34,1918765109.42,1433018389.12,1165600220.16,842339836.29,1639101504.93,1762977634.22,1738211441.39,1861080496.87,1702366357.66,1702049232.36,1496513946.52,1829962529.95,1721688900.79,1574793793.20,1585221628.28,1510581668.99,1231810312.86,2206696061.25,1846946228.78,1592969756.98,1802370117.80,1810900376.83,1445136458.38,1479315164.73,1337586085.03,890763928.42,954384338.51,1227269314.32,1031555488.40,686708265.16,1001957400.46,1361416906.74,912848907.26,1205676920.32,793205037.44,615153943.28,563955842.71,466316117.31,799304658.97,645795770.11,509447570.93,553550863.93,353679756.31,374713866.34,444504715.78,465178408.93,562459342.48,465421687.58,538768714.14,514884373.72,462540827.88,635007162.87,473643007.09,476764401.99,411881223.81,107536824.08,106442176.52,95218292.15,55167336.48,22578877.84,2138783.72,0.0
3,交易性金融资产,640000.00,653000.00,607000.00,662000.00,435000.00,509000.00,989000.00,892000.00,888000.00,908000.00,870952.00,1075040.00,1210443.00,1199000.00,1380000.00,1186000.00,1371000.00,938000.00,1580000.00,1176000.00,921000.00,1098000.00,849000.00,812000.00,814000.00,673000.00,661000.00,570000.00,550000.00,557000.00,475000.00,529000.00,482000.00,665000.00,739000.00,783000.00,826000.00,805000.00,628000.00,714000.00,718000.00,565000.00,643000.00,592000.00,353000.00,342000.00,633000.00,1628000.00,1628000.00,1628000.00,16555714.25,13280421.81,1320303.16,5372648.97,3852432.40,8113219.95,7262644.57,7733427.97,2554868.46,1129208.46,4771237.77,6053840.00,10022400.00,10000000.00,0,4600.00,4600.00,82360.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,266231582.95,1905657685.72,2759473304.71,2295689947.00,489725577.74,2056101825.66,2973046837.41,2218964362.05,1664013857.95,0,2097997326.64,0,1284101059.57,0,1320206635.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,1419112626.79,2202333905.06,1706061167.63,220097810.66,1582471791.91,2491121166.55,1728470825.71,1409516421.03,2035023279.79,1752530008.52,1278366433.47,1037920290.01,1132340125.67,1009751116.21,1558507362.32,1499728055.70,1353760490.42,1275788116.98,828847272.32,1032999437.53,989272021.50,1526345771.62,1631162779.25,1513284466.23,1332283534.52,1292239402.15,1232366551.64,1172291669.83,1294456929.43,1308581956.67,853660987.73,590742559.94,1001503219.57,1004262279.72,861061414.07,449307002.81,448701529.19,512140718.07,573698487.90,560251739.49,410060783.65,153348511.73,306189377.27,138623348.27,86138114.54,132336957.28,59290790.44,163475407.27,88692005.32,175154862.61,242231824.66,112878988.79,151652301.77,149596905.62,61494638.66,69137835.13,87658174.48,120157532.48,59634818.26,125308411.00,80037630.86,78818996.30,110675304.60,53132741.07,52693513.39,46840685.19,4986949.49,22289776.71,9221818.00,7127120.84,0,0.0
7,应收账款,266231582.95,486545058.93,557139399.65,589628779.37,269627767.08,473630033.75,481925670.86,490493536.34,254497436.92,419015777.86,345467318.12,414515195.98,246180769.56,327533703.58,310455519.35,336689781.43,253518549.22,323937840.20,351009906.21,332352781.06,298084331.40,341349908.45,294902968.66,286494525.25,251215025.89,268409220.64,298400671.57,281814001.04,247832279.36,288956006.89,326405245.92,297486483.33,253497391.60,285334810.23,320235532.22,286662208.57,218012500.26,253933235.61,251645840.63,383963372.34,221976906.48,196891195.50,212210866.11,194442721.13,152546901.19,172334905.51,139342636.55,160224348.66,106250665.05,233031282.83,148876149.29,227454865.87,118597509.45,300284239.59,151842571.63,202922795.26,65389269.62,155219062.02,116563775.97,100132332.97,66040319.30,102254609.72,94344693.48,43320451.98,77100116.37,55465208.85,48215587.88,45159482.48,61880316.97,46417415.73,46903752.47,64599493.14,0.0
8,应收款项融资,1839505129.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,187822347.46,246464446.34,517842111.59,184383515.71,87224410.68,240445983.29,199905317.45,145691151.86,102550940.69,115720814.26,166993674.44,183295755.94,111595970.99,144860929.23,49811678.88,42539340.49,63045507.50,142382727.10,84775950.24,173050906.49,75698519.85,164710407.31,233954798.48,298900264.79,127021863.88,294439485.26,210552667.29,235461755.26,101248124.06,176367516.50,201406301.02,268910148.02,184694290.91,390019141.82,284347204.53,552380145.26,238462097.85,422366560.01,521363307.06,716106009.19,300499073.11,599316920.93,515711519.65,533621544.73,209186774.50,381883452.09,408516704.21,431611901.28,206688139.67,212284670.49,291148297.07,340218235.15,165610425.01,92163195.02,104893440.09,54339007.59,36923927.77,30652903.32,38906641.15,83928361.26,28958622.21,75573101.09,106148440.98,59232604.64,37530447.23,44336452.85,6285190.65,5863590.71,1694420.47,1680120.28,478546.54,1041455.14,0.0
10,其他应收款(合计),63467220.33,130111104.70,103829042.60,390664538.93,52674183.56,55813551.06,37864729.11,40989774.77,28886714.58,0,25590403.07,0,23197675.35,0,31597744.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,5990182.65,50734445.97,28033052.64,16886448.63,8669178.07,21962925.43,12620255.91,5827997.26,2795000.01,14000444.45,1518750.00,0,0,0,0,3000000.00,0,0,0,0,0,918050.00,4218445.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,4967477.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66600.00,0,0,0.0
