,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,203916095.19,219575352.42,259763702.20,298163174.15,321513060.45,376867467.27,423414659.57,415050315.36,430092352.92,434334459.90,405135550.89,431072058.75,405791430.60,400371281.64,393957680.23,406741479.80,398114798.14,377811740.99,111957815.67,105425559.50,96793316.02,100682759.79,111467445.90,115252413.10,82026888.62,84560967.92,72327338.28,103922201.73,66572723.77,68875621.35,72211135.82,70718041.10,66341907.19,64579174.54,72290639.88,74904280.11,70014996.65,76505045.12,78684841.70,82650279.31,71197551.21,74436656.81,80248342.14,83660898.05,70784864.50,58538980.12,64518231.87,103917019.37,85685678.20,83893836.72,95709026.38,96781599.35,107100745.45,112773581.08,119498562.05,106281636.04,100946218.45,107172909.04,116666361.58,132289084.89,125885970.58,122601778.32,142332560.10,142657161.95,0,158711013.90,169621075.05,37301032.86,28515082.21,13921353.78,0.0
3,交易性金融资产,43920.00,44190.00,69300.00,41850.00,47520.00,43740.00,45990.00,51480.00,55800.00,52920.00,52740.00,52290.00,50850.00,46440.00,45900.00,54450.00,53910.00,99810.00,63630.00,305782.05,175721.90,166131.20,169276.35,179804.10,187574.25,172617.05,210509.40,218825.90,192711.05,202854.45,226357.60,218271.30,215854.50,246131.80,243135.90,234777.30,515312.50,471120.00,441750.00,510752.00,298256.00,332290.00,246096.00,208761.00,252577.00,339339.00,381295.00,206850.00,307300.00,47400.00,31960.00,94400.00,0,2400000.00,0,0,0,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,400000.00,0,0,0,0,0,35330.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,314983985.64,276707416.64,236991672.58,298634305.82,275750686.99,256629589.58,234602170.99,272353683.89,0,214629316.58,0,220330035.26,0,201764524.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,75128834.06,48676918.43,27669827.35,57929842.61,48404321.45,65113221.95,49066751.45,72929833.86,63764265.44,52223992.74,54092114.54,58127175.15,53875907.13,43388147.36,42347524.08,52337786.98,41738438.88,38265421.43,32021144.52,42860363.97,42127228.29,36510353.84,34277299.47,42658957.57,40650068.23,39585301.62,28066982.97,60632509.65,34908409.36,31054347.82,28008409.21,29425563.31,25963575.03,25863692.18,24954594.28,25324525.65,15092878.81,12153601.27,11063334.08,22412453.42,20996564.07,14570139.40,5474639.59,10053383.56,9885115.97,13712976.99,11093022.32,6756404.08,3627837.55,11463011.80,4921979.10,4763331.60,5765284.44,2096677.20,5051173.96,3588133.40,3533765.85,2290853.26,1723478.00,3883298.00,6025154.59,4299969.79,3686513.20,3399384.80,0,3027450.00,3126131.00,3022341.00,1670000.00,2000000.00,0.0
7,应收账款,239855151.58,228030498.21,209321845.23,240704463.21,227346365.54,191516367.63,185535419.54,199423850.03,167889788.20,162405323.84,154380336.14,162202860.11,161809016.97,158376376.94,166868563.07,168167669.62,179669098.43,175367542.87,184176803.21,150801475.67,179537209.00,177546147.96,158669007.51,136207860.71,153232905.02,146622112.88,104098167.69,110078482.30,106282716.40,100949956.13,95890869.41,91931223.62,102195415.17,98643628.57,91021733.83,81748409.32,89066752.83,82131578.42,80778354.66,74201175.26,82349485.36,80267285.83,76910389.13,75605022.24,83309869.88,78098977.07,70362419.87,69065592.10,71875531.00,71981886.60,65059701.99,60832001.25,68850257.95,64616750.96,61064782.72,58053350.65,64719221.19,63271046.31,63807190.09,60157361.83,64638029.43,57113114.76,58373390.43,52626517.98,0,45114599.01,44104826.12,33992646.83,30046013.16,31310088.55,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,67798884.45,83153992.65,104510794.55,57225768.98,26527581.43,11687071.22,13228739.40,20410536.90,14030388.97,15172480.77,14278568.67,14475626.76,40013356.01,35343104.00,15276358.50,11719658.33,15955367.91,32269584.99,11206830.74,21525903.00,21288425.89,35041418.03,13543297.88,27272444.43,19644929.55,27113693.89,17855999.41,33338001.62,15069701.50,10229685.26,12640095.86,12781004.38,18061072.59,12514703.93,11461774.57,15848504.24,7170038.53,8026154.32,9313973.93,13389556.08,17884690.68,15991650.96,13258661.48,10583910.28,14094923.13,10255265.66,10742278.40,17570574.67,20833780.37,15002789.61,16104331.78,17694618.85,16168963.07,20653379.39,20822380.91,15547502.21,20853372.82,19638521.87,16016154.49,16663647.90,19058061.28,21229503.68,19307804.61,13882084.67,0,11277989.51,7152856.25,2133120.90,4890938.39,2731893.40,0.0
10,其他应收款(合计),73530150.00,69835430.46,63302054.05,59384193.31,53236240.28,43910416.22,39065604.34,36181758.20,0,22993429.47,0,24645117.83,0,28662175.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,69835430.46,0,59384193.31,53236240.28,43910416.22,39065604.34,36181758.20,32337427.35,22993429.47,24539422.10,24645117.83,21428132.09,28662175.70,22562073.61,29260981.52,26044089.18,29852664.76,34034313.02,32360507.61,36586628.68,42892864.35,43366352.03,34598515.34,39435456.17,36224846.56,31848721.64,27069162.83,27522541.56,26636004.84,26472814.40,22937738.46,26030346.05,25427062.75,27120737.33,22997661.41,25795198.00,23025772.06,19209263.59,15291310.51,14359212.21,13631734.79,14993576.76,12616547.91,12617041.87,14658655.31,17552564.89,11249615.82,15181087.49,11656374.32,13791574.33,14199251.70,18054616.45,16387135.06,14380509.92,15738762.76,16834509.38,13198645.14,13010660.76,10914352.16,13377163.81,10013542.71,7484539.00,6861973.07,0,5532887.00,5066640.24,3462545.15,4763616.51,3940858.75,0.0
