,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,243089834.52,244631966.90,252884328.95,244050146.51,192564591.16,189724368.22,180027151.11,176988802.66,134930284.91,150350559.03,111845011.94,148857538.88,96684143.27,105022925.33,73121696.20,114409673.14,96213027.70,160868670.91,147826632.29,162957834.78,183247183.24,310187610.69,54138238.30,59948837.89,29413135.99,19889149.00,44537901.76,81195613.23,27456664.59,44972197.72,47331380.30,47824544.82,70966631.92,79479188.82,77068548.37,104919745.04,108889341.87,123211428.61,117135789.49,66476265.95,69034203.33,52685489.58,68776653.92,66886052.69,60390296.85,72599547.02,42649999.78,45871239.25,52071218.23,64332834.23,28179389.73,46453393.14,62339019.55,83879109.32,69822461.69,83065487.85,56696122.75,56059178.31,52829638.40,51945782.25,61914118.73,49490654.08,62128715.62,61500705.61,39563331.24,42956519.78,62724350.52,61675593.59,55112234.49,98838121.65,91665473.39,146788325.87,13793154.26,9859670.52,13268207.16,1924892.96,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.00,0,0,0,0,0,4000000.00,4000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,106967406.70,106602619.25,99719693.94,92987232.86,114027116.51,128391947.49,111129285.26,101021350.90,0,107857627.69,0,84458530.68,0,103349870.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,15882599.14,8386331.63,6714327.55,11917618.54,7802197.88,13037145.09,14832097.75,15042220.64,15568091.24,16482831.10,15615460.85,10605848.86,10741122.29,7722403.73,9342290.78,21939778.36,23885613.61,16712699.95,13556347.77,10476898.91,6423799.21,3994256.07,8629172.50,7541506.70,4560428.30,16179735.20,31290893.24,28378003.93,26405197.48,19903291.55,9721610.62,14819733.59,13584406.77,7142877.34,8764593.17,9490819.88,12759686.02,12651201.70,7918588.72,6341762.23,11695602.38,9527054.76,11567283.77,13906451.08,9855459.13,12806040.14,13494435.61,9671058.90,7876156.65,12734866.91,8777439.03,2407582.00,5783110.00,7549086.13,3318500.00,3980621.68,7309120.63,5726228.00,6016941.00,6351026.50,7233688.00,8879627.85,6950727.31,16527304.32,6714400.00,4896235.00,6326735.00,3485630.00,1611497.00,1456497.00,1330500.00,1912763.72,1511105.83,300000.00,150000.00,0,0.0
7,应收账款,91084807.56,98216287.62,93005366.39,81069614.32,106224918.63,115354802.40,96297187.51,85979130.26,105604896.28,91374796.59,90952679.39,73852681.82,90761430.09,95627466.61,92723561.65,92166495.65,99596227.66,98096830.66,106453574.07,127005643.29,141379598.99,132430718.81,128667711.95,119804352.07,136459964.75,141670543.45,121015693.28,119485219.28,119527064.29,119810600.45,100913512.37,103001950.21,95617476.12,91174759.13,68735152.31,64581148.43,71782223.13,73027945.20,72970375.83,65862047.48,61689056.20,70830851.30,74268004.88,71044261.49,76460580.44,80968908.50,85296635.04,70570310.92,92346003.54,97497725.33,78907254.14,73629301.12,82356555.28,76112891.50,78509086.66,62118405.40,69917789.61,70831361.62,66397111.38,56386241.44,57019685.22,51641819.45,49015638.81,41014497.14,40435066.49,36397586.79,26780372.47,29395487.40,26475260.19,20168736.19,19095730.58,17324707.99,17584304.46,13143271.80,7934151.80,8254570.43,0.0
8,应收款项融资,5937596.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,0,4051332.98,6700242.72,3484378.66,26707029.83,24410938.32,26719116.19,2464543.18,7940070.12,8850066.18,5442558.19,4811056.04,5632777.22,5469574.94,5583068.69,3010998.29,9213774.59,8526328.99,8650694.55,6069153.82,89495313.05,95680069.90,104400796.26,71621099.78,66534839.13,56939362.91,48301805.56,14310404.42,17036555.10,14309209.80,11249295.50,12127289.83,16621878.92,10995031.42,11057872.16,14056672.95,15132157.14,9812425.22,8129448.23,4381010.14,12211194.11,11196414.89,13295094.07,6952934.14,12647337.13,8918806.75,11250009.48,7317175.15,19844975.76,22599434.03,24253343.31,9511901.82,20456339.54,31980389.11,24029538.14,11977182.91,35566143.88,17030297.64,19117753.64,13493066.41,10473343.76,9961697.08,12247088.99,6747567.40,11410766.69,9600190.22,8224305.75,4814818.41,4038520.90,2552656.62,4468906.57,2796435.22,3380579.46,1332029.47,2770250.14,1892868.60,0.0
10,其他应收款(合计),4538259.22,4046599.46,3671790.68,4939396.20,6805281.52,6652803.85,6441708.46,3917023.72,0,4668061.49,0,5418074.53,0,13999810.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,6805281.52,6652803.85,6441708.46,3917023.72,5882976.80,4668061.49,4565331.85,5418074.53,15902754.91,13999810.17,12279941.43,9631319.90,27312062.00,24767321.79,25337916.82,21749217.87,11160786.97,9563344.68,10710894.47,8778598.83,10812647.26,10863362.32,12030729.20,9016259.71,13781514.10,16857410.86,19569483.77,14128601.86,12594366.62,5407773.12,31393088.46,8235264.24,18862097.74,9550629.41,-1589946.46,6823721.53,10898907.10,10222389.82,9247241.51,10418171.95,8104813.93,11793640.12,13560359.83,12389335.37,23886683.23,22593464.90,17439022.90,57762292.40,15655628.14,14163196.77,27837559.83,11529897.27,17723967.40,12151598.99,9948020.56,7832596.88,6033513.57,6209841.32,3273838.27,3625972.35,3500786.11,9175514.49,6274793.77,7143371.15,5031940.86,1521290.22,6042479.13,2034986.88,4606148.91,2760155.68,8223917.67,3533007.83,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,104856150.47,102751915.63,99867729.45,99271488.14,114446531.41,104365741.28,105804114.75,104890921.84,107792256.31,110887573.10,107647489.47,99314359.51,95031092.94,85432338.14,88179825.01,88645674.03,98757919.79,95295257.74,92226937.04,88911473.15,117455184.33,122017170.53,114922176.10,95658021.28,97170056.03,87032910.42,76058827.02,71833452.14,71955897.30,79247581.55,86633499.50,84620106.56,91824323.16,88452107.33,70942806.55,75824649.84,75250876.16,65815577.25,61831867.84,50450580.35,74881002.28,73150494.71,86959753.62,87488353.33,91921295.38,89276328.23,89499392.20,91513696.52,121897447.87,124316581.98,120950849.66,106992170.14,147084174.78,153383898.75,147600978.11,142069520.78,143864250.29,131773476.91,120675184.60,113730713.35,106073019.57,91691796.65,86256415.36,74923469.59,71139741.98,65820319.04,53154413.85,45060692.25,41802072.86,42484247.48,39909156.82,36652006.42,33025599.12,30740620.72,22207094.40,11569346.04,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,15010.77,60043.17,105075.57,45032.34,90064.74,135097.14,180129.54,45032.34,90064.74,135097.14,180129.54,45032.34,90064.74,135097.14,180129.54,96397.86,385429.62,0,385429.62,0.00,205300.00,0,205300.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95926.61,0,17597.00,22598.00,85114.87,441667.31,366923.05,199379.82,150000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,5454076.31,5222452.10,5783264.05,5539441.80,5054155.13,6316819.34,6548468.54,6722528.36,6732942.63,7099327.07,7030430.71,9276749.21,7315959.10,7248150.92,6835268.81,6962736.62,2694120.36,2281908.94,2268457.21,3699507.94,0,0,0,0,0,0,385429.62,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,470843323.67,467306886.32,468627049.79,450272084.17,459604705.56,459862618.50,436669844.31,396005170.66,384451518.29,389728225.33,343159005.57,352241384.42,322114312.16,320612734.58,288200749.71,336946805.53,357717778.05,406639083.72,396455656.89,421049859.30,549206898.13,673963235.42,421604086.72,363532546.09,345047469.32,332960492.92,333621279.68,324604382.33,276162892.86,295305591.93,275418782.06,276727526.87,301209083.51,282651737.16,267962061.02,277108300.38,302676382.06,294069207.39,266396123.65,200335387.68,240409965.40,227612695.06,264114031.77,256696224.68,259379782.86,276363270.76,255750831.94,237332816.11,317922485.28,344074907.38,278507298.77,296872808.44,334036099.32,367611714.83,351140722.43,314826230.76,331519061.87,293939064.52,279184029.40,253889426.83,248747368.85,217875436.43,219872424.36,204339516.41,172764092.51,169439231.97,163484971.36,151575592.80,134071526.30,167021549.16,162512246.49,207509226.10,73900892.04,58135748.19,54553621.17,27174685.86,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,70000000.00,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,86603923.75,83627630.32,79219932.47,79219932.47,79605642.06,79605642.06,0,0,0,0,0,0,9135643.62,9135643.62,9135643.62,9135643.62,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1636856.98,6455116.31,3135183.61,3135183.61,3135183.61,0,0,0,1534504.31,1594857.17,4269140.90,2329493.78,2389846.62,6378329.45,5464782.31,5309006.76,5369359.62,9489116.21,6528355.96,2694510.62,2754863.48,30497364.00,30000000.00,30000000.00,30000000.00,30000000.00,0,40000000.00,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),1997084.22,1997084.22,1080437.61,649403.12,232797158.46,228897480.04,229385936.93,208457264.64,0,197018991.53,0,181595412.56,0,173453445.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,0,0,0,232797158.46,228897480.04,229385936.93,208457264.64,200565999.79,197018991.53,188221085.69,181595412.56,177437061.38,173453445.47,168819000.29,152161527.77,141114204.75,141866459.76,132936911.16,105285727.51,96914495.25,76711489.10,57949651.65,52026365.72,40498802.49,39984581.02,36091794.21,5064862.33,8924454.32,9564467.22,5223908.03,4895958.51,12468030.10,24725318.13,22550088.16,19930648.50,2365562.97,1960418.52,1960418.52,1874948.43,2178978.95,304909.69,3721128.75,532870.00,4220413.60,4220413.60,4220413.60,3414328.75,1532473.80,1371333.80,1103258.80,11461909.59,13217174.67,28160354.07,29663227.79,23531131.51,69040891.25,59947626.42,52342784.68,45441220.34,70953398.52,97737720.29,110601501.01,105234287.66,20286436.24,33243587.02,33470932.36,20391427.88,81126087.13,62781097.37,26474741.04,47612331.21,15769941.61,9199115.63,9454615.13,1103671.79,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953223.50,963025.50,467671.50,953223.50,6744332.43,6235758.75,9186940.11,6730520.98,14024950.61,18056368.69,8290951.66,6930406.38,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),381739366.70,386714623.72,391879359.61,392934080.74,131461281.29,132420331.18,134609091.91,137998694.66,0,141195343.53,0,146810051.88,0,151713650.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,386714623.72,0,392934080.74,131461281.29,132420331.18,134609091.91,137998694.66,137735811.37,141195343.53,143799232.85,146810051.88,148763847.96,151713650.47,150537862.75,154268338.62,161996003.81,165007519.98,168434067.99,171758665.36,133405244.55,133168802.89,137153706.13,141815588.34,146639939.90,145556742.17,151898411.20,160421936.57,151841824.65,152240815.96,154924980.94,157966600.17,140927501.06,130515422.51,126434999.18,121879285.37,120878580.34,123716018.98,126429835.01,129824411.79,133339085.37,148736125.59,148519534.00,153464220.08,149999820.86,155332944.93,158457789.02,164622093.15,167082913.80,164726478.74,163235928.72,164993300.97,289741490.40,268762205.90,269182300.93,274647205.75,222459860.78,229229358.85,232942244.05,234795702.34,203579391.46,171361068.05,160338213.16,161194884.26,149532980.01,154941448.56,131619140.93,130977038.24,77583042.01,77401473.33,76740749.95,44306736.58,43558870.77,35215450.41,24962100.44,25230658.85,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,45663.54,0,1960.65,0,0,0,0,0,-51186.03,-51186.03,0,0,0,0,0,0,0,28121.76,225.00,0,111.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,-30500.00,0,440466.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
