,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,318983000.00,1734784000.00,1130659000.00,3720401000.00,977856000.00,945404000.00,1224207000.00,2473431000.00,2980979000.00,842458333.18,1629111546.01,810394630.34,710791223.89,1184712643.89,943275777.67,1305282617.81,535540238.61,852244988.34,590620744.61,535123535.18,1282346130.63,1141209585.21,522169922.42,723449431.37,936284497.94,1030498374.63,567195853.64,446974297.07,422942541.95,230388021.29,212768143.77,413033646.25,675320238.61,638118510.10,555262765.68,572888635.97,489352805.31,417071256.63,326197584.74,429751543.85,522302626.81,500028624.61,233008659.60,112804904.59,245631208.44,163964771.05,138572121.62,214364407.07,398450648.33,219613887.57,159712926.78,107301827.22,95003190.58,51750551.59,60155691.61,123415674.80,61510834.41,63924136.67,95625887.17,100087009.12,99644037.03,160050422.16,268987833.68,410804103.57,121683447.37,102280644.12,79944310.04,20070799.01,0.0
3,交易性金融资产,0,0,0,4966000.00,7907000.00,12221000.00,6195000.00,6178000.00,7140000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140169.00,140169.00,107371.00,97321.00,89830.50,85988.50,111175.00,159550.00,171097.50,124265.50,847272.50,136594.00,127159.00,142340.00,188780.00,0,0.0
4,衍生金融资产,14040000.00,3337000.00,8693000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,5440499000.00,4396179000.00,3802224000.00,3348304000.00,3603794000.00,3562341000.00,2687046000.00,2170304000.00,0,2847169197.16,2796746378.52,2847291578.07,2763821716.26,3053289969.27,3123755134.28,3475961048.96,3086756806.22,2986611768.82,2724187808.79,3555251513.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,113322000.00,39133000.00,42732000.00,70780000.00,127383000.00,76408000.00,8000000.00,2300000.00,500000.00,18450000.00,19000000.00,21808800.00,17050000.00,20000000.00,0,0.00,100000.00,1070000.00,6910000.00,5044895.00,1400000.00,2920000.00,13408000.00,1000000.00,1700000.00,1000000.00,2800000.00,3000000.00,1400000.00,0,0,1008000.00,1200000.00,2168500.00,0,0,500000.00,1200000.00,500000.00,1400000.00,2400000.00,2000000.00,500000.00,300000.00,0,0,0,720000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,5440499000.00,4396179000.00,3802224000.00,3234982000.00,3564661000.00,3519609000.00,2616266000.00,2042921000.00,1653900000.00,2839169197.16,2794446378.52,2846791578.07,2745371716.26,3034289969.27,3101946334.28,3458911048.96,3066756806.22,2986611768.82,2724187808.79,3555151513.64,2127150898.53,1957852585.97,2006445345.95,2435493545.86,742032276.24,679758993.17,789105151.81,907468029.76,624717525.34,553496942.39,578450656.77,601979930.94,291439161.88,354091794.68,317521117.37,325129359.83,237532835.74,231278650.50,214468447.19,222047866.59,198250463.99,189867491.36,167140184.21,153304904.47,165235332.36,173247648.96,200260739.14,189217034.85,273550057.64,266470868.38,270445084.22,271996848.21,286092979.88,249046655.99,218330305.45,224163198.39,241685524.00,221054584.83,209666348.86,208515545.69,232559277.67,227178337.24,242666075.45,233190767.70,227010605.08,164904230.18,136934874.52,56201802.62,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
