,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,271311991.55,283342764.56,336483901.09,337915936.71,302673764.39,362166505.37,220096715.16,263150517.32,232822202.48,176450513.09,178294157.18,299264848.46,224026347.71,479371817.44,441048250.59,286923559.55,265923024.86,277829690.10,272083255.67,385774170.06,404908776.11,477891317.52,766081052.14,329812247.03,472609699.37,349186523.75,339738711.07,396950034.76,361947407.78,346754412.31,347408714.54,292092222.41,263883623.52,288174167.88,279182111.56,371242871.97,359062585.26,405213059.66,399363346.81,492233272.68,496251867.26,308104048.28,247516306.78,300627879.52,287682999.96,189020090.70,193454951.06,247174879.52,205802019.80,251809308.01,234363381.81,242412693.99,173210379.96,223001379.44,242207742.45,275163232.75,234181942.22,219933161.01,204474259.25,194404726.78,187922172.91,175960435.70,175652783.81,186689145.75,193539692.47,224798067.46,261798584.80,274468866.17,290723491.65,245190917.56,196663687.27,275156206.60,288247046.11,87978607.29,56622527.56,27596474.05,29578787.01,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359278.00,2673590.00,22493896.45,55572879.60,7671414.80,16245695.78,14079798.00,9830203.53,9830203.53,9297230.35,9297230.35,7485900.91,7485900.91,10380941.94,10380941.94,9073465.30,9073465.30,12616610.80,12616610.80,15484026.61,15484026.61,7157933.56,7157933.56,23560741.82,23560741.82,24053776.32,24053776.32,28137943.94,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,319921981.18,317434396.45,456868394.58,373776136.77,471896262.79,494730054.53,473690993.20,398866504.57,0,506544283.87,0,416889389.32,0,443230824.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,136726921.11,251230114.40,184522173.98,200530987.57,186518787.68,256462173.94,222099821.54,239972532.19,223594144.11,289282950.18,191654621.13,193577726.84,236138611.65,305991827.13,185604116.31,176320285.11,227221643.34,298740774.53,210354362.22,213432151.93,212632558.17,229055171.11,151345203.64,163788479.58,183839849.59,233100688.29,168764928.98,151919626.68,191155337.79,298472288.96,112005519.47,153429509.80,120722810.53,176711029.97,87032445.36,76350081.91,52072664.62,105716176.47,86267510.39,89192949.13,61193241.52,70376808.86,47543071.79,42010077.81,48303640.32,68501767.47,46283445.70,38986588.92,22711300.55,42594262.38,36091796.29,32732022.07,19269900.94,35862474.22,17319688.28,22269954.99,16110889.43,22412881.20,22832938.26,13378753.48,17863348.04,22471691.22,14488757.89,15428672.60,11306746.25,15556467.50,4615587.35,4954210.55,2208410.40,2461386.55,888562.50,304239.00,210000.00,0,0,0.0
7,应收账款,319921981.18,317434396.45,320141473.47,122546022.37,287374088.81,294199066.96,287172205.52,142404330.63,297974902.16,266571751.68,259028283.04,127606439.14,287376087.16,249653097.67,236959244.77,135514993.76,285937539.11,269612406.78,247952022.23,155919428.38,296716510.99,271189391.01,260482404.97,156429483.05,300272865.30,302745341.69,284417727.12,156322072.29,287252344.53,314112331.11,297713315.53,129165435.53,298041777.81,270754890.80,311821384.02,105002719.49,285828397.74,276623946.54,271335762.24,93588123.90,200576292.88,168766082.51,211771200.68,96601389.92,233432737.06,239008082.61,213423426.55,115993986.45,202378186.00,189499021.70,198186526.64,89201462.93,164177486.29,164730599.30,146790977.95,89192344.63,153280054.07,152724285.33,143424729.78,87930550.43,136052836.21,124656913.76,114876763.64,62641267.52,87256517.97,81225481.10,84022177.38,39317957.88,83092289.85,77837813.66,79455702.96,36953836.30,67326144.80,37781505.29,37200924.56,33012731.69,29915619.06,0.0
8,应收款项融资,150105984.73,180867586.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
