,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,131292231.23,90980501.67,132627374.53,204725793.71,241705696.72,150315649.82,188177932.32,198945883.20,290428258.34,255681836.26,155673751.76,115186862.09,151472386.94,207198997.25,268280873.65,70365616.69,117059450.90,194804879.98,202498208.68,229449344.94,218778793.73,108244365.99,75652606.97,87622604.77,117091874.82,82841808.21,111662464.35,85585284.37,158756516.70,105679280.01,121518829.54,149842689.53,223160196.80,90051321.98,77356249.97,99102461.42,149279458.53,107489905.68,110442748.40,117730724.99,118337902.11,110588144.96,110149745.07,100296166.57,114445225.97,120249117.22,143375510.41,159463920.78,117655898.90,80554963.16,96620351.60,70589950.56,81615710.58,117412415.13,109530844.05,140409185.05,201228344.03,138758011.43,104614317.12,83524088.89,255154597.22,121767777.86,61773759.31,80723637.00,227562256.60,121007397.14,138397045.63,159039396.78,308176874.96,14417330.02,66580785.16,33440903.04,31156750.88,0.0
3,交易性金融资产,826179695.00,96273703.91,223169066.97,57390433.52,131399038.47,44562180.32,54046853.53,208047539.26,58540475.29,49175429.87,48187244.52,61357538.01,128204963.51,36379888.19,23352793.39,19008914.75,42069418.99,27547304.99,37668638.72,45363224.90,37292680.00,23682600.00,13312244.00,6895061.94,7566198.38,12847031.46,9240223.92,18513104.84,14259686.83,12953714.85,7635989.36,15359709.51,7702770.00,14104096.01,16386996.01,19657784.08,17952209.04,14129.93,66587.35,487658.31,466779.00,2540466.22,557410.96,552583.60,570300.00,888525.06,8793845.32,3911280.15,10295911.40,0,0,0,10000.00,1281170.12,12362458.51,3685325.28,3685325.28,6223646.28,9158400.00,15720744.39,15720744.39,20064190.88,18836748.52,27291160.28,293410.50,2000000.00,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,89468148.31,304366544.24,275784003.22,222137389.77,169449494.48,401159222.51,396769733.25,351783088.96,250894097.15,0,0,422685609.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,4321844.90,1255756.32,0,9462816.07,11855197.21,12158154.80,17596027.80,22083151.00,25947733.87,9250000.00,18647559.95,56504909.98,7065100.00,18154000.00,15075180.00,27792462.65,1734000.00,6096372.00,5709899.30,13783607.30,200000.00,4318480.00,1868480.00,12880000.00,50000.00,5643862.50,4800000.00,5284512.37,7494136.37,7530000.00,5315000.00,2372000.00,4191732.12,17455000.00,7609470.50,19283400.00,2803410.81,1836416.06,5540635.81,4714890.21,6460330.00,4850000.00,3161000.00,9005000.00,5415000.00,3430000.00,4087195.50,4998410.00,10141262.00,2926000.00,2540000.00,12468000.00,943640.00,1193640.00,910000.00,5390230.00,1302783.32,1754645.00,138000.00,0,0,100000.00,100000.00,200000.00,4970000.00,0,0,0,0,0,0,0,0.0
7,应收账款,89468148.31,300044699.34,274528246.90,0,159986678.41,389304025.30,384611578.45,334187061.16,228810946.15,416288904.37,401115262.83,404038049.15,239540652.91,401343350.73,372771902.39,311412334.44,220416231.50,331681420.92,258773528.25,238918944.89,171219008.33,402427909.71,285921369.02,271802518.28,238250921.94,194059511.91,165679253.04,170143872.27,135065886.39,187076779.53,147374628.73,129719972.04,99728283.91,157229910.89,124910831.56,122243011.47,98878038.53,124250411.53,149747637.09,128982200.05,138793797.66,110942828.15,126197496.41,166853224.92,116317623.96,181435171.07,160239863.68,148597079.37,146202333.29,153187702.99,133700601.05,126039371.11,138816482.09,176287954.34,196872333.26,172468941.81,168307685.77,187604162.97,153039871.47,135802616.35,137628798.00,142462007.64,126007640.66,101267829.90,86571386.44,108510944.99,81389264.64,75044847.39,56813297.23,53240388.53,28235663.19,26171295.52,16323921.34,0.0
8,应收款项融资,5570000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
