,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19910630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,82376846026.12,86600663347.11,76584993649.73,81019559955.60,72668189317.92,76843550305.17,62420451824.36,75375993581.24,64072117472.28,60350074971.64,58683864735.09,62683445883.18,59121401466.41,41661347196.41,41550106537.34,43808699110.69,35560915503.64,33933191946.08,496187736.72,539973026.66,868524029.41,585466191.87,776903601.02,618316422.59,581674919.62,744325344.26,596274130.27,743235688.42,599215993.94,786902594.81,467024440.81,776416391.31,842573607.16,632747620.09,560605934.74,713543569.13,492672110.73,680420646.80,957167105.30,1251633700.56,678132117.12,762510858.24,663479346.86,545942024.66,728238129.52,933252946.49,1099353520.27,994442253.52,787240588.27,373254207.36,398056726.96,540384111.62,381055750.34,338192060.45,393496441.26,561344757.33,450433246.51,358489791.55,423761775.82,691729603.98,573329123.31,709475495.45,565129317.69,642643104.37,576014743.42,689061942.26,723840489.63,786017186.17,748117883.43,791493330.22,271411573.15,340392127.33,264584046.21,255763795.22,181254185.19,83378684.99,44695829.48,54570969.39,15779929.88,12578143.03,0,13343417.71,0,7691454.68,0,13361250.00,0,8207647.87,1576612.30,2085703.91,13378996.92,0,0.0
3,交易性金融资产,10636628428.88,9045832628.80,8110162805.73,7416539278.44,9211267209.25,8231480513.00,8670223346.55,7157253756.84,6498729443.81,7068066377.48,7669268652.43,6870966317.96,6256943148.96,6029065351.35,6489833021.44,4114476914.32,2754451355.13,3179468556.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77180.00,23560.00,0,0,0,0,104390.00,0,0,0,0,63750.00,2208960.00,7600269.94,9499910.00,10000000.00,9488707.66,11117730.88,10221375.07,0,11696457.99,97816875.02,3522231.95,34921753.35,3556659.03,49402.00,49570.00,49460.00,49460.00,55030.00,55030.00,56390.00,56390.00,0,0,0,0,0,0,5944166.05,5944166.05,0,6507954.15,0,6623386.45,0,5636390.00,0,4980000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,2509258.71,102151747.24,260424064.70,485828852.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,85098559203.40,62868345866.88,73077320271.97,63205248021.59,53579438864.20,42444289757.17,46902007220.73,40366683173.76,0,26568300710.68,0,26620405590.84,0,18483576236.88,0,0,0,0,12154704.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,624240391.80,1048904486.44,1874753816.58,1794782562.31,1147260163.48,773335809.37,708429126.67,1107701005.75,391025268.83,232101945.72,204898527.17,1069657154.75,109310904.35,157084084.27,681052393.22,1041114617.37,537331622.74,147800237.73,450000.00,0,0,0,0,0,0,0,0,0,0,400000.00,1000000.00,2550000.00,0,0,200000.00,0,0,0,0,1310000.00,2160000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8679603.75,35227018.90,0,4000930.00,0,7649400.00,0,0,0,145340.88,2007180.81,1812984.00,0,0,0.0
7,应收账款,84474318811.60,61819441380.44,71202566455.39,61410465459.28,52432178700.72,41670953947.80,46193578094.06,39258982168.01,26666901725.19,26336198764.96,31270199277.27,25550748436.09,19459332417.86,18326492152.61,15945983587.67,13326508176.70,19075544128.05,17189198474.35,11704704.42,18116284.56,5303992.28,9784265.65,16224868.83,319417169.89,38527365.58,51481785.12,44239842.28,61481467.63,81300515.05,84447301.98,96127584.57,72456749.48,944553.39,2067018.92,15734382.80,15976642.60,4689795.32,2112300.03,1471549.24,3395026.80,207610.66,3894.29,0,429863.94,2598865.00,3668008.72,4753669.34,9822512.33,11243533.91,19910557.82,93406853.87,11041435.44,10922947.84,12018369.37,5418331.39,2906272.53,12623805.31,8647184.44,16589539.95,29582674.97,25669726.76,29476549.31,18871225.30,37587392.36,27207633.97,33865570.59,35039023.44,76855294.13,65247014.23,70321329.40,66718288.22,32657650.11,38371181.42,12662580.86,21859634.86,32318189.46,18943375.96,50256820.53,44307882.71,42501774.72,0,42451687.39,0,33322313.52,0,0,0,50326816.87,47694583.35,40453973.47,87936014.31,33080611.49,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
