,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,448751610.10,918276284.90,350971366.66,699456367.61,478647565.67,638770188.42,698419675.98,544328084.32,792522989.88,582451510.73,455787331.05,696799015.84,622330348.58,1275173553.45,489730660.38,555200831.11,604038373.88,458551283.00,389480626.51,337025523.61,424878070.05,497114327.00,667141829.52,631493081.94,466897241.95,701495268.21,798178629.85,624024878.75,811087893.82,470294419.64,678888717.06,914301607.59,921378435.41,564723887.17,600674157.48,559307508.29,575225581.85,842552315.99,1191518208.59,1101976580.87,760137618.96,1332593493.66,1323081031.85,625843150.04,372560320.60,349416320.70,218238563.60,217295310.72,261489111.61,260329915.98,191449769.15,148251130.82,161843481.78,133132005.80,77402458.43,92182099.40,68588989.63,46351835.71,65321626.29,48484053.70,105099192.95,108485809.51,110892702.85,175731222.30,71554169.43,70645020.75,111627921.20,50123300.78,98271943.38,40997403.13,108039853.84,86577934.23,143538256.50,103301361.50,240077317.08,49698210.06,36429666.38,18631492.28,33388395.77,41365415.30,6315566.93,0,107655762.79,122931018.60,20158317.52,0.0
3,交易性金融资产,517956058.37,51280000.00,58080000.00,123933700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,391653262.32,807751323.69,821347242.66,859808510.40,903770169.39,926099577.61,853471157.84,672780516.88,701780699.02,0,1106625583.16,0,944360636.35,0,1055192377.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,236594388.24,318463704.07,469201151.06,534165863.85,444782863.23,392060969.20,232914478.76,231182995.92,523922143.71,555040422.78,510675672.53,438931682.34,536897429.17,430173099.07,227349720.47,145025836.75,386571951.51,441316875.16,272734665.85,250138203.23,505812140.30,380143514.53,263106879.35,337414325.32,423685473.40,119552243.00,123422801.52,250579750.95,251354340.96,119567662.32,134728986.52,155117823.10,199895784.11,107651511.00,43400000.00,38970882.80,12500000.00,18450000.00,13100000.00,11963024.60,12931002.00,17209079.70,5700567.00,5700000.00,6220000.00,4720489.16,6121663.05,18869254.45,4338518.16,5105000.00,1150000.00,55564500.00,889300.00,1492788.80,46455300.00,47178669.40,530000.00,4716400.00,12508929.54,11383752.70,1225787.50,2610000.00,1819122.06,16870000.00,170000.00,1900000.00,500000.00,9700000.00,400000.00,0,0,0,3670000.00,5000000.00,500000.00,0,0,0,100000.00,0,0,0,0,0,0.0
7,应收账款,391653262.32,571156935.45,502883538.59,390607359.34,369604305.54,481316714.38,461410188.64,439866038.12,470597703.10,610210907.20,551585160.38,459518843.76,505428954.01,687150787.94,625019278.10,536795190.53,597743705.22,672661756.61,485201160.90,421843411.59,492624912.37,572748296.52,507804907.31,446829171.19,466379497.88,753432829.82,683980089.34,544795019.31,478457065.86,786201444.30,694416457.73,572813197.56,569219655.65,689202257.84,472588656.06,305451138.17,180334134.40,252769372.27,169833606.59,194876194.41,117150789.99,173279959.99,185125992.27,207999230.20,112069465.92,239973642.96,252555841.20,271478170.74,206696354.06,314563199.05,287103567.60,264037423.26,172214118.33,298781355.64,284877594.82,210617118.24,188024547.50,315346071.42,272351748.57,217108342.71,168478432.40,268910539.80,275925063.59,253464660.02,167178671.04,222963239.95,119221993.32,135676247.27,108359895.84,143460186.39,111299143.58,103071356.19,121815926.75,138898530.75,120879824.41,147044896.09,129271550.58,118501489.92,104734038.90,58346927.80,51410250.05,0,20074039.49,18271325.55,26784320.38,0.0
8,应收款项融资,289071406.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,23286013.16,34040133.17,43145844.05,40069887.27,28748495.86,137998439.93,155897731.35,256040593.28,249371846.07,235944859.21,310156825.88,350219872.10,258533000.65,309961614.27,303773090.13,354333605.37,299290720.22,330448070.24,346341310.95,315838989.93,268416755.99,279166233.40,288145456.66,452276599.38,388439576.81,398446912.11,330533983.91,257203744.15,175723647.70,258530055.63,346228396.97,392899840.00,338313999.16,290462457.04,308445387.70,505128405.17,454493700.91,504772938.00,428743135.10,365794319.93,417979085.90,433979077.99,569518407.63,381969069.58,291903578.38,270167732.64,213899914.08,168829303.69,91305391.54,161946116.36,147425545.23,127378234.97,121992699.79,52289144.52,56269606.49,59450258.85,91021070.95,36253070.29,40585601.41,42314345.45,37719190.89,23771191.99,16453920.56,12998468.56,10183368.58,22413806.03,13040431.70,16832894.50,23388094.54,15105149.17,10041183.71,12047869.63,14923781.65,35155103.02,45182077.27,40599531.74,41414812.04,23073492.25,21399602.50,23197.00,3419224.30,0,0,0,731981.23,0.0
