,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,750070246.01,853633952.73,340859478.92,302299526.98,546808084.87,602004359.15,786637450.42,622720773.97,490359990.35,501425086.41,448120095.11,669663518.27,429290733.08,505820247.15,617017180.83,484212117.84,652290097.42,611770790.76,905696010.68,979743568.46,906342591.89,1398659755.11,945312298.37,1220128117.44,1390979892.24,1538344955.68,1558696716.71,1675345417.08,1629649575.55,1834540420.23,1286389067.89,1164417787.55,949231795.70,1220308340.63,1726611388.21,1551551964.69,1171089810.25,1539812433.95,1177936751.04,1257074819.02,825384281.11,838712566.51,923858216.84,723651471.26,1115694612.07,1234733585.84,1045564401.62,791136358.65,580960054.69,570295522.93,395750804.95,456462416.07,553715280.24,477373440.14,392146439.85,540901701.62,428511577.03,395074381.23,135456346.98,154112190.74,108209692.04,127791672.78,98480820.53,139648954.17,137047740.49,122980360.51,150139989.46,159558709.12,124339440.21,97028222.94,105555396.72,80036748.29,123852814.18,110872888.29,43599569.73,45467037.12,18195687.15,29360423.52,29774965.08,45116824.68,0,53590107.05,0,87663828.30,0,136632000.00,0,91136376.49,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1491270.00,1491270.00,1491270.00,1491270.00,1493270.00,1494270.00,85494270.00,85494270.00,85494270.00,29496770.00,1518770.00,1530770.00,1545770.00,1550770.00,12525080.00,13340483.60,13556744.23,17316368.21,43912382.77,52637351.98,19095754.92,3120674.85,0,4422918.16,0,27774023.34,0,19216000.00,0,40000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,85802597.24,123875769.03,104052866.58,116897037.94,136315665.35,149436461.36,158339135.59,63982132.80,0,102497066.31,78201362.88,121223233.68,0,107925963.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,8381686.23,5412805.39,10891051.17,14033561.44,18880889.08,30270453.27,28334490.16,14601224.85,5613557.43,8227791.06,6366765.05,21044601.64,21878979.21,10254372.88,13977303.94,8917724.34,217637903.88,268630799.59,280765434.05,406997447.13,460077149.40,680764059.22,725419888.57,701925771.50,395431648.19,259537993.45,322360511.52,412565052.39,689396162.74,608807757.29,649661836.20,833283747.41,830263901.18,291724689.46,312081401.25,278689832.32,197966720.89,237975353.78,229289722.67,211413859.85,196188943.01,235108377.11,170436617.24,174440679.40,273973344.61,284071353.36,295197894.57,316310591.83,230112437.39,265593141.07,200271369.77,208576672.60,271585769.51,318570881.52,326833032.39,292298918.61,293012828.51,278412661.83,243601391.33,201648178.99,190765145.61,134340220.65,147191653.18,119674035.35,76670077.12,102922399.94,56255105.23,86034474.57,62291043.12,45215162.06,76924389.73,87357554.55,39168167.76,50203327.63,12534940.00,17954055.49,16431772.10,14769385.90,20143731.00,8130000.00,0,4000000.00,0,0,0,1000000.00,0,28100611.50,0,0,0,0.0
7,应收账款,77420911.01,118462963.64,93161815.41,102863476.50,117434776.27,119166008.09,130004645.43,49380907.95,53144197.90,94269275.25,71834597.83,100178632.04,91074195.43,97671590.32,137926472.42,121283748.74,337564783.65,327770874.29,421366913.57,344912573.93,624454915.17,648908491.90,681618397.84,411120014.49,553166480.40,484096765.44,600685938.23,1286117859.90,581201769.50,479433342.74,616930994.97,394918543.96,599993493.64,387790551.33,282527604.72,260812620.68,312172855.15,350105221.06,406152321.75,164200202.66,325521781.78,301464603.32,326131305.74,190654752.49,329501594.02,266812373.29,409570361.80,198618463.64,293550445.51,307345814.86,419925465.82,227163176.10,223645732.32,237036521.13,371193749.00,225169047.65,278416594.84,441720952.49,188807706.72,143216650.35,149093033.32,202861071.26,200359842.24,130713150.47,165389017.06,124365217.61,195931593.91,91419286.41,151825138.03,116493477.49,144619291.79,89088353.45,68215570.63,74806754.17,46481947.34,20293568.75,48870853.60,23946675.28,29236330.89,20112269.95,0,16753016.26,0,31595835.52,0,0,0,26211288.45,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
