,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,952554066.01,827243473.11,804591853.39,650403840.86,808841466.66,765042786.67,579456949.43,609490482.48,593281397.96,635758655.46,631366146.06,583726538.93,703489526.56,638587502.06,547354858.82,412867402.74,342743282.28,361051307.25,346717876.80,337266059.64,482490174.73,339947365.02,163304763.30,0,170795567.34,168041748.76,301847863.78,587150785.32,719803449.32,0.0
3,交易性金融资产,34433002.49,31961072.30,34627690.26,34055816.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,646987894.25,777171816.49,704500548.08,682989031.58,606163608.01,691185582.45,746785895.85,634496707.70,703365839.23,0,629286360.55,603707691.72,630978995.19,0,576786084.37,595836382.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,58266769.72,103175021.72,98714183.29,132160099.42,123265185.07,79196718.60,110539334.13,120528996.87,170684552.86,134374427.23,58084266.46,66002773.91,99429619.12,60188149.29,81358400.00,105994872.05,127754654.43,90511385.71,83013564.16,123914952.00,151111910.42,97805486.94,58868609.65,0,99451986.00,97538895.99,30701105.00,19436581.50,6746900.00,0.0
7,应收账款,588721124.53,673996794.77,605786364.79,550828932.16,482898422.94,611988863.85,636246561.72,513967710.83,532681286.37,530961393.12,571202094.09,537704917.81,531549376.07,554145095.30,495427684.37,489841510.81,495693550.32,482975314.17,506961103.47,491983766.90,423204313.68,458706940.96,257965495.30,0,225733096.17,348936480.71,284467509.07,162360609.84,55369386.28,0.0
8,应收款项融资,47270282.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,162383155.36,156841505.40,91421899.88,151749649.52,115138000.27,139781269.71,146108098.14,154720727.91,79383663.27,121899564.29,128741356.16,138381697.50,92466458.12,101960965.72,97941473.31,112940342.98,114519101.24,144096330.50,175474681.67,146029191.29,109711846.20,148750507.36,63843211.74,0,61114766.77,102347340.69,121209563.07,97398404.39,170528564.60,0.0
