,报表日期,20191231,20190930,20190630,20190331,20181231,20180630,20171231,20161231,20151231,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,
2,货币资金,676296162.79,784618511.73,585249172.02,418479981.20,354894241.72,140881547.57,244636371.41,312085269.45,239823581.08,432498567.63,411487613.67,340732220.98,281171110.74,0.0
3,交易性金融资产,940000000.00,750000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,11172990.87,6585214.73,2956607.65,5400147.96,4524894.85,2931720.72,2829461.19,5589457.61,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,4524894.85,0,2829461.19,0,0,0,0,0,0,0.0
7,应收账款,11172990.87,6585214.73,2956607.65,5400147.96,0,2931720.72,0,0,4883902.75,5469223.70,8354298.57,7740074.29,10718772.90,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,12194538.55,14266505.33,13723247.32,11491935.58,14063381.36,7573261.43,14288073.12,7997800.66,6569997.33,16106743.57,22767747.71,9052535.12,8032465.13,0.0
10,其他应收款(合计),3490551.10,6189325.37,4196295.66,5516298.76,2312967.44,4489984.39,3293321.10,3299295.87,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,1283333.35,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,3490551.10,0,4196295.66,0,2312967.44,4489984.39,3293321.10,3299295.87,3532156.96,2705799.08,1018712.79,2832820.25,1511959.32,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,98275238.02,119935880.28,128351642.96,119773745.22,121115915.11,102284289.52,83595376.54,73626677.69,53892567.95,83580514.42,40303544.26,44095703.97,34575491.54,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,243322.09,3073185.13,802408209.95,501084271.75,502653164.20,504300104.61,457702049.82,350054708.46,300000000.00,0,0,0,0,0.0
21,流动资产合计,1741672803.42,1684668622.57,1536885175.56,1061746380.47,999564564.68,762460908.24,806344653.18,752653209.74,608702206.07,541644181.75,483931917.00,404453354.61,336009799.63,0.0
22,非流动资产,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),0,0,0,0,0,0,0,55641.03,0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0,0,55641.03,0,4364149.41,111395297.53,22002748.27,25601312.34,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),361890082.05,345665230.90,343661435.68,344783868.77,347270926.98,341388787.71,348935152.83,360596708.86,0,0,0,0,0,0.0
33,固定资产净额,361890082.05,0,343661435.68,0,347270926.98,341388787.71,348935152.83,360596708.86,365852054.94,334462432.88,164847566.00,121851823.18,34344736.78,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,34248482.92,34314454.73,34509570.28,35073384.24,34876914.15,34460098.57,35079098.02,36778441.29,37857675.20,39309184.32,38179659.31,37767774.71,28418804.96,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,4502032.01,5550147.71,4778646.31,4911990.04,5107303.83,4555054.34,2289413.47,1422777.41,1194415.25,1790696.06,991054.99,588756.00,847758.91,0.0
44,其他非流动资产,0,0,0,1464.72,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,400640596.98,385529833.34,382949652.27,384770707.77,387255144.96,380403940.62,386303664.32,398853568.59,404904145.39,379926462.67,315413577.83,182211102.16,89212612.99,0.0
46,资产总计,2142313400.40,2070198455.91,1919834827.83,1446517088.24,1386819709.64,1142864848.86,1192648317.50,1151506778.33,1013606351.46,921570644.42,799345494.83,586664456.77,425222412.62,0.0
47,流动负债,,,,,,,,,,,,,,
48,短期借款,0,0,0,0,0,0,0,0,0,50000000.00,20000000.00,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,114397909.13,120258993.51,99212833.94,83046688.64,82100866.16,78043055.65,86180605.38,88403963.79,0,0,0,0,0,0.0
51,应付票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,114397909.13,120258993.51,99212833.94,0,82100866.16,78043055.65,86180605.38,0,85794260.92,84019365.32,82255323.21,73954558.16,67285074.03,0.0
53,预收款项,42479643.93,108029729.71,85963167.11,52999329.71,46575290.49,48064436.31,29176400.11,24518277.53,49478068.40,26970093.55,20821279.81,13535017.82,10478601.50,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,28089805.00,11598616.19,8980327.72,12397213.35,19978503.80,8079545.43,15874311.40,16426870.91,12467050.03,12282988.24,10618638.77,9457351.06,4694997.76,0.0
56,应交税费,31254233.53,26930141.27,21926442.47,25960850.73,45065974.04,13332358.42,66527778.90,24850799.59,23615907.54,15523239.10,21066925.68,19130028.83,23892819.85,0.0
57,其他应付款(合计),76456849.51,57336878.41,50802094.96,53556672.89,46696711.50,43013582.91,53936077.22,44140312.71,0,0,0,0,0,0.0
58,应付利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,76456849.51,0,50802094.96,0,46696711.50,43013582.91,53936077.22,44140312.71,60563539.71,61691621.65,77154453.56,51944679.29,32866922.51,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,7528.85,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,292678441.10,324161887.94,266884866.20,227960755.32,240417345.99,190532978.72,251695173.01,198340224.53,231918826.60,250487307.86,231916621.03,168021635.16,139218415.65,0.0
67,非流动负债,,,,,,,,,,,,,,
68,长期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
