,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,
2,货币资金,968231462.99,1149074141.41,1323414168.70,2518008003.12,2168371563.10,2488647919.95,1631138595.24,3219457567.83,3144039328.55,3077525376.05,2544088026.47,1145432265.69,902406855.86,981620968.15,740986804.36,701481527.26,197473686.58,167992863.84,0.0
3,交易性金融资产,4200000000.00,2100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.00,29000000.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,593352324.85,530694829.44,509264116.63,368520192.91,413784164.77,328797586.80,224522118.96,214858771.53,0,212491913.59,180135411.18,136670337.74,0,0,0,0,0,0,0.0
6,应收票据,119342290.64,100809040.45,89642643.06,90411098.74,82809749.82,61089305.78,82736913.05,66242474.30,27866780.82,8067268.10,4389702.54,7214669.01,4691127.54,16249156.38,6753426.89,3994119.01,0,0,0.0
7,应收账款,474010034.21,429885788.99,419621473.57,278109094.17,330974414.95,267708281.02,141785205.91,148616297.23,268709615.12,204424645.49,175745708.64,129455668.73,73969066.28,71599295.82,92944075.77,100481098.88,81805610.77,83228376.90,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,88895893.43,75910140.76,84674816.50,87559483.97,71195362.74,90910204.01,73204826.98,74695019.79,341450649.43,149376941.76,111818209.75,77237961.53,46409880.86,49464727.01,66257055.69,89599885.97,90439224.40,80075978.22,0.0
10,其他应收款(合计),66966786.45,81509902.50,62759669.32,64311654.61,33354108.25,33015782.54,29147131.89,29316183.50,0,46877816.69,33891074.35,34057411.61,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,81509902.50,0,64311654.61,33354108.25,33015782.54,29147131.89,29316183.50,74642883.08,46877816.69,33891074.35,34057411.61,19265127.74,23094218.79,27394933.50,16217228.98,16666596.35,15773156.60,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,793297789.24,680575138.51,639563264.79,645293626.64,672489405.15,724160513.39,734244663.06,786606571.39,717639311.89,719017158.88,687949959.29,756942167.86,480131392.69,362017496.98,344355376.62,352399108.39,326332231.84,200298440.61,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,289432242.39,309540396.92,1463942043.29,569857325.26,642453447.36,542026871.80,764935006.99,481158138.53,34009173.53,114785597.94,60609868.98,48571523.86,30954651.28,12508705.30,2639465.99,7049785.39,1976349.98,6088540.50,0.0
21,流动资产合计,7000176499.35,4927304549.54,4083618079.23,4253550286.51,4001648051.37,4207558878.49,3457192343.12,4806092252.57,4608357742.42,4320074804.91,3618492550.02,2198911668.29,1557828102.25,1516554568.43,1281331138.82,1271222753.88,714743699.93,582457356.67,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0.00,0,85882437.50,85882437.50,66905320.00,44449881.80,41015000.00,16015000.00,1015000.00,1015000.00,1015000.00,1015000.00,1015000.00,1015000.00,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,683258.61,2159588.07,0,0,0,0,2671.18,0,0,0,0,0,0,0,1015000.00,1015000.00,1752400.00,2295000.00,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),2265504547.25,2364995433.68,2202358045.43,1887902142.18,1592923713.66,1256180371.05,1020226074.71,908897305.71,0,943984934.34,687959859.71,570091397.52,0,0,0,0,0,0,0.0
30,在建工程,0,2364995433.68,0,1887902142.18,1592923713.66,1256180371.05,1020226074.71,908897305.71,1183808529.32,943984934.34,687959859.71,570091397.52,170134291.11,142545148.53,99022824.58,154320202.73,59864774.73,47384313.01,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347425.21,0.0
32,固定资产及清理(合计),4019044753.71,3566477718.09,3428729218.18,3457540684.96,3292720059.64,3080998078.54,3051205186.26,2488363819.06,0,1564039539.97,1539606807.58,1542913845.79,0,0,0,0,0,0,0.0
33,固定资产净额,0,3566477718.09,0,3457540684.96,3292720059.64,3080998078.54,3051205186.26,2488363819.06,1622506259.41,1564039539.97,1539606807.58,1542913845.79,1288330509.38,972596364.31,837692023.24,698746887.26,597804909.16,486535815.99,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,1074154481.29,1084785677.92,1081446615.33,1092229030.71,1017221532.87,1022034754.27,1025885430.31,1034553983.52,1018104737.84,1023540267.44,1022765633.19,1024725769.99,754882577.47,746901214.90,697010416.03,704335261.11,614106021.23,80013103.27,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,35073561.54,5557866.48,15764700.15,10660679.19,14576457.05,20760430.55,16077516.22,17542608.22,2982028.42,3379564.90,3777101.38,3391805.81,2022710.00,70000.00,130000.00,361983.60,1049162.32,1293535.20,0.0
43,递延所得税资产,93772189.59,86654870.91,75966682.49,66737564.11,56897982.04,82326106.75,68041804.87,63359737.30,43707492.03,49301598.85,38299181.67,32669432.70,25165015.12,22151920.91,13325489.46,15190780.39,8181508.32,6723005.51,0.0
44,其他非流动资产,374014994.53,342348495.43,445123009.17,265994493.17,566376572.29,481620685.75,396712311.48,335541948.88,533111416.73,659956950.34,428719175.47,174708605.11,128295238.82,64650279.73,86244247.81,28295635.05,0,264211560.00,0.0
45,非流动资产合计,7948130224.02,7538862088.08,7335270708.25,6866947031.82,6607621637.55,5988370308.71,5619165995.03,4864274402.69,4405235463.75,4245217855.84,3722142759.00,3349515856.92,2369845341.90,1949929928.38,1734440001.12,1602265750.14,1282758775.76,888803758.19,0.0
46,资产总计,14948306723.37,12466166637.62,11418888787.48,11120497318.33,10609269688.92,10195929187.20,9076358338.15,9670366655.26,9013593206.17,8565292660.75,7340635309.02,5548427525.21,3927673444.15,3466484496.81,3015771139.94,2873488504.02,1997502475.69,1471261114.86,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,
48,短期借款,710676910.91,518590451.71,263047340.31,12245711.75,0,0.00,0,100000000.00,100004748.82,153217329.14,154902425.12,103443464.00,212302685.55,220000000.00,372000000.00,420000000.00,375000000.00,260000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,926046687.75,1105056698.83,1096207756.10,824276729.38,1007454955.14,848382521.17,700269318.06,736643897.88,0,821082250.91,651909176.25,688926096.58,0,0,0,0,0,0,0.0
51,应付票据,186336199.30,225995134.87,0,188842401.62,0,191764640.99,186337484.88,201546689.29,190883993.97,152930470.93,113852951.27,216377183.73,167749183.86,207460731.92,102045944.77,83658412.40,66667644.70,67442343.73,0.0
