,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,98647311679.93,71391565328.74,48517345203.47,25850376962.59,91461552741.92,60887570121.25,38406654519.30,18588241330.13,69376823417.14,46726110747.23,30597991217.65,14863440311.56,45509028489.69,26735797747.29,12786803341.53,94128091.39,468013389.54,323415201.16,201959438.47,90618543.64,520506412.65,376527261.16,236119623.61,97224360.66,548170011.48,366311777.96,232071508.07,107205066.19,470457823.09,350765428.08,205509983.25,99065708.30,464302395.93,302753319.48,195472710.05,102023662.72,394593472.20,293254640.93,190595456.23,110444893.24,331619927.50,252324651.69,194469623.22,99280095.72,296679592.84,235423792.76,161026900.41,76329358.60,379490022.33,281679183.10,175785392.77,83211145.30,307921561.40,242130788.49,181748338.85,66479134.68,378627283.69,301370183.57,211941423.52,147135140.39,539362505.45,389836965.22,306064117.99,190461570.54,1023894035.87,766014184.08,377488583.51,207906240.42,723820505.95,378283988.51,1035221274.18,496153870.05,547397939.65,206103901.24,645617744.76,274457959.46,589331707.98,0.0
3,收到的税费返还,9487132.34,7510252.60,3385349.35,155562.21,10987400.41,4029226.47,2660608.34,2061081.80,8970653.84,6386425.72,1926251.93,1318972.93,7529112.55,2755416.57,1772329.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,39859.20,43718.28,41743.30,117.97,61101.74,61095.69,56433.03,537.57,120760.30,8867.60,758.60,705.04,329157.88,440832.49,440832.49,440832.49,164636.61,455072.23,455072.23,0,3284110.78,3284110.78,3268450.63,2825799.65,654749.12,46950.00,0,0,38500.00,58725491.10,0,0,0,224584.10,1834147.00,0,1779473.69,0.0
4,收到的其他与经营活动有关的现金,94225859.80,70615664.26,58206515.21,3088671.12,71152505.39,296323568.25,281717955.33,12516975.92,92042054.42,70022119.05,38765545.35,9905696.03,44086665.57,37400587.96,23691113.34,2031301.19,4372126.53,5350212.29,6755513.84,2895758.92,36464275.64,56021175.21,46845195.72,44438151.35,4439595.76,48175088.45,23529762.87,8490235.95,5576189.44,54396755.71,20142082.80,11354286.66,15305573.76,39012145.55,19745163.03,4747776.23,60992350.53,14159712.90,10070695.09,6304786.64,4408854.20,17330313.37,16851979.61,4272334.89,52937383.96,24185908.72,18912876.21,6807013.57,18883396.50,38177678.40,20017994.47,11556364.62,87634127.98,97282622.06,75146185.55,75376833.78,127325633.86,82109850.09,45177737.52,32919125.93,180703163.98,97917089.63,28636939.31,27005597.59,32877197.79,53415936.42,89826966.32,7268017.52,32069758.12,0,3426258.67,17615675.69,41610636.00,181846590.14,30842715.42,26520225.01,24838437.20,0.0
5,经营活动现金流入小计,98751024672.07,71469691245.60,48578937068.03,25853621195.92,91543692647.72,61187922915.97,38691033082.97,18602819387.85,69477836125.40,46802519292.00,30638683014.93,14874664980.52,45560644267.81,26775953751.82,12812266783.96,96159392.58,472385516.07,328765413.45,208714952.31,93514302.56,556970688.29,432548436.37,282964819.33,141662512.01,552609607.24,414486866.41,255601270.94,115695302.14,476034012.53,405162183.79,225652066.05,110419994.96,479607969.69,341765465.03,215217873.08,106771438.95,455585822.73,307414353.83,200666151.32,116749679.88,336068640.90,269698683.34,211363346.13,103552548.58,349678078.54,259670797.17,179996209.65,83136909.74,398494179.13,319865729.10,195804145.84,94768214.96,395884847.26,339854243.04,257335356.89,142296800.95,506117554.16,383935105.89,257574233.27,180054266.32,723349780.21,491038165.63,337969507.93,220282967.78,1057425982.78,819477070.50,467315549.83,215174257.94,755928764.07,437009479.61,1038647532.85,513769545.74,589008575.65,388175075.48,678294607.18,300978184.47,615949618.87,0.0
6,购买商品、接受劳务支付的现金,94255703519.26,68282539655.55,47033625675.33,24801776348.51,88136002573.55,58260965088.53,36506575643.27,17793446256.79,66972573565.03,43953866992.46,28651983230.14,14206031058.58,43131035192.62,24545514135.06,11963069530.28,83390862.25,380878462.08,269589680.42,174604691.38,79757181.35,478692701.37,335323886.27,229611861.63,115295820.28,434742512.03,285168324.77,177720298.62,84180674.97,367050748.66,280761884.81,164685767.87,80408898.84,371790965.51,261581392.75,156484309.20,85621316.22,306819808.10,228168147.05,143546334.60,83873043.00,255476715.29,188136726.19,158392929.38,75994052.00,239913828.28,184633865.34,124065680.81,68278992.17,305775605.73,229513284.57,140007194.95,69440479.57,281435956.13,196836956.67,165065062.72,59302402.66,336582345.62,265941314.94,169454717.77,126870065.70,467696572.66,337143493.14,247409537.48,141464408.46,988051304.42,685048650.29,334926229.16,172036551.25,598714090.28,301703749.50,966291445.71,544469271.87,369526012.29,194066352.36,512371886.34,228189181.01,493369601.52,0.0
7,支付给职工以及为职工支付的现金,981995155.19,756899242.41,530805104.05,243765671.53,953843346.10,729994984.62,509511094.40,250841651.01,901392185.09,671692631.16,461960827.19,221920925.58,641967937.75,419923496.49,244921118.33,15726643.85,60140421.98,43716632.32,29469472.02,14891775.16,60255601.32,42899228.39,29095283.45,14335300.41,57239118.07,41089365.99,27742298.34,13180734.45,55788142.99,40061937.34,27754566.21,11652373.07,46474136.70,32649800.76,22443369.31,11141170.23,39135011.42,27354311.00,18745620.56,9430169.90,32005832.22,22965075.31,15484844.81,7569741.20,28221904.33,20659361.49,14190501.58,7445784.59,35189574.07,28176340.95,19354316.46,9120384.86,34187554.57,29602385.47,19776799.15,9840345.57,48335656.64,34356311.03,23516968.38,12249161.24,42754146.49,27237808.79,19005297.52,11159279.23,46485502.80,34919056.42,22495195.92,9667335.36,39962731.58,23934496.29,41230981.16,22254653.91,31382228.53,13957932.60,31782017.12,14761128.01,20945280.41,0.0
8,支付的各项税费,701794695.67,561967940.77,386993437.70,207688697.10,800969725.80,619622965.68,476653103.54,295730887.69,612375548.81,463179812.49,323217309.35,174812351.03,359410353.92,276270212.05,139224754.10,4770053.03,10646460.68,6999611.94,5404932.40,2995392.78,14354037.88,12393184.00,8928034.70,3418107.29,14962342.24,11004704.75,8299757.10,3493631.11,16797505.04,12782549.76,9460946.32,3962586.28,13320590.14,10041154.88,7976782.88,4010267.55,14230402.11,10181239.82,7550040.15,4074020.86,9429781.81,7135860.68,5564757.40,3110748.34,7634939.81,5944306.63,3945003.79,1604585.54,10643188.52,9949501.05,5478858.20,2933099.19,7803662.40,5312767.13,3658167.76,1502669.73,4243761.19,2656731.79,2081397.02,636832.11,15103368.89,13423943.08,11819124.52,2114631.62,20613932.78,15682967.65,11967255.54,3927952.43,12417764.24,6850827.56,15719425.04,5508542.08,4464634.01,3180121.61,10856188.49,848044.55,12000848.28,0.0
