,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,543950426.20,2254887622.33,2055538146.29,1189642556.24,509296844.10,2395124869.37,1585381946.91,984210405.08,476376081.32,1853621309.49,1403695877.55,844164795.79,422514253.28,1323928277.39,1174838878.56,772804052.49,258730510.41,925599474.25,798275184.72,248858753.75,116835405.21,684703916.49,502867707.21,366896606.78,210867716.00,759791332.10,671216851.78,527016393.60,223651149.11,1061943385.75,1286632943.73,794006122.36,482179705.46,1286583599.35,1036126142.15,661261686.79,228482574.37,588616442.68,542077817.91,392480638.03,150973300.70,376524441.25,358658921.63,255863627.94,130888928.54,642897822.70,477182450.37,300308238.95,149631227.52,562006434.61,441450306.15,284132903.66,149631227.52,506551421.16,367726547.30,203639671.49,88805004.67,395129495.27,258536574.09,179715473.34,78868466.42,399568967.95,300545162.66,215590094.18,93419116.30,274115450.75,198152958.75,166769391.78,83592557.14,272657621.90,196062622.44,285526640.11,85712419.55,162748683.87,70840111.94,235985000.71,98107560.37,197503568.13,0.0
3,收到的税费返还,27672220.20,43391544.90,57133889.38,38609160.64,16601765.37,76534002.54,55331451.18,31620992.21,17527273.76,63483054.38,54481906.57,35544654.02,16913966.82,42434878.97,41798936.55,25154885.02,7907837.52,22532743.60,18569198.30,114348.36,0,77482.13,0,0,0,103828.30,103828.30,0,0,236720.87,87486.58,53039.34,50495.15,683500.87,161945.28,136451.24,75522.18,0,456276.11,31296.13,6070.25,0,21484.50,21484.50,0,360679.79,312208.27,35364.49,43254.78,199706.18,111414.62,111414.62,43254.78,525307.76,15084.33,0,0,63634.61,61126.83,61126.83,61126.83,164468.97,164468.97,164468.97,300000.00,13856084.26,7219770.24,2535102.77,535102.77,2713818.33,1913001.22,4472565.74,1613478.15,2139244.67,1730214.06,4000000.00,2811981.02,39163469.18,0.0
4,收到的其他与经营活动有关的现金,11282893.64,71261330.01,57178972.16,74577668.66,21417764.26,73075027.45,26213692.49,40558242.08,18145146.99,68593093.55,27281373.28,38270522.10,8784891.71,53769506.11,31914606.83,36325767.70,40913076.55,47835732.27,16215501.17,37775392.80,17073808.19,34732404.98,170438898.11,128127866.15,169301075.54,27433323.04,198126807.28,150613152.55,54748300.21,61202013.60,247651285.01,143570821.25,8556344.89,26228496.64,154624782.25,303922435.38,299148339.62,17914730.97,235909562.11,201292287.99,143155900.41,15896231.57,298968730.63,186516912.23,150166256.78,14069662.22,323746244.46,320693177.49,208166801.47,20986494.81,98261172.68,62703169.26,208166801.47,6045543.85,144746228.61,112349626.07,86174317.92,4651777.67,20004796.33,20304310.47,18118401.60,5099687.12,14918314.27,12540265.16,2821003.28,18268276.27,6653579.19,5596027.13,1377072.45,3908126.39,3928081.78,1830465.37,19569329.80,4420702.41,4290506.86,4019481.21,1211413.62,4127186.33,0.0
5,经营活动现金流入小计,582905540.04,2369540497.24,2169851007.83,1302829385.54,547316373.73,2544733899.36,1666927090.58,1056389639.37,512048502.07,1985697457.42,1485459157.40,917979971.91,448213111.81,1420132662.47,1248552421.94,834284705.21,307551424.48,995967950.12,833059884.19,286748494.91,133909213.40,719513803.60,673306605.32,495024472.93,380168791.54,787328483.44,869447487.36,677629546.15,278399449.32,1123382120.22,1534371715.32,937629982.95,490786545.50,1313495596.86,1190912869.68,965320573.41,527706436.17,606531173.65,778443656.13,593804222.15,294135271.36,392420672.82,657649136.76,442402024.67,281055185.32,657328164.71,801240903.10,621036780.93,357841283.77,583192635.60,539822893.45,346947487.54,357841283.77,513122272.77,512487860.24,315989297.56,174979322.59,399844907.55,278602497.25,200080910.64,97047994.85,404833124.04,315627945.90,228294828.31,96540119.58,306239811.28,212026308.18,174900521.68,85504732.36,279279566.62,201903705.44,291829671.22,106895227.50,169308630.95,76860832.86,244004481.92,102130955.01,240794223.64,0.0
6,购买商品、接受劳务支付的现金,520268172.27,1452243232.45,1476885388.82,905698581.81,443649437.22,1910978716.48,1334327060.63,891708010.30,336628346.93,1393952711.78,1118093492.66,650652252.63,270536944.53,829893658.48,877652864.79,633870158.28,250034258.96,894156262.51,862445026.98,345464519.75,212107586.39,486219249.06,571638195.10,225055575.04,333065319.54,679936970.19,868876634.37,617450423.67,313896213.39,811986766.06,1314649436.21,828428103.64,503750986.15,1122428388.16,871898099.81,570513486.13,178975368.67,578466901.46,489244537.55,380019423.76,206253214.17,283424742.63,371993433.78,205411099.08,115888296.99,536633283.55,447739364.94,308628927.46,156809428.85,402040154.27,421832713.95,262641541.20,156809428.85,503163492.10,380686071.66,226188228.26,90499591.98,262768449.32,198368740.25,144276927.29,38856522.61,343001769.39,270592894.81,165651811.70,66881777.10,224596461.99,212473472.22,180032762.37,83792122.82,286205300.31,194937974.39,252529962.88,59666077.38,154493145.88,73827572.34,196194677.90,93486665.95,162964153.77,0.0
7,支付给职工以及为职工支付的现金,83167672.18,401041714.99,236085387.11,153480090.34,82591906.47,362054705.69,216341169.58,145972101.37,73267548.01,258849099.63,186726613.33,121817032.13,66325031.24,213036705.25,149280850.28,100939180.09,42096821.14,152215414.15,117884606.65,53217234.07,31135973.51,109637446.33,107253924.05,76543190.46,54184617.46,119549643.19,83493224.12,60973847.64,38837309.41,113896690.66,87170692.69,62632108.90,38360426.43,84581394.30,68246409.56,46306211.37,26369116.38,79326769.52,54560037.20,29223774.04,20711377.52,63024718.39,41538168.55,28020761.96,14761458.99,69875262.00,43269017.91,29166803.97,15833251.19,61038694.17,43349749.37,27653125.05,15833251.19,39756322.53,27909834.35,20850463.88,12549030.51,38218289.96,25617402.93,17397809.31,7699644.52,26243779.84,19892813.72,13256946.64,8842304.34,17099589.22,9845912.73,7133821.67,3959865.78,10670025.03,4614936.40,9140948.64,7091508.32,9819841.96,4292700.63,10933964.28,6248496.55,11084622.22,0.0
8,支付的各项税费,24015916.91,109500436.74,83234234.29,54338097.05,25679409.97,99719566.83,72059178.02,48100534.37,21902162.37,117681828.26,87489060.54,63107716.33,25396131.40,97273601.39,68991200.84,46976522.45,16373372.96,60727426.83,69454244.20,27924768.81,16563868.26,61035489.98,48561217.49,27864869.90,15489051.90,79668551.90,65821001.18,53486970.05,36382270.86,62357431.39,43188360.71,27155003.35,10501374.82,25740359.13,16654799.68,14094864.95,7270160.29,24406949.69,33638004.95,25851528.70,17903619.95,25002089.83,28342877.35,22781091.17,16129668.33,28933787.92,20370937.53,11549498.69,2732625.72,18873976.20,15304425.97,8503781.30,2732625.72,16331585.75,14747211.54,10976524.03,5504690.61,19896988.11,11628868.90,7735100.07,3045449.12,11887437.41,9154656.58,6312531.43,228563.54,6277683.53,0,0,0,5174210.36,0,7776312.57,4459899.50,15687283.02,6352787.28,14785230.92,8184064.78,52879511.74,0.0
9,支付的其他与经营活动有关的现金,61006375.77,139486721.10,91276889.64,63561705.29,32758893.52,131284073.31,65286240.04,147586588.50,50765400.42,116406989.12,65355692.40,84110011.98,29860212.21,138871331.76,47368773.85,65968732.96,18545113.91,84325511.61,27509522.05,64578204.58,38022365.64,50654282.51,20857025.35,26844923.35,30753151.67,46543262.45,40252139.13,43490523.80,14100228.04,73697102.33,56964550.45,34679437.93,27703832.95,51949689.52,317514444.42,34636512.50,18408945.20,36616746.80,312513880.75,24297182.68,10006164.73,34445454.92,161745927.35,32775461.85,7997979.59,50442869.73,125425992.45,31665908.24,12043780.61,42066148.69,75768460.97,41799907.42,12043780.61,27170868.67,73638502.13,52820253.69,13735366.19,17706733.29,9005808.88,8165631.23,6283086.05,9998711.87,8405720.46,6830118.87,1149811.46,10940802.44,9011069.20,6425284.36,21336963.09,12368974.56,7468338.11,13335238.32,17013933.97,9210450.79,8095029.89,4001252.20,19698988.62,9915162.32,0.0
10,经营活动现金流出小计,688458137.13,2102272105.28,1887481899.86,1177078474.49,584679647.18,2504037062.31,1688013648.27,1233367234.54,482563457.73,1886890628.79,1457664858.93,919687013.07,392118319.38,1279075296.88,1143293689.76,847754593.78,327049566.97,1191424615.10,1077293399.88,491184727.21,297829793.80,707546467.88,748310361.99,356308558.75,433492140.57,925698427.73,1058442998.80,775401765.16,403216021.70,1061937990.44,1501973040.06,952894653.82,580316620.35,1284699831.11,1274313753.47,665551074.95,231023590.54,718817367.47,889956460.45,459391909.18,254874376.37,405897005.77,603620407.03,288988414.06,154777403.90,685885203.20,636805312.83,381011138.36,187419086.37,524018973.33,556255350.26,340598354.97,187419086.37,586422269.05,496981619.68,310835469.86,122288679.29,338590460.68,244620820.96,177575467.90,55884702.30,391131698.51,308046085.57,192051408.64,77102456.44,258914537.18,231330454.15,193591868.40,109088951.69,314418510.26,207021248.90,282782462.41,88231419.17,189210721.65,92568090.14,225915125.30,127618215.90,236843450.05,0.0
11,经营活动产生的现金流量净额,-105552597.09,267268391.96,282369107.97,125750911.05,-37363273.45,40696837.05,-21086557.69,-176977595.17,29485044.34,98806828.63,27794298.47,-1707041.16,56094792.43,141057365.59,105258732.18,-13469888.57,-19498142.49,-195456664.98,-244233515.69,-204436232.30,-163920580.40,11967335.72,-75003756.67,138715914.18,-53323349.03,-138369944.29,-188995511.44,-97772219.01,-124816572.38,61444129.78,32398675.26,-15264670.87,-89530074.85,28795765.75,-83400883.79,299769498.46,296682845.63,-112286193.82,-111512804.32,134412312.97,39260894.99,-13476332.95,54028729.73,153413610.61,126277781.42,-28557038.49,164435590.27,240025642.57,170422197.40,59173662.27,-16432456.81,6349132.57,170422197.40,-73299996.28,15506240.56,5153827.70,52690643.30,61254446.87,33981676.29,22505442.74,41163292.55,13701425.53,7581860.33,36243419.67,19437663.14,47325274.10,-19304145.97,-18691346.72,-23584219.33,-35138943.64,-5117543.46,9047208.81,18663808.33,-19902090.70,-15707257.28,18089356.62,-25487260.89,3950773.59,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0.00,0,0,0,0,0,0,0,0,2832926.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3920000.00,93920000.00,20000000.00,0,0,0,0,0,300286.00,0,0,0,5500000.00,500000.00,0,0,0,0,0,0,364658.02,0,0,0,970194.31,486164.07,4975.78,4975.78,0,0,0,0,0,0,29306135.60,0,16300000.00,5000000.00,25000000.00,0,0,0.0
14,取得投资收益所收到的现金,4002509.36,16879377.76,0,834723.98,0,10632547.74,0,0,0,0,0,0,5957.76,0,0,11793.15,5178.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376694.76,6668.00,0,0,1327671.83,327671.83,5000.00,0,0,163860.88,157460.88,0,0,0,0,0,9951.55,9951.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,12000.00,3164171.89,2591109.00,2103899.00,350.00,2433162.44,87153.95,31053.95,8886.97,203536.09,1627371.77,0,595380.00,11770275.45,198153.80,143142.20,43142.20,117767065.02,54935321.08,54898512.00,27080000.00,133455666.66,350.00,350.00,0,258486.05,170360.00,139000.00,82000.00,8072096.82,192987.00,192987.00,191787.00,250000.00,294881.20,294881.20,44881.20,11578380.00,50000.00,50000.00,0,28770000.00,28770000.00,0,0,50000.00,60000.00,0,0,0,0,0,0,18536.28,8300.00,8300.00,0,15003610.00,15003610.00,15000000.00,15000000.00,16010.00,16010.00,5010.00,0,0,0,0,0,0,0,775660.00,0,0,0,0,0,418555.50,0.0
16,处置子公司及其他营业单位收到的现金净额,0.00,90996336.39,25996336.39,2134071.64,5364869.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000000.00,0,0,0,89996542.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
