,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,17718458388.78,11271218052.68,5190046685.71,22076477362.45,17319470406.30,11943502440.10,5054530672.83,20458828222.95,14574580681.25,8954042142.78,4550818440.77,19056721082.75,13720451566.78,8554483350.86,4003898578.21,18299847907.71,12834243646.26,8326790545.09,3571101748.55,16409678235.21,12196600429.77,7536403220.63,3555890178.28,15592067193.64,11283842599.77,7193700236.33,3380793487.34,13637064787.97,10244732631.13,5995626883.25,2726916200.97,11666149178.22,7897607255.62,4428230371.85,1766246120.94,7345635920.65,4802928038.04,2909568318.55,1302104020.33,4132212606.07,3020646015.02,1684608979.78,583035626.88,2679681647.62,1940221818.05,1154770070.64,475205263.97,1594099067.65,1011590864.85,550967506.01,277385990.84,1102025342.06,891149434.21,0,1036099812.93,635446829.82,0.0
3,收到的税费返还,0,0,0,0,0,0,0,887032.72,0,0,0,1504558.18,1504558.18,1504558.18,0,892973.66,0,0,0,0,0,0,0,42917.70,0,0,0,162150.32,0,0.00,0,1003250.71,1913573.93,692925.45,140000.00,641883.05,275388.02,0,555777.63,0,170910.46,0,0,431144.45,157266.71,0,0,0,1113942.45,715521.41,0,0,0,0,73200.00,17435.90,0.0
4,收到的其他与经营活动有关的现金,5497091880.75,3108329882.64,1609171465.25,1750951447.65,1670144496.38,981119130.04,665949258.70,1603314629.94,1391987005.56,860641853.55,584794994.56,2417458182.70,656236525.98,547219071.00,506265493.66,2262570885.94,1795986702.65,847763586.65,429622442.76,1445778963.53,1053527049.86,1012663380.29,660843794.68,1438085529.90,823627091.95,598953064.04,482778809.13,1612031289.54,758197660.96,457969105.28,387773248.41,759439100.00,743277069.98,486841354.60,304448009.13,540523742.91,171079999.52,122943498.06,121585660.13,302745036.55,255219574.30,89143882.24,37330640.59,121010539.60,129022555.46,57710706.95,34133745.55,65618859.11,59938235.02,44935710.78,43867710.33,109430652.86,66133513.14,0,130420964.75,70011194.72,0.0
5,经营活动现金流入小计,23215550269.53,14379547935.32,6799218150.96,23827428810.10,18989614902.68,12924621570.14,5720479931.53,22063029885.61,15966567686.81,9814683996.33,5135613435.33,21475683823.63,14378192650.94,9103206980.04,4510164071.87,20563311767.31,14630230348.91,9174554131.74,4000724191.31,17855457198.74,13250127479.63,8549066600.92,4216733972.96,17030195641.24,12107469691.72,7792653300.37,3863572296.47,15249258227.83,11002930292.09,6453595988.53,3114689449.38,12426591500.00,8642797899.53,4915764651.90,2070834130.07,7886801546.61,4974283425.58,3032511816.61,1424245458.09,4434957642.62,3276036499.78,1773752862.02,620366267.47,2801123331.67,2069401640.22,1212480777.59,509339009.52,1659717926.76,1072643042.32,596618738.20,321253701.17,1211455994.92,957282947.35,0,1166593977.68,705475460.44,0.0
6,购买商品、接受劳务支付的现金,14777384161.65,10339208397.02,5097251210.04,18945407124.25,15960231816.75,11006638288.11,4720130525.23,17748839451.59,12685332361.52,8072003792.40,4111298402.83,15699718252.00,11913488624.48,7410304589.43,3591598613.86,16161481516.51,12092678046.69,7811504296.57,3278113934.96,14914319179.10,11561589420.95,7225423810.01,3508452372.08,14624417280.33,10757010036.14,6904840168.11,3381483203.98,12765819886.25,9744680410.00,5604552821.90,2552953596.20,10259718521.86,7196977244.38,3948741428.81,1565736607.98,7173541980.42,4520105226.54,2753370650.77,1244546651.44,4139732111.56,3036026501.51,1694093293.33,627917224.87,2379663929.88,1809340098.72,1027063734.87,469724625.69,1512642372.45,989608372.39,545453868.98,285556974.00,1007793448.24,818637916.09,0,959205030.42,603394855.59,0.0
7,支付给职工以及为职工支付的现金,1212598170.44,825215791.04,437272662.81,1535217940.84,1149445720.07,913355961.75,423702151.58,1359908356.36,1194034565.40,869120950.52,401423656.62,1078095438.95,764692432.15,517592082.80,204971847.24,891546553.91,481070548.15,281170743.86,170117266.58,701689429.02,483679966.68,326990661.97,181841799.00,613413960.63,386973736.20,266285165.48,145270377.42,479866981.86,343662837.38,207665061.32,89716539.08,372641591.79,219785771.70,147247447.74,72990899.77,251462767.14,177650812.86,114377661.92,53173442.35,140585916.92,99803596.81,57877237.04,21949506.50,66571594.99,48446521.72,28629794.47,14036441.44,47721897.29,34801134.63,20823176.82,10545621.49,35174679.42,26966273.87,0,27771462.25,11359076.24,0.0
8,支付的各项税费,61574324.82,46796448.02,16761975.21,91149150.25,72719677.24,51407456.63,27654450.84,78009846.22,84137691.16,57265770.14,27487200.80,94352524.71,70255045.07,46950344.33,24649192.73,77217049.84,50415164.45,24412773.62,13775507.16,50107035.89,39412322.48,27945023.12,17079079.41,49327537.03,61229783.34,34434591.08,12289038.02,53681970.82,41666257.95,24444698.44,8487236.83,30655381.18,22156055.29,15430173.42,6479764.41,32497377.70,22053833.34,16375810.03,8230042.30,19698511.04,11876786.20,6514944.52,2075360.88,8835547.36,6261131.19,5192036.14,1397825.01,5997529.79,4314284.50,2998497.61,2933347.56,5239422.63,2887728.47,0,3011082.35,1973238.95,0.0
