,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1683639062.66,1261696756.36,800948280.68,433146505.22,1909604037.83,1505311364.01,967321275.91,493904518.95,2047541692.80,1544374774.12,951460134.49,474144613.87,1971507853.92,1421882602.27,904116225.08,421351277.09,1970482175.88,1460167346.88,931056009.95,444052438.95,1937867447.50,1374549791.15,866611731.90,447789410.90,1965390518.05,1383156179.61,834489666.31,428491972.80,1995091359.67,1461955363.54,905147805.50,436173129.51,1883339895.85,1334563575.49,810940928.61,386404175.85,1370305483.64,985399635.04,620327723.53,305432298.02,1172957929.46,876719175.04,543834911.45,266831865.77,1070520809.37,763583081.24,458935056.16,233768263.76,914393677.15,672960372.86,420758111.87,177531209.72,804158310.49,564431855.53,447314746.29,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0.00,2845.60,0.00,0.00,200800.00,206134.53,5334.53,5334.53,174800.00,174800.00,0,0,2013216.02,2013216.02,163800.00,0,2339762.29,162700.00,162700.00,0,1318500.00,197500.00,197500.00,197500.00,949356.47,949356.47,906356.47,949356.47,3479560.94,0,848828.49,0.0
4,收到的其他与经营活动有关的现金,11524223.02,19271508.31,15432785.71,10682950.61,18787593.38,23252699.45,18897165.79,15037937.16,22280435.23,26379246.60,21636027.31,16504005.37,18832374.83,22274211.22,12394754.93,6393595.24,19049662.42,21695028.01,13607766.97,5622310.15,12599683.38,19392758.44,12661380.83,7050876.09,12620303.10,19295952.34,12740781.81,8201270.06,17074571.47,25096246.82,17214914.95,7129611.59,20595693.66,23555702.57,15655051.70,13123541.44,18068306.66,15255310.82,12653322.53,8321361.55,5822253.93,23886185.70,10119001.93,7944018.32,8658090.93,11064847.37,9775780.07,7883484.18,8285891.03,3214587.60,4064066.07,1125891.28,11579590.76,10145827.35,7010469.31,0.0
5,经营活动现金流入小计,1695163285.68,1280968264.67,816381066.39,443829455.83,1928391631.21,1528564063.46,986218441.70,508942456.11,2069822128.03,1570754020.72,973096161.80,490648619.24,1990340228.75,1444156813.49,916510980.01,427744872.33,1989531838.30,1481862374.89,944663776.92,449674749.10,1950467130.88,1393942549.59,879273112.73,454840286.99,1978010821.15,1402454977.55,847230448.12,436693242.86,2012366731.14,1487257744.89,922368054.98,443308075.63,1904110389.51,1358294078.06,826595980.31,399527717.29,1390387006.32,1002668161.88,633144846.06,313753659.57,1181119945.68,900768060.74,554116613.38,274775884.09,1080497400.30,774845428.61,468908336.23,241849247.94,923628924.65,677124316.93,425728534.41,179606457.47,819217462.19,574577682.88,455174044.09,0.0
6,购买商品、接受劳务支付的现金,636061129.96,476034291.26,317419633.39,177948563.53,743665954.76,581144243.21,401710348.12,209453162.86,762121822.83,556335527.76,392310058.14,180252255.19,717955839.45,518382669.35,371678506.26,191213776.41,798564439.44,572193435.48,372328088.70,210052087.94,793473851.03,533460885.59,326063395.74,204197422.18,786229639.75,514093973.58,316547126.37,199366732.39,818244722.75,592115722.73,389563327.38,195844753.30,790899374.18,543289948.23,361365172.53,166759723.52,559501892.94,440237463.11,264963826.34,124059361.48,427155007.49,359209416.36,224867231.00,106059805.48,425369797.28,333813177.34,212836832.28,101124396.87,371428108.14,316158452.73,184780731.73,69099564.40,324510335.54,222137400.96,196284456.02,0.0
7,支付给职工以及为职工支付的现金,656172205.00,398334864.84,251671974.60,177176995.93,715833155.37,424494471.27,252400316.77,197203273.85,672980272.46,366643224.30,217453445.72,140569008.77,647819061.80,299926952.46,188498429.18,101071161.78,554214038.55,272560303.24,176779643.84,90329402.59,565856838.31,266193523.34,172866012.09,98605186.66,458788923.72,244893643.38,159451227.26,84438658.94,429257608.30,232340574.65,148175528.50,77862635.68,380779242.27,205333232.02,139034822.03,69106170.98,322432416.22,154231215.51,111858309.94,63842503.80,276173463.16,144696900.95,94981128.65,53433444.06,265094413.59,127620886.54,79685036.68,48428610.26,199766332.95,102293770.68,65075576.15,38143851.19,161686794.90,132956540.57,103692436.66,0.0
8,支付的各项税费,85450977.57,71028688.59,44623547.66,19722342.09,121905817.12,99198540.47,61907637.04,26393316.19,137929086.76,114090667.68,60069869.11,23274873.14,155394180.99,119243610.91,81013361.19,34494237.78,170987661.34,123631700.30,79793103.67,38666152.29,169016621.40,129339870.51,84250360.56,38358915.94,174298342.76,136424042.30,89252468.48,45134919.68,182706658.77,142107558.43,93072907.53,39868187.42,165021823.94,127355217.61,82275011.00,36227918.31,123629783.82,91662226.76,66156967.11,30959427.46,113701095.27,89589936.27,67282727.22,24184950.12,101162753.33,75177023.37,58340118.33,19642717.15,97135869.94,78058332.85,55415614.47,17877425.74,82178842.52,55181157.41,45633020.68,0.0
9,支付的其他与经营活动有关的现金,248968939.65,250908577.94,192624488.25,88381654.41,267002978.72,296390514.70,214800940.97,99181766.78,273070488.33,322501095.67,215092853.59,97708258.68,252428339.37,297214621.23,200881179.81,115860623.36,224374657.29,281732191.92,200655927.50,93652084.54,242221021.45,269368841.69,198530343.64,93805606.94,352973126.87,249675013.39,154749289.52,71274989.24,309516281.12,292138538.59,173440764.25,74480247.18,270100794.43,215451885.55,144128001.41,67091621.44,198786366.03,139072459.67,95726602.37,43743291.23,167397527.02,146408501.16,86116793.94,50606231.03,169364137.15,106547331.75,60269816.00,36192249.15,137496983.20,71279987.35,49521725.63,19535406.98,113261557.87,69736385.43,41118388.14,0.0
10,经营活动现金流出小计,1626653252.18,1196306422.63,806339643.90,463229555.96,1848407905.97,1401227769.65,930819242.90,532231519.68,1846101670.38,1359570515.41,884926226.56,441804395.78,1773597421.61,1234767853.95,842071476.44,442639799.33,1748140796.62,1250117630.94,829556763.71,432699727.36,1770568332.19,1198363121.13,781710112.03,434967131.72,1772290033.10,1145086672.65,720000111.63,400215300.25,1739725270.94,1258702394.40,804252527.66,388055823.58,1606801234.82,1091430283.41,726803006.97,339185434.25,1204350459.01,825203365.05,538705705.76,262604583.97,984427092.94,739904754.74,473247880.81,234284430.69,960991101.35,643158419.00,411131803.29,205387973.43,805827294.23,567790543.61,354793647.98,144656248.31,681637530.83,480011484.37,386728301.50,0.0
11,经营活动产生的现金流量净额,68510033.50,84661842.04,10041422.49,-19400100.13,79983725.24,127336293.81,55399198.80,-23289063.57,223720457.65,211183505.31,88169935.24,48844223.46,216742807.14,209388959.54,74439503.57,-14894927.00,241391041.68,231744743.95,115107013.21,16975021.74,179898798.69,195579428.46,97563000.70,19873155.27,205720788.05,257368304.90,127230336.49,36477942.61,272641460.20,228555350.49,118115527.32,55252252.05,297309154.69,266863794.65,99792973.34,60342283.04,186036547.31,177464796.83,94439140.30,51149075.60,196692852.74,160863306.00,80868732.57,40491453.40,119506298.95,131687009.61,57776532.94,36461274.51,117801630.42,109333773.32,70934886.43,34950209.16,137579931.36,94566198.51,68445742.59,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8032643.83,8133478.50,0,0,6019708.73,5962863.94,5962863.94,0,4469824.34,4469824.34,263360.00,2744333.82,0,4320000.00,0.0
