,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,10428104043.55,6372113921.81,3611984327.23,15031869236.61,10912766222.53,6946681462.01,3105297165.27,12869539610.80,7096079883.78,4958132662.48,2448715940.47,8925187920.02,6039332378.20,4228600865.26,1611001438.15,4359536505.50,2303081451.43,1575271262.91,670120549.92,2504851150.69,1819650696.42,1049992507.76,186076630.98,1349007585.29,1000787469.74,620524034.30,316726993.28,1384017745.25,1063515338.40,779409366.84,402707501.65,1515881574.52,1028635466.00,610468703.10,224023904.65,1072755233.91,666562592.06,420754744.90,123075341.94,724521892.46,502805057.42,417282535.42,183334160.62,971517350.44,737687597.22,504057288.67,250098690.33,592750335.22,372184632.61,276278951.85,118615254.24,522081564.69,452027336.81,317440033.42,0.0
3,收到的税费返还,204474622.35,174776930.47,111282788.30,176880995.00,135404450.29,56599657.78,18654850.84,129525491.27,128851923.65,100857444.92,62052344.38,138248413.30,83885330.23,46845784.53,24365588.05,29703171.27,9447344.75,4423400.04,4421941.71,18693670.27,3981271.60,1538033.98,0,807007.49,742917.58,636866.02,0,288550.40,288550.40,0,0,0,0,0,0,313909.99,313909.99,313909.99,0,187419.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,652689468.39,299548528.62,239270419.57,865866247.74,633937605.02,379974293.78,216500434.94,348939452.71,796267213.60,430053333.82,246264709.76,203744717.28,209770424.76,111038207.77,95294391.70,122287225.36,59502201.45,54011186.16,24885821.28,40485970.87,37108468.29,28443759.91,4885581.19,21140198.37,12111159.10,6327693.92,8245590.48,13555940.84,7013496.11,9475288.62,4535158.61,27820514.77,22133834.21,26838813.92,73983577.82,39895773.69,66958741.17,10482295.16,8464271.51,27247104.64,30432128.04,25522826.59,17930730.91,5879976.48,27447621.35,2738877.34,6236877.67,11526901.14,11051648.33,11345018.51,777982.86,4558559.85,6385904.02,267731.95,0.0
5,经营活动现金流入小计,11285268134.29,6846439380.90,3962537535.10,16074616479.35,11682108277.84,7383255413.57,3340452451.05,13348004554.78,8021199021.03,5489043441.22,2757032994.61,9267181050.60,6332988133.19,4386484857.56,1730661417.90,4511526902.13,2372030997.63,1633705849.11,699428312.91,2564030791.83,1860740436.31,1079974301.65,190962212.17,1370954791.15,1013641546.42,627488594.24,324972583.76,1397862236.49,1070817384.91,788884655.46,407242660.26,1543702089.29,1050769300.21,637307517.02,298007482.47,1112964917.59,733835243.22,431550950.05,131539613.45,751956416.56,533237185.46,442805362.01,201264891.53,977397326.92,765135218.57,506796166.01,256335568.00,604277236.36,383236280.94,287623970.36,119393237.10,526640124.54,458413240.83,317707765.37,0.0
6,购买商品、接受劳务支付的现金,8385740088.10,4768477255.81,3192341808.10,12792388273.93,9418476950.15,5312148925.15,2773824344.29,9618614305.89,6062898704.39,3826881717.65,2341045953.49,6815934316.58,5057502023.71,3332614313.52,1283398561.40,3322916453.49,1445432297.62,1120996027.12,460360954.06,2201889017.23,1653357563.23,907323443.39,190376967.63,1075277297.35,778447242.08,479350475.47,275245930.79,1069895369.72,796046579.52,630958997.31,326680326.08,1159596659.10,811091433.63,430560460.54,148135551.16,738740560.48,478449346.66,286997951.54,86156822.46,501669643.77,358379322.30,300613270.60,143318906.24,576323653.50,491795367.94,296138450.03,160108927.76,410655017.98,232153924.40,200189224.92,86030725.61,356706509.00,284399638.34,205146551.48,0.0
7,支付给职工以及为职工支付的现金,1472783767.25,919427524.25,447598300.62,2283303332.83,1616073942.14,955104273.43,420340126.67,1670228466.38,1052881595.04,655221341.57,338852870.72,1210396283.30,865459910.40,547455767.80,259272574.08,550141761.62,311171917.45,177277979.93,77601942.02,306398934.34,204462826.06,106872213.55,46732228.50,90349593.43,65925966.11,45126688.44,23209592.69,94875332.08,72939218.35,51000232.46,26602892.53,91175454.67,67189012.78,45509982.31,25250968.14,62857926.20,47813715.34,33324622.09,16282922.46,49634999.41,39535779.93,25818366.36,13913304.91,44002557.94,35723409.47,25419983.44,12689883.26,41080746.43,33344956.95,24662497.06,11449425.85,37242189.93,23549803.40,18806475.56,0.0
8,支付的各项税费,458801779.80,321699561.40,65051312.71,554780099.69,537132287.02,440587265.43,117994608.93,624046849.06,426032156.20,296031601.58,118075362.23,431332280.53,238974842.42,162197565.92,67029856.61,300122312.84,133157580.99,95460414.14,23169859.65,158768159.18,78337838.40,54193905.55,12489483.51,16021691.56,13705910.89,10201047.59,5871028.25,46100222.18,43126827.91,39166593.86,25188137.93,105653021.88,82987539.88,58255750.20,24023316.80,64939307.22,37635194.03,23515848.47,13419122.48,35326929.23,46878484.17,43071834.39,20874703.94,130746903.25,112770957.83,62068518.78,24150365.59,60100055.08,46512719.03,31714772.29,19915214.29,54502240.78,52489389.31,21368297.09,0.0
9,支付的其他与经营活动有关的现金,880249276.53,825433387.64,451212453.68,805522093.68,987943446.52,624951890.23,314214576.75,926732012.40,932108415.97,565764109.20,241199734.38,579629547.03,382259641.64,234226492.92,113697473.15,137538967.25,239550219.38,133959668.36,63621414.28,67759367.97,70111649.43,66142944.77,11112083.52,40342007.34,28699426.40,22933747.02,6906662.15,37982560.51,30560933.23,22352718.27,8927556.36,54472164.72,66928413.27,37954769.66,57419688.08,36913316.45,81454262.71,51863942.96,2954146.71,45303435.01,46645664.33,31642593.53,7657625.38,46842818.88,37601029.94,16872386.60,6403619.65,36324854.69,24099011.85,22836741.66,9281317.23,25674287.93,13590143.51,17382569.65,0.0
10,经营活动现金流出小计,11197574911.68,6835037729.10,4156203875.11,16435993800.13,12559626625.83,7332792354.24,3626373656.64,12839621633.73,8473920871.60,5343898770.00,3039173920.82,9037292427.44,6544196418.17,4276494140.16,1723398465.24,4310719495.20,2129312015.44,1527694089.55,624754170.01,2734815478.72,2006269877.12,1134532507.26,260710763.16,1221990589.68,886778545.48,557611958.52,311233213.88,1248853484.49,942673559.01,743478541.90,387398912.90,1410897300.37,1028196399.56,572280962.71,254829524.18,903451110.35,645352518.74,395702365.06,118813014.11,631935007.42,491439250.73,401146064.88,185764540.47,797915933.57,677890765.18,400499338.85,203352796.26,548160674.18,336110612.23,279403235.93,126676682.98,474125227.64,374028974.56,262703893.78,0.0
11,经营活动产生的现金流量净额,87693222.61,11401651.80,-193666340.01,-361377320.78,-877518347.99,50463059.33,-285921205.59,508382921.05,-452721850.57,145144671.22,-282140926.21,229888623.16,-211208284.98,109990717.40,7262952.66,200807406.93,242718982.19,106011759.56,74674142.90,-170784686.89,-145529440.81,-54558205.61,-69748550.99,148964201.47,126863000.94,69876635.72,13739369.88,149008752.00,128143825.90,45406113.56,19843747.36,132804788.92,22572900.65,65026554.31,43177958.29,209513807.24,88482724.48,35848584.99,12726599.34,120021409.14,41797934.73,41659297.13,15500351.06,179481393.35,87244453.39,106296827.16,52982771.74,56116562.18,47125668.71,8220734.43,-7283445.88,52514896.90,84384266.27,55003871.59,0.0
