,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,400671504.02,304905943.08,153536972.37,629961363.77,456615291.30,319509566.79,156437780.99,719768014.69,499721616.67,309407427.04,168331281.50,316755704.95,227634458.66,164928550.32,67139080.58,285313973.86,219954333.17,144359696.97,65842777.24,281201673.39,213523930.16,131178966.95,58261049.90,227110985.95,165977859.03,112067241.47,44712801.93,199237231.17,154689366.05,102694331.56,44259629.44,239485326.84,174384190.11,119158222.01,45254343.32,308155764.44,217281214.76,143275709.31,61410079.24,270641089.15,168603594.62,112406945.12,53404674.47,245385159.34,169408007.83,118142525.59,50294756.20,231432080.90,136858999.05,76144731.62,203727938.62,155901797.68,0.0
3,收到的税费返还,143130.07,0,0,0,0,0,0,198773.35,0.00,0.00,0.00,261562.97,261562.97,261562.97,40863.94,0,0,0.00,0.00,323281.41,323281.41,306066.75,306066.75,0.00,0.00,0,0,167125.21,249822.66,0,0.00,0,0,0,0,0,0,0,0,4676895.06,4268939.86,4268939.86,4268939.86,6555651.80,6508567.04,6508567.04,6508567.04,6270532.46,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,12332727.99,28195805.88,1026723.04,26399365.12,56520426.63,65027463.88,60141006.31,20942355.45,12361940.31,8313948.72,6917893.53,15944525.97,12793519.30,9314594.66,7881685.13,16067697.58,13840055.81,8426192.89,6183245.32,12856624.74,8976337.53,5657161.79,2539589.26,22741737.47,15014802.39,12174118.48,10458466.36,11656762.77,9031313.13,6338294.98,2036175.07,25810937.65,13216246.82,9636896.07,7080937.64,24475682.15,13572908.25,8506366.71,5138712.21,24198419.78,14547809.53,10198122.76,4786091.28,12480249.93,6323982.57,4541885.24,2593830.35,19146333.02,21252297.70,6328248.95,36860119.57,20707116.18,0.0
5,经营活动现金流入小计,413147362.08,333101748.96,154563695.41,656360728.89,513135717.93,384537030.67,216578787.30,740909143.49,512083556.98,317721375.76,175249175.03,332961793.89,240689540.93,174504707.95,75061629.65,301381671.44,233794388.98,152785889.86,72026022.56,294381579.54,222823549.10,137142195.49,61106705.91,249852723.42,180992661.42,124241359.95,55171268.29,211061119.15,163970501.84,109032626.54,46295804.51,265296264.49,187600436.93,128795118.08,52335280.96,332631446.59,230854123.01,151782076.02,66548791.45,299516403.99,187420344.01,126874007.74,62459705.61,264421061.07,182240557.44,129192977.87,59397153.59,256848946.38,158111296.75,82472980.57,240588058.19,176608913.86,0.0
6,购买商品、接受劳务支付的现金,192567099.05,145034672.33,75708465.26,274635813.47,212072039.67,153768730.83,70641242.34,290214133.14,215190651.27,137674365.43,62218585.29,140886306.33,102033968.21,67530915.14,30955949.09,136952515.59,96038634.86,69657962.77,40016327.12,142288248.06,102764392.19,72132038.87,28475138.98,96568558.67,68704579.53,49675816.21,30044723.31,115143531.42,95366632.29,72899470.82,31515719.50,137604962.24,100909953.43,74446691.02,35214749.58,165935854.19,117921954.02,77668063.61,36280834.02,124801947.74,87296319.02,49190083.51,22454906.30,137257725.72,103668439.51,81439352.71,47022598.61,113169302.25,78190117.79,50837239.09,83565917.67,100083124.66,0.0
7,支付给职工以及为职工支付的现金,146092360.77,102490050.67,53046636.04,205753866.65,154008348.41,106182581.72,57241725.02,221472338.92,162695529.55,111779835.70,58798509.86,114130332.23,82248600.07,54518157.75,27211272.33,112163642.28,86489293.84,60260269.87,31795821.96,106791752.70,81008134.70,54399331.92,27086524.71,101399174.27,72659408.81,49645695.91,26035529.87,102110070.97,73813497.13,50310085.07,26251073.80,102749503.14,77261287.33,52489964.89,26391685.41,98144249.18,71477423.24,47542305.80,22776770.37,94726773.72,65478966.29,41187302.60,19728217.24,94175189.82,68868491.78,46209873.61,24412677.86,87109481.62,55404124.31,34857205.73,69063726.00,56419107.83,0.0
8,支付的各项税费,20640311.34,16812649.36,6971846.84,46910964.09,40337917.42,30247258.09,14990016.26,63933278.51,49104613.49,33087623.63,15886274.09,27424852.15,21470204.72,15892824.97,6140311.95,15993713.45,12283491.78,9991458.23,4015320.23,18650571.26,12854986.67,9707561.84,2492490.46,17275266.39,10462741.21,8874521.56,5940356.52,18628128.86,11556103.61,8920489.32,3524503.79,21666823.32,16988100.59,14090346.73,7405995.67,17189963.81,13086986.95,9848032.26,4874188.31,15264181.36,12214133.98,8332090.42,3904912.88,17724820.94,11283748.71,10194252.07,2578436.51,17870083.12,13891708.42,8994664.67,18164448.36,12393485.45,0.0
