,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,48496574550.63,34525589766.42,21205144219.67,10021308601.42,42239896987.19,28641248708.04,16490022266.82,7626404921.60,33252626538.49,23196660067.81,13510514639.01,6574668437.34,22838081460.95,19348178771.28,11141067304.05,5420853574.91,19078564965.00,13881458269.23,9158954714.20,4544232183.55,19211166073.21,13641252418.92,7992027893.64,2724262566.00,8410429475.88,5341558885.61,2674949603.35,1594925285.72,3215137346.36,1873515042.88,989451698.97,295161145.13,820980693.54,398163267.38,268435375.50,139178346.99,363076196.87,269060682.14,170674464.35,61219133.19,259394352.50,171183051.29,99465210.86,48505938.28,171146461.96,113896223.55,0.0
3,收到的税费返还,926361355.67,719241351.42,423555919.52,307545732.44,1083648531.70,912135969.93,509273017.88,176764797.19,946926185.28,717846033.68,489302114.92,280014024.56,607095614.24,391699941.91,215003598.50,125907606.40,341763109.83,280682933.44,117586870.61,51689499.47,148203926.79,146847217.01,73265924.35,21029106.52,13026519.75,3450595.86,2180374.31,334988.63,12982697.98,12705231.64,11658411.76,4433683.39,8837178.93,6865358.67,1462160.94,545756.70,580495.02,571936.22,571936.22,2144132.53,481858.64,255166.33,221580.88,100042.63,408470.43,500000.00,0.0
4,收到的其他与经营活动有关的现金,607007082.81,112359802.01,67098194.41,51251727.64,289031104.92,256317157.96,115919346.04,16327310.07,289016539.83,150313488.04,90096472.78,48131808.66,179031313.21,135345471.02,99447815.45,60307824.10,150708959.36,146069743.53,99600224.71,23296618.08,201644882.85,156611529.24,78511454.61,31239275.89,59771818.88,39539132.50,14989056.46,5727979.07,110491129.67,6752796.45,2684421.41,9369844.91,32816725.82,6400638.73,4361251.18,10516134.55,14614629.99,2375003.63,1846661.93,263179.53,3240043.51,2819017.09,2339945.31,466364.83,7266119.56,2008750.33,0.0
5,经营活动现金流入小计,50029942989.11,35357190919.85,21695798333.60,10380106061.50,43612576623.81,29809701835.93,17115214630.74,7819497028.86,34488569263.60,24064819589.53,14089913226.71,6902814270.56,23624208388.40,19875224184.21,11455518718.00,5607069005.41,19571037034.19,14308210946.20,9376141809.52,4619218301.10,19561014882.85,13944711165.17,8143805272.60,2776530948.41,8483227814.51,5384548613.97,2692119034.12,1600988253.42,3338611174.01,1892973070.97,1003794532.14,308964673.43,862634598.29,411429264.78,274258787.62,150240238.24,378271321.88,272007621.99,173093062.50,63626445.25,263116254.65,174257234.71,102026737.05,49072345.74,178821051.95,116404973.88,0.0
6,购买商品、接受劳务支付的现金,41746855584.36,28540004802.94,17906152455.95,8867569857.17,37728274369.51,25654573228.05,14319251829.26,7474447462.59,29789425368.63,21733553132.92,13033693402.07,6448836397.12,19671728137.97,17234993807.61,9620069043.96,4302091549.40,16010106268.63,11871031180.05,8010798150.83,3880825361.44,16918967382.08,12627717588.72,7754432533.58,2546141827.47,6079868367.70,4027242208.91,2155320133.21,953997957.36,2248866817.56,1328360748.72,659153449.89,299452783.94,706372441.05,447258206.50,308420462.46,171999510.40,299030745.59,176332895.15,97761474.17,53588561.38,139687514.34,103441354.60,55035008.62,36506369.26,75832114.27,33676061.98,0.0
7,支付给职工以及为职工支付的现金,3821792837.43,2776634255.91,1853909635.11,1006755349.82,4048209312.82,2848104950.21,1884280254.03,931217613.97,3241745542.76,2379383843.84,1543484899.11,750110183.44,2536022638.84,1825476482.43,1155156208.22,566068571.19,2319633761.35,1664372801.03,1135667369.09,559374395.78,2219598060.92,1655856361.63,1089427357.58,464663002.36,1256697077.87,893741637.96,546186880.98,210912494.73,634692945.50,388635052.42,244587698.13,105672118.23,278648234.26,196052875.26,123133660.68,59634924.00,119971395.85,74257226.85,44069176.83,17304159.46,53741814.36,36594099.14,22905765.27,9143891.51,38343229.48,23985213.40,0.0
8,支付的各项税费,426443341.29,320660602.18,262211867.89,184474931.81,544362317.12,419898229.20,346847454.18,66725370.55,604603994.72,484920879.91,351481577.61,84634995.51,305650883.50,219412288.43,152209988.69,77023543.10,397072662.15,326653110.36,246145569.64,168837765.52,322999804.53,187101450.03,113999283.68,42174837.55,229838412.28,233303801.37,133781233.78,60757182.78,162579098.65,80933390.05,52362013.41,34034342.20,39214175.85,22190861.01,16623301.18,8499933.95,24044509.39,16696909.59,13237056.31,9166322.64,13365098.35,6685421.21,4000932.56,1929270.72,17122282.56,6033405.33,0.0
9,支付的其他与经营活动有关的现金,778492053.72,576240857.58,327479635.35,212649231.40,647224350.29,656051773.16,435746941.62,165172532.02,523464011.43,504091406.62,237487201.76,106694834.06,300124239.04,352839583.82,194057286.97,105310311.90,259343348.32,332877472.62,175481261.13,94934611.06,320344412.67,245642074.66,175430690.06,72235215.97,226282786.04,209880133.18,115650111.52,32239383.18,113239374.36,19734955.56,41799893.58,23555968.97,44925421.01,23744826.65,14923091.12,14494651.22,24684068.28,17489252.85,11854834.56,1607101.73,7142125.23,4197840.38,4729742.56,2229944.27,8156882.72,13612249.05,0.0
10,经营活动现金流出小计,46773583816.80,32213540518.61,20349753594.30,10271449370.20,42968070349.74,29578628180.62,16986126479.09,8637562979.13,34159238917.54,25101949263.29,15166147080.55,7390276410.13,22813525899.35,19632722162.29,11121492527.84,5050493975.59,18986156040.45,14194934564.06,9568092350.69,4703972133.80,19781909660.20,14716317475.04,9133289864.90,3125214883.35,7792686643.89,5364167781.42,2950938359.49,1257907018.05,3159378236.07,1817664146.75,997903055.01,462715213.34,1069160272.17,689246769.42,463100515.44,254629019.57,467730719.11,284776284.44,166922541.87,81666145.21,213936552.28,150918715.33,86671449.01,49809475.76,139454509.03,77306929.76,0.0
11,经营活动产生的现金流量净额,3256359172.31,3143650401.24,1346044739.30,108656691.30,644506274.07,231073655.31,129088151.65,-818065950.27,329330346.06,-1037129673.76,-1076233853.84,-487462139.57,810682489.05,242502021.92,334026190.16,556575029.82,584880993.74,113276382.14,-191950541.17,-84753832.70,-220894777.35,-771606309.87,-989484592.30,-348683934.94,690541170.62,20380832.55,-258819325.37,343081235.37,179232937.94,75308924.22,5891477.13,-153750539.91,-206525673.88,-277817504.64,-188841727.82,-104388781.33,-89459397.23,-12768662.45,6170520.63,-18039699.96,49179702.37,23338519.38,15355288.04,-737130.02,39366542.92,39098044.12,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,30313126.14,30313126.14,24206137.14,0,12213978.00,12213978.00,12213978.00,0,4454850000.00,4449850000.00,4009850000.00,2889740000.00,4578226135.44,2908226124.12,1591226124.12,1085000000.00,3899288800.00,3180000000.00,2230000000.00,920000000.00,2840000000.00,300000000.00,300000000.00,160000000.00,900000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,4142830.70,5080733.69,3912624.09,3336317.31,4977328.76,2984431.51,2047108.24,1136273.98,5396048.77,4537767.02,3265986.36,2051712.35,5941365.21,1389424.35,1389424.35,382958.86,1134445.12,34308.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
