,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,4916175797.67,3165333316.80,1494311560.62,6174312488.45,4076520425.65,2616450004.70,1172858140.30,4453217478.00,2689750404.84,1456925310.25,732774567.36,2806965140.91,1834245010.87,1056130143.02,404116774.71,2200062166.97,1377204776.10,853110034.08,399903699.99,1817103609.78,1160110798.72,764858815.89,361552824.98,1520782990.83,898657441.46,540402254.32,236566534.91,1099056077.85,728648849.08,458491122.43,174932065.43,891193445.29,605527657.50,410278796.18,163872943.09,836176738.14,508508843.12,295871700.00,193113338.97,630118332.44,651134262.21,386341300.00,377872321.91,289899866.35,158186433.61,0.0
3,收到的税费返还,237006727.44,159561489.34,102888482.32,354237497.02,213269905.58,100167166.36,45480648.08,278461907.36,161711098.70,107560357.19,29232356.08,252620606.86,159447016.82,83077949.19,48302454.99,126574006.95,93328301.19,66044315.16,15923355.52,136054751.61,124654261.35,60368056.89,19782597.43,136953330.54,94261604.97,59849575.96,24314487.95,103533294.59,69318313.45,42248700.13,30964277.25,43076854.45,18382909.28,15643445.46,4088448.71,47261800.91,29388465.05,14664500.00,8772416.13,38716810.88,24135157.20,2395400.00,21940512.38,5191730.29,0,0.0
4,收到的其他与经营活动有关的现金,296489984.74,364014052.69,142013647.91,119011054.84,40843678.21,54553523.37,14354861.10,94177204.14,51920776.54,27162918.03,14267698.78,67051661.28,26084345.56,8389507.30,2111375.30,71008654.62,39773830.76,32658963.52,32375624.37,39660005.36,15070915.15,16677654.63,11466989.30,61520837.68,50075550.45,22152346.07,5364989.36,56912892.49,48449884.69,26092846.03,2986279.89,31749944.33,19647905.08,6609590.95,1692886.05,21477876.05,13002826.17,8797500.00,1514271.43,9597936.74,3442366.35,4996600.00,47640303.72,3186040.65,23706983.63,0.0
5,经营活动现金流入小计,5449672509.85,3688908858.83,1739213690.85,6647561040.31,4330634009.44,2771170694.43,1232693649.48,4825856589.50,2903382280.08,1591648585.47,776274622.22,3126637409.05,2019776373.25,1147597599.51,454530605.00,2397644828.54,1510306908.05,951813312.76,448202679.88,1992818366.75,1299835975.22,841904527.41,392802411.71,1719257159.05,1042994596.88,622404176.35,266246012.22,1259502264.93,846417047.22,526832668.59,208882622.57,966020244.07,643558471.86,432531832.59,169654277.85,904916415.10,550900134.34,319333800.00,203400026.53,678433080.06,678711785.76,393733200.00,447453138.01,298277637.29,181893417.24,0.0
6,购买商品、接受劳务支付的现金,2593159744.58,1571495662.95,745645561.35,3089343177.40,2534649688.14,1947572028.45,853685395.09,2590769883.18,1842729789.41,1054866775.87,511227125.81,1858888568.09,1393387125.53,808805196.59,402164134.27,1224453176.37,782603638.67,600943414.31,393716869.11,954932467.45,711687496.85,467342397.64,298642497.27,880140396.35,625768276.72,359652114.07,212729374.80,687516526.18,482012541.00,275138433.20,142337399.31,591509370.72,430718161.66,299837090.29,131423400.15,434537885.41,321409372.89,204102900.00,114727294.54,348754419.17,351423462.15,220613900.00,333215122.86,192651079.71,101522528.18,0.0
7,支付给职工以及为职工支付的现金,1298227619.94,801841018.37,378748838.90,1704156442.63,1240549210.46,890539374.74,339652822.85,1426604404.53,1249684008.46,753888920.23,335016219.92,842179238.18,629099582.19,427374741.97,230134900.96,564575139.07,381495340.45,264215331.06,142248849.00,467055116.04,354352272.31,226084575.45,133225337.68,363728853.11,270279078.52,176873911.78,79008050.16,307264392.45,231874884.37,163419285.37,55520806.57,238311043.59,177912870.85,126961361.08,48645397.43,195142243.62,146490912.30,93278600.00,37080243.48,147017339.07,121191411.47,85192000.00,73685491.22,37297428.28,19094879.76,0.0
8,支付的各项税费,207865557.29,166949004.88,84018795.61,372820107.19,278528966.53,239800320.34,203665750.61,280839183.40,277054626.77,172762130.01,160396451.47,216089883.05,157941451.89,98232160.07,59527029.20,170180277.38,85017178.89,54210257.88,24695264.87,120992061.92,85273179.60,61151565.28,17651405.42,123710792.43,95922201.66,77530165.58,35071738.18,79853483.67,68726397.73,51028911.03,17009222.08,78312551.80,64805339.79,47769784.85,25595084.04,46526750.45,35152580.78,34251800.00,17891095.35,62716920.53,48653691.66,17679400.00,23031675.38,2348469.41,2734660.62,0.0
9,支付的其他与经营活动有关的现金,987216763.58,554229502.59,221827660.19,1384409272.16,783381173.49,415419657.44,250761321.03,770904431.83,358559758.73,200674710.47,196857378.52,613355051.08,437294978.41,237562718.14,127218237.21,378815221.06,291069738.51,153549165.21,69097777.36,333800651.32,216150838.28,160806115.29,65048297.43,275075299.59,206905138.11,111263506.78,69803810.74,222438745.61,176414977.53,160292341.83,73669847.92,175612161.79,134503961.73,78810297.97,40406462.28,131711678.76,99258665.79,73120800.00,41086386.55,108633065.57,82485608.32,44011800.00,10511914.75,61658055.56,13721734.84,0.0
10,经营活动现金流出小计,5086469685.39,3094515188.79,1430240856.05,6550728999.38,4837109038.62,3493331380.97,1647765289.58,5069117902.94,3728028183.37,2182192536.58,1203497175.72,3530512740.40,2617723138.02,1571974816.77,819044301.64,2338023813.88,1540185896.52,1072918168.46,629758760.34,1876780296.73,1367463787.04,915384653.66,514567537.80,1642655341.48,1198874695.01,725319698.21,396612973.88,1297073147.91,959028800.63,649878971.43,288537275.88,1083745127.90,807940334.03,553378534.19,246070343.90,807918558.24,602311531.76,404754000.00,210785019.92,667121744.34,603754173.60,367497100.00,440444204.21,293955032.96,137073803.40,0.0
11,经营活动产生的现金流量净额,363202824.46,594393670.04,308972834.80,96832040.93,-506475029.18,-722160686.54,-415071640.10,-243261313.44,-824645903.29,-590543951.11,-427222553.50,-403875331.35,-597946764.77,-424377217.26,-364513696.64,59621014.66,-29878988.47,-121104855.70,-181556080.46,116038070.02,-67627811.82,-73480126.25,-121765126.09,76601817.57,-155880098.13,-102915521.86,-130366961.66,-37570882.98,-112611753.41,-123046302.84,-79654653.31,-117724883.83,-164381862.17,-120846701.60,-76416066.05,96997856.86,-51411397.42,-85420300.00,-7384993.39,11311335.72,74957612.16,26236100.00,7008933.80,4322604.33,44819613.84,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,334825217.31,334825217.31,334825217.31,334768094.74,900155782.69,0,0,0,124500000.00,124500000.00,124500000.00,88500000.00,364111967.26,217451967.26,131451967.26,68135975.11,159214024.89,124350000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440375.00,0,0,0,0,0.0
14,取得投资收益所收到的现金,160000.00,0,0,0,0,0,0,1361817.36,1361817.36,1361817.36,1361817.36,3142810.18,215291.77,0,0,766832.76,766832.76,766832.76,559758.79,2751327.45,1908665.05,790067.79,348958.20,859600.80,484384.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220589.42,0,0,0,0,0.0
