,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140331,20131231,20121231,20111231,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,741493096.06,529080911.43,334384431.81,158320848.19,647395289.79,492226887.28,268936427.05,116807508.71,585938719.10,420946144.54,265894439.28,122582147.81,543853167.64,353140625.32,224381113.19,93175490.66,535964211.64,399253239.20,295740880.41,104655883.15,801477457.23,598810176.18,176816257.18,872248899.27,958513471.83,825745120.18,651543556.76,575804159.83,488200515.74,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134100.00,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,8814659.73,7061036.69,2121107.16,970836.05,3744775.39,5881983.82,4367181.12,1653089.38,4401382.37,6436549.45,5800753.36,4230601.00,8301761.21,8885255.83,7507334.54,4712472.09,9157736.98,4200657.56,2354682.04,217698.33,4817151.78,3541714.31,470138.21,4089395.21,3134957.03,18667175.80,11142456.51,11767858.57,8159667.47,0.0
5,经营活动现金流入小计,750307755.79,536141948.12,336505538.97,159291684.24,651140065.18,498108871.10,273303608.17,118460598.09,590340101.47,427382693.99,271695192.64,126818748.81,552154928.85,362025881.15,231888447.73,97887962.75,545121948.62,403453896.76,298095562.45,104873581.48,806428709.01,602351890.49,177286395.39,876338294.48,961648428.86,844412295.98,662686013.27,587572018.40,496360183.21,0.0
6,购买商品、接受劳务支付的现金,616912356.11,480597785.14,297013704.63,185896824.33,606700440.87,494906419.04,276010553.80,157475295.46,514253242.98,442752341.90,272294984.66,162548129.59,454810012.64,359309192.01,243901592.12,139648929.21,447866985.04,390254951.31,274810249.86,159709734.13,719029270.69,626604896.05,233015791.86,802458189.54,870133090.73,786598558.52,594057443.57,537226162.53,459097442.29,0.0
7,支付给职工以及为职工支付的现金,14690325.54,11257837.03,7355129.13,3789540.98,16537076.19,11737316.43,8362189.57,4042314.86,11251507.21,9101680.90,7079497.73,4035660.46,11547953.04,8972205.38,5678063.40,3862216.57,9016845.81,6939505.96,4816840.43,2785011.90,8090937.61,5966127.17,2153946.37,7774736.53,7200081.92,5812920.39,6446330.20,4186945.77,3738025.93,0.0
8,支付的各项税费,4559603.65,3083547.84,2468159.83,557580.74,6885903.46,6064659.82,5230193.28,1552403.14,17175283.86,14485732.55,10910832.49,4066281.70,22451631.64,18119567.72,14342014.87,5119838.45,17601182.25,13033181.67,10978836.69,5301217.57,16823349.18,14913376.58,5337323.00,21035141.56,31641769.01,18008633.45,11423702.72,10498388.75,8878207.76,0.0
