,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,870416503.09,637635248.19,399572390.88,203227892.74,656986075.73,489101420.77,300009459.73,134162640.04,578133178.42,423209227.58,270222552.37,117533300.33,574772602.56,431218561.42,278680027.93,134704647.52,525514009.35,383203745.27,236575709.45,98470552.16,434337539.78,279708259.68,158443734.68,53210632.45,334031716.87,221875480.44,128010511.55,50786879.89,294216137.68,193158102.91,115174358.72,45722393.02,213913039.24,139163946.21,86612559.74,34257228.39,159270803.75,115786749.46,73933189.25,33182043.93,179551837.38,138909337.28,105495312.64,51683143.54,202621962.32,76504157.72,47204342.03,263439455.83,137107287.13,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,18477832.27,29512236.89,3171529.69,1708039.69,14209807.32,14451430.01,8662594.37,1925863.97,41172175.31,29553028.08,28214782.32,27153314.32,8295302.71,4067789.48,2836336.47,1958113.43,9997335.23,4193834.34,1680886.24,610079.12,13325613.17,7719470.54,3178342.42,1440701.75,7793216.47,5373953.28,4109903.90,1775645.27,10180005.96,5654476.26,4772135.28,2552066.89,16312984.99,12510728.85,9922690.75,2680614.86,8637277.21,6339933.26,5580048.38,975812.21,5314440.01,3979049.55,1128387.95,618582.50,3393539.00,3209922.50,3136775.97,8156602.36,5736170.37,0.0
5,经营活动现金流入小计,888894335.36,667147485.08,402743920.57,204935932.43,671195883.05,503552850.78,308672054.10,136088504.01,619305353.73,452762255.66,298437334.69,144686614.65,583067905.27,435286350.90,281516364.40,136662760.95,535511344.58,387397579.61,238256595.69,99080631.28,447663152.95,287427730.22,161622077.10,54651334.20,341824933.34,227249433.72,132120415.45,52562525.16,304396143.64,198812579.17,119946494.00,48274459.91,230226024.23,151674675.06,96535250.49,36937843.25,167908080.96,122126682.72,79513237.63,34157856.14,184866277.39,142888386.83,106623700.59,52301726.04,206015501.32,79714080.22,50341118.00,271596058.19,142843457.50,0.0
6,购买商品、接受劳务支付的现金,254599011.33,204973056.92,140230251.14,48096953.34,135683017.56,101806741.96,71567426.08,16916814.02,164046178.54,140035224.84,89245150.52,11106009.25,152055869.63,89557108.75,60690253.60,34389611.16,114354571.15,59500923.21,28305163.92,11623941.12,127512679.08,56366955.02,42048861.66,14419709.34,80558828.60,55831279.89,44426811.45,8885265.26,98897246.76,67056029.81,49521768.99,21954755.34,51488631.84,36336067.71,26453965.44,14903830.37,40904055.95,33088155.52,22100836.03,17791008.58,56114631.30,52999990.16,51016589.81,29006216.14,141868674.74,45066141.59,42646944.75,207086319.30,81020037.29,0.0
7,支付给职工以及为职工支付的现金,114682278.63,80591715.57,52443710.25,28452920.77,77921051.19,53988998.04,36813746.25,19473650.16,61766487.86,47034707.14,31933904.62,17185867.18,69483120.08,55185235.00,40097743.84,20882255.93,86808970.38,64666976.17,44273108.16,20991342.59,56169822.32,40105145.31,26772975.71,14416419.13,43039997.05,33717811.08,21793222.38,10877612.69,30515746.28,22131264.23,14110276.00,6829163.70,20533539.04,14813113.09,9216400.06,4436837.09,15416769.61,10637275.75,6364884.10,2805213.71,10806907.47,7498482.73,5194172.28,2867713.78,6553273.51,5565520.24,3670702.54,6159390.11,5594338.27,0.0
8,支付的各项税费,101992541.66,72077079.75,48355618.71,22236620.10,95189137.04,70897608.05,52155163.43,22934243.57,85563393.78,58401844.03,35804272.45,14816398.62,83063723.28,60399231.37,35013213.18,8444965.61,80506711.46,62136262.64,41804261.98,19209666.52,65763548.28,49854429.88,31404009.62,13289726.82,56252497.97,38290520.53,26103123.74,10050052.32,40464169.48,33998613.47,23208077.26,11326949.91,31672168.75,22870794.16,14135017.89,5485018.47,27253379.22,20405035.47,12321750.70,4970544.89,20497068.34,16758529.19,9544739.10,2672457.25,23612581.14,15145838.47,11044046.71,18339012.92,12809568.02,0.0
9,支付的其他与经营活动有关的现金,260811844.77,196099184.03,119772889.30,58102288.84,186648487.88,128468502.16,80249340.87,37400616.63,163004417.52,108882415.37,71672981.94,32623788.36,202298007.39,157605446.49,109384176.66,38412741.79,172987856.87,131649265.78,85209100.53,38152274.55,156109567.16,102691156.18,61551663.30,29079232.28,120603658.43,90478080.53,54865246.81,26490824.48,111662922.37,79074061.85,50211665.19,24700376.73,80804695.25,56044965.23,33906427.75,14235492.00,46819036.53,37853213.08,24838511.58,11059865.38,39535937.59,30341948.45,19049285.19,9959919.39,38741900.69,25588277.36,15549257.48,27735481.91,23772163.34,0.0
10,经营活动现金流出小计,732085676.39,553741036.27,360802469.40,156888783.05,495441693.67,355161850.21,240785676.63,96725324.38,474380477.70,354354191.38,228656309.53,75732063.41,506900720.38,362747021.61,245185387.28,102129574.49,454658109.86,317953427.80,199591634.59,89977224.78,405555616.84,249017686.39,161777510.29,71205087.57,300454982.05,218317692.03,147188404.38,56303754.75,281540084.89,202259969.36,137051787.44,64811245.68,184499034.88,130064940.19,83711811.14,39061177.93,130393241.31,101983679.82,65625982.41,36626632.56,126954544.70,107598950.53,84804786.38,44506306.56,210776430.08,91365777.66,72910951.48,259320204.24,123196106.92,0.0
11,经营活动产生的现金流量净额,156808658.97,113406448.81,41941451.17,48047149.38,175754189.38,148391000.57,67886377.47,39363179.63,144924876.03,98408064.28,69781025.16,68954551.24,76167184.89,72539329.29,36330977.12,34533186.46,80853234.72,69444151.81,38664961.10,9103406.50,42107536.11,38410043.83,-155433.19,-16553753.37,41369951.29,8931741.69,-15067988.93,-3741229.59,22856058.75,-3447390.19,-17105293.44,-16536785.77,45726989.35,21609734.87,12823439.35,-2123334.68,37514839.65,20143002.90,13887255.22,-2468776.42,57911732.69,35289436.30,21818914.21,7795419.48,-4760928.76,-11651697.44,-22569833.48,12275853.95,19647350.58,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
