,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1822865593.79,1131759293.30,597473290.18,2842661256.98,2265602769.12,1498498139.11,659024894.12,3231868086.25,2511391204.23,1718750771.83,918697784.00,3454686253.06,2684548443.65,1687536128.93,824221315.88,3321350053.78,2646407594.30,1749230557.54,813695635.20,3859154956.95,3326747074.11,2273750645.67,1013553171.34,6071186445.78,4456488952.75,2789187980.60,816837412.08,5824718932.41,3942460382.08,2667844730.07,959308257.82,5559823250.28,3736230642.65,2504088669.37,983703180.31,3288459470.79,1982687094.57,941573202.43,184024745.25,1576072631.84,955568436.97,793062852.74,331407577.88,843181041.35,581200096.13,402420600.35,221388822.59,0.0
3,收到的税费返还,57359.30,55021.85,44041.25,565931.60,135067.93,135067.93,0,20458057.42,19913415.87,12953223.00,12768105.08,21084199.90,18712230.18,15251641.99,6030215.29,27539540.64,22989774.71,18824868.83,7495408.62,20836588.72,351900.00,351900.00,5658725.54,15533684.44,13458855.82,9192313.26,3832993.83,596773.44,6401034.97,3727017.81,1636166.38,0,0,0,0,709786.61,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,19135402.76,12666051.85,6167743.96,43482483.93,16880729.74,7735484.25,14068589.06,10740248.67,14884143.29,9996766.56,4470138.41,9822530.03,48277787.18,12035244.25,2865833.90,14181184.44,112924939.67,85407472.49,80692863.75,14197685.78,153613560.00,125620327.74,25755747.21,23073720.83,88795026.86,72717021.85,40326178.46,33775717.85,70198565.03,68930604.51,61574322.30,26563855.11,39536441.64,36561088.68,988759144.49,11620648.24,43358692.16,3403416.23,1511321.18,3466537.66,3007782.52,157916.02,3802973.44,191907.88,18783403.08,13881942.64,3654065.95,0.0
5,经营活动现金流入小计,1842058355.85,1144480367.00,603685075.39,2886709672.51,2282618566.79,1506368691.29,673093483.18,3263066392.34,2546188763.39,1741700761.39,935936027.49,3485592982.99,2751538461.01,1714823015.17,833117365.07,3363070778.86,2782322308.68,1853462898.86,901883907.57,3894189231.45,3480712534.11,2399722873.41,1044967644.09,6109793851.05,4558742835.43,2871097315.71,860996584.37,5859091423.70,4019059982.08,2740502352.39,1022518746.50,5586387105.39,3775767084.29,2540649758.05,1972462324.80,3300789905.64,2026045786.73,944976618.66,185536066.43,1579539169.50,958576219.49,793220768.76,335210551.32,843372949.23,599983499.21,416302542.99,225042888.54,0.0
6,购买商品、接受劳务支付的现金,1698360922.74,959300146.04,513664815.75,2490296100.98,1951246645.93,1333382674.48,616298731.60,2720435692.61,2210052832.13,1541771507.67,826411918.76,2932743827.09,2301884170.79,1388516799.49,569278176.76,2977087168.65,2502963865.90,1674469663.43,753160895.16,3374305867.35,3047490746.76,2039892977.47,990668149.95,5415739004.84,4079197366.63,2564315528.24,931013716.64,4893479034.62,3573442743.81,2577122078.28,1010567014.23,5346728028.39,3682823810.83,2414936236.34,912806969.56,3047416179.63,1872961553.59,1048877735.72,287827323.65,1357963293.34,895245437.09,718874377.93,325419964.27,786831303.29,551956277.89,368237376.44,203311090.50,0.0
7,支付给职工以及为职工支付的现金,75640869.78,53943423.88,31362828.49,108524403.04,86184767.83,63545375.95,36064130.85,114599396.17,89989707.12,61531191.42,35547377.29,119458322.34,90080806.88,62549339.41,31295516.40,121127747.37,92737328.25,64761204.65,38509236.69,156909651.96,122168957.72,95201367.46,53168106.22,206500343.00,146563821.65,102322263.27,45456260.41,178498936.55,121643956.42,79636163.01,40673805.13,119123316.34,85079119.90,54502992.70,31450260.88,69289119.99,49262434.40,25922998.90,13524690.75,30014331.88,20963060.70,12930849.09,6492981.39,16563713.58,9285158.81,6374432.84,3310765.09,0.0
8,支付的各项税费,33656532.21,25096361.12,14227866.98,39056391.71,26109013.42,14039868.06,9846157.95,38495300.20,26617969.29,21976971.09,10588951.02,34441453.98,21803909.03,18448262.59,10830407.70,23109374.61,19639607.37,13659013.69,7290765.15,31580077.19,28479928.34,25731991.59,9555502.45,48415381.74,40204377.97,32141278.63,17009767.59,57853063.39,47661557.52,35442324.07,14293175.25,55041631.37,40772668.53,32061611.46,15009607.51,19956127.99,19234129.02,12524142.82,4584329.96,14343015.33,9801111.09,6447048.31,2590416.74,6382579.37,4781739.01,922968.92,344854.03,0.0
9,支付的其他与经营活动有关的现金,117999276.11,87324103.40,29417345.34,216914146.41,163595674.39,93300671.02,28006608.40,238895922.63,252050975.79,162956884.41,107376585.64,255821445.28,223825997.58,170023662.64,62761170.03,246693817.30,232450614.95,166587058.11,63457145.15,401404669.97,298692306.33,177769533.47,67304679.86,551129806.66,382251380.76,230583633.26,41924070.77,584349050.53,330703027.34,153230076.66,37949213.55,411057344.49,288179006.74,223258391.60,1231514478.67,376868460.82,234943958.04,85122210.60,53460123.92,101633955.85,25585758.43,36484457.26,11446242.01,54253946.67,41822438.05,21328719.79,14156648.95,0.0
