,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2097440530.48,1429156546.62,902718956.81,392363379.14,1313868888.82,871054876.80,594066323.62,283270872.77,1446529886.40,1085163664.88,672578637.53,320592296.33,1712194551.15,1208317398.74,748922104.96,402781742.59,2193038849.01,1414633466.79,865142456.97,240813150.79,432176728.68,225021403.85,116574635.00,53533417.53,235276594.78,139621265.13,84797685.06,42980437.22,147149353.92,96735277.05,64276952.19,29333267.61,193015079.95,141227353.47,99743474.53,51743969.83,316434622.72,197752111.01,122244151.13,56093430.40,221851089.28,150665227.79,91909371.10,39388297.35,125591019.14,94454564.02,96510198.11,23719521.90,0.0
3,收到的税费返还,16065332.43,10826929.44,8404517.11,6719879.59,10220407.25,8721226.91,7341087.05,4726229.58,15040335.23,11249507.90,6963644.38,4238909.74,14227945.18,9285415.09,6565251.46,5596918.12,12267343.82,8263556.00,4403184.16,3618346.56,4044319.14,2526351.45,1725829.02,1210054.66,4048771.67,2434231.34,960672.77,511284.74,4156439.44,6837614.69,6307116.38,0,4188786.47,6090649.58,6090649.58,1684666.67,3889054.84,2260004.43,1134622.20,595538.44,3301268.70,1463896.27,809270.64,0,2644611.27,1592110.43,1456598.28,40650.71,0.0
4,收到的其他与经营活动有关的现金,181328087.86,119332972.40,81762137.99,60886727.94,131948825.36,76435806.18,49343685.37,32551139.63,69707174.97,75063318.82,65414258.83,45334068.67,62236643.28,101256704.94,44942724.17,26836476.43,60644672.08,22785490.56,17597340.77,8685816.43,30031657.32,21761787.98,13102360.55,4111036.13,34289477.91,21320167.79,12475483.74,5599719.46,32573989.24,34025900.43,15517129.45,4113883.81,27949991.56,25364597.35,20445010.32,17773775.34,7050502.70,7074428.28,4872668.72,3022061.27,4608232.38,2705131.36,1466096.12,618596.25,2068112.96,1059535.79,7414707.10,408378.66,0.0
5,经营活动现金流入小计,2294833950.77,1559316448.46,992885611.91,459969986.67,1456038121.43,956211909.89,650751096.04,320548241.98,1531277396.60,1171476491.60,744956540.74,370165274.74,1788659139.61,1318859518.77,800430080.59,435215137.14,2265950864.91,1445682513.35,887142981.90,253117313.78,466252705.14,249309543.28,131402824.57,58854508.32,273614844.36,163375664.26,98233841.57,49091441.42,183879782.60,137598792.17,86101198.02,33447151.42,225153857.98,172682600.40,126279134.43,71202411.84,327374180.26,207086543.72,128251442.05,59711030.11,229760590.36,154834255.42,94184737.86,40006893.60,130303743.37,97106210.24,105381503.49,24168551.27,0.0
6,购买商品、接受劳务支付的现金,122793381.77,104169126.66,73240539.47,32048628.36,111168760.77,91076671.24,63438560.73,28069148.19,126454503.97,103591075.50,70405131.68,40136140.54,148599823.13,86487110.89,59714465.79,25921393.70,116568652.89,59164015.91,32788852.05,14431586.61,35750963.87,23348477.83,13498192.47,5643630.01,30881807.74,22142946.25,13397956.73,4793589.68,31579821.02,22732054.52,16953836.43,5163328.82,30824185.43,23123874.04,15922418.69,5938897.09,31372462.56,13966738.10,8848913.10,4572965.70,12970716.69,8323063.27,6041346.85,2235956.75,19807347.08,16149680.92,6233103.42,1860319.64,0.0
7,支付给职工以及为职工支付的现金,707797071.58,521925850.18,365882852.14,207974199.63,580076471.97,440948826.53,301547354.82,172365238.83,490947550.99,372707664.06,251686120.73,139471217.40,424388514.01,326878343.15,221706144.68,121731830.91,321430303.69,236096380.04,142521692.04,75541812.47,154097976.67,112998533.65,76185061.05,41226501.04,111532689.17,80482473.43,57479026.49,29830712.42,100659464.33,78189318.16,49119156.19,27615008.30,90812125.12,70553299.84,50083314.04,32236853.76,72425484.71,52099467.39,37049340.47,23475934.84,48979674.27,40460172.37,23227835.65,11533322.81,28207549.38,22670679.43,19036207.07,4082269.01,0.0
8,支付的各项税费,182582808.72,139260465.07,104022643.64,30818242.76,173293660.40,132137443.02,109882770.32,35354580.94,259377020.28,227994699.08,201273578.87,32454159.97,283467464.40,281276483.66,249697998.79,55307103.97,143913611.28,96979387.51,53576277.29,16876837.83,24905681.65,14759871.03,8776544.53,4479150.59,14471475.14,10025624.39,7287781.78,2702899.40,8162783.53,9316251.83,6854217.66,4187228.46,24998593.86,23391738.14,18827867.79,8240145.63,28252465.63,21648240.36,15293130.79,4049657.74,14913054.45,10481487.18,6363241.07,2232259.18,14432003.22,11270529.57,12224009.11,1276776.04,0.0
9,支付的其他与经营活动有关的现金,62581388.26,79962129.65,41539514.79,44084561.74,63297352.41,42490737.74,31017636.72,17408888.78,75231759.00,74351489.43,51901052.44,24987120.26,83836495.40,89908467.32,57728491.70,49967616.56,69203183.86,97627955.86,64862603.35,33509251.71,46082203.69,44893188.36,27553444.91,19931496.03,34521575.61,27484467.98,14231018.48,12501711.77,35512488.67,28701087.12,22209766.34,13726920.80,50828482.47,35543512.06,24581042.07,13979226.56,34630543.02,36323103.38,19061502.76,6550124.58,32139018.80,21071182.52,12222200.37,4556554.69,20633565.63,15834179.33,8550433.60,6176882.64,0.0
10,经营活动现金流出小计,1075754650.33,845317571.56,584685550.04,314925632.49,927836245.55,706653678.53,505886322.59,253197856.74,952010834.24,778644928.07,575265883.72,237048638.17,940292296.94,784550405.02,588847100.96,252927945.14,651115751.72,489867739.32,293749424.73,140359488.62,260836825.88,196000070.87,126013242.96,71280777.67,191407547.66,140135512.05,92395783.48,49828913.27,175914557.55,138938711.63,95136976.62,50692486.38,197463386.88,152612424.08,109414642.59,60395123.04,166680955.92,124037549.23,80252887.12,38648682.86,109002464.21,80335905.34,47854623.94,20558093.43,83080465.31,65925069.25,46043753.20,13396247.33,0.0
11,经营活动产生的现金流量净额,1219079300.44,713998876.90,408200061.87,145044354.18,528201875.88,249558231.36,144864773.45,67350385.24,579266562.36,392831563.53,169690657.02,133116636.57,848366842.67,534309113.75,211582979.63,182287192.00,1614835113.19,955814774.03,593393557.17,112757825.16,205415879.26,53309472.41,5389581.61,-12426269.35,82207296.70,23240152.21,5838058.09,-737471.85,7965225.05,-1339919.46,-9035778.60,-17245334.96,27690471.10,20070176.32,16864491.84,10807288.80,160693224.34,83048994.49,47998554.93,21062347.25,120758126.15,74498350.08,46330113.92,19448800.17,47223278.06,31181140.99,59337750.29,10772303.94,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,2704731.89,1323840.48,1323840.48,1323840.48,0,19988612.26,19988612.26,19988612.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429620.00,1193852.39,0.0
14,取得投资收益所收到的现金,11983529.98,2567541.77,1640051.36,1018101.36,9660508.21,8758958.54,7481768.14,6292161.29,42812125.87,41665600.66,38124092.07,10810205.48,180614328.17,136006434.08,93638425.33,25965188.00,225736387.40,175561111.68,74651142.71,27835743.71,12666881.67,5877300.00,810489.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531231.07,233255.55,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,0,0,0,48000.00,48000.00,48000.00,0,0,0,0,0,10000.00,0,0,0,34188.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65999.99,6685.41,20000.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,1350000.00,1350000.00,1350000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,1313520.00,299300000.00,196300000.00,115000000.00,57590440.52,1594493600.00,1022993600.00,872233600.00,42202354.00,309540000.00,173524000.00,97570000.00,3099446.00,49038000.00,2038000.00,690000.00,11102000.00,8362500.00,8362500.00,2212500.00,9590700.00,4993600.00,993600.00,993600.00,9385952.00,2218200.00,1602000.00,1026000.00,20008130.00,3010600.00,500000.00,500000.00,4332600.00,1950000.00,1950000.00,0,10233200.00,0,0,0,0,0,0,0,0,0,7455000.00,0,0.0
18,投资活动现金流入小计,13297049.98,301867541.77,197940051.36,116018101.36,71353680.62,1605974399.02,1033197208.62,879849601.77,85014479.87,371194212.92,231636704.33,128368817.74,183723774.17,185044434.08,95676425.33,26655188.00,236872575.43,183923611.68,83013642.71,30048243.71,22257581.67,10870900.00,1804089.00,993600.00,9385952.00,2218200.00,1602000.00,1026000.00,20008130.00,3010600.00,500000.00,500000.00,4332600.00,1950000.00,1950000.00,0,10233200.00,0,0,0,0,0,0,0,65999.99,6685.41,8435851.07,1427107.94,0.0
