,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,336772546.50,203033254.91,97172625.71,398597090.17,259057419.30,194828923.33,40685335.83,360324880.67,212756864.67,132532589.30,34821210.83,206798060.25,110374530.15,66792595.63,29995499.16,149499301.47,98735943.90,63462892.54,30373298.07,174619458.34,120417807.38,78944642.75,40572591.35,169508653.33,132418163.03,95522663.94,45338974.54,169460031.88,125722448.76,86842562.18,42436750.36,135273725.34,86861234.80,52895320.81,26383840.54,96339769.70,64845713.40,46818696.07,21019157.07,85784426.61,50033605.11,35984528.85,68909502.55,42859269.74,0.0
3,收到的税费返还,28594128.00,28545611.24,568793.86,6170981.96,9991673.30,4265107.00,3660741.83,7593096.80,5883782.36,5191972.02,1206078.66,30074015.19,5834319.18,5420567.44,4869085.24,13059155.44,10872163.56,10415401.18,4564550.16,6482005.61,6121613.22,3813841.40,806794.96,4901315.30,2545714.28,2241802.23,2241802.23,9595898.70,3846880.96,1559677.93,1559677.93,5004064.00,765457.81,765457.81,0,4010884.70,2619206.84,1593198.22,0,2829712.89,1726907.74,656286.85,1624055.76,0,0.0
4,收到的其他与经营活动有关的现金,27417412.02,19143636.66,13865822.23,26528626.16,14806533.60,7990210.78,6164719.97,22250486.29,24114925.88,6467097.57,4678274.82,52999846.93,12045479.63,15927147.07,4205598.05,17472890.87,13558997.98,11357455.28,7597883.59,20311546.16,22055149.44,16999803.72,5873337.52,13528951.84,12145354.27,7720488.15,4418024.90,30754331.05,16735118.23,11601434.15,11581450.44,22692765.25,17718399.66,12665186.56,3571243.26,13466695.71,4689021.92,3285217.16,1934214.77,14991996.29,10959574.14,10120975.13,6221988.67,1861731.30,0.0
5,经营活动现金流入小计,392784086.52,250722502.81,111607241.80,431296698.29,283855626.20,207084241.11,50510797.63,390168463.76,242755572.91,144191658.89,40705564.31,289871922.37,128254328.96,88140310.14,39070182.45,180031347.78,123167105.44,85235749.00,42535731.82,201413010.11,148594570.04,99758287.87,47252723.83,187938920.47,147109231.58,105484954.32,51998801.67,209810261.63,146304447.95,100003674.26,55577878.73,162970554.59,105345092.27,66325965.18,29955083.80,113817350.11,72153942.16,51697111.45,22953371.84,103606135.79,62720086.99,46761790.83,76755546.98,44721001.04,0.0
6,购买商品、接受劳务支付的现金,104075584.74,76446118.40,36162347.01,159778140.39,112926909.40,74368364.26,30593002.12,157375554.27,87082296.86,42238808.05,19740061.01,83021472.14,51808189.05,36588840.04,22260068.74,87081315.37,43831418.22,25740223.53,10080106.69,82041696.82,52387667.61,29029613.76,11479751.50,37422984.94,31284787.45,12998137.60,8221459.24,54171617.84,27539158.81,20074930.93,11407529.56,30503467.88,23188560.40,13946378.36,5382638.98,15604519.49,13349380.92,8243625.85,4247147.76,16023099.68,10336922.11,6655028.66,26447745.29,24502798.36,0.0
7,支付给职工以及为职工支付的现金,48779342.02,32875942.11,17404701.95,66279342.42,47466842.34,33563845.98,19898032.15,45994823.13,33268604.97,20786974.83,11017844.46,28830797.94,20448562.66,13656765.22,7059184.89,26625912.14,22166538.78,15833293.50,8910383.01,39174614.35,30903782.79,19544661.25,9760652.06,23511742.21,21989129.94,13101428.77,7511547.08,23082683.32,15896855.75,11168190.21,5760197.57,18970835.87,13963863.57,8473564.58,3904339.51,11346046.52,9288048.65,5743375.38,2741096.93,7732905.20,5878071.43,3189067.09,5676517.69,3995299.84,0.0
8,支付的各项税费,44457783.78,40290542.00,21764652.54,93162803.62,48900326.91,43080034.19,36103649.11,50581277.99,33077221.80,24064792.94,12442818.93,33055574.51,22244807.67,17145994.43,13308492.33,25459745.21,17005194.85,13592188.78,11353124.54,43144223.67,37811425.18,35716093.52,13531742.13,36166931.43,27460839.71,22359261.01,16052352.95,43477900.48,27370999.90,19721492.33,14208689.12,32855904.96,22442599.20,16509313.77,9926859.79,22542771.41,15249651.10,10253710.26,5865400.89,13943057.16,8889079.01,5481151.44,19653047.55,5377023.14,0.0
9,支付的其他与经营活动有关的现金,49839971.80,29081691.57,18679283.95,67259626.06,40324746.18,23162579.51,12035338.14,66365603.33,42008763.02,37101889.84,12898009.59,46655476.36,31151619.56,26900975.44,10380951.17,30791154.36,29183220.54,26930870.33,13667436.57,52528207.02,46598094.37,33186489.34,19235975.46,47806011.52,36814817.27,23334874.52,11201130.82,49349599.10,39059581.02,26930887.42,18076954.09,38578189.04,26646088.26,15636607.76,6088771.20,23535343.59,19607923.01,13099108.59,7228352.29,25367770.57,18947935.78,11024277.46,14719233.66,13764096.88,0.0
10,经营活动现金流出小计,247152682.34,178694294.08,94010985.45,386479912.49,249618824.83,174174823.94,98630021.52,320317258.72,195436886.65,124192465.66,56098733.99,191563320.95,125653178.94,94292575.13,53008697.13,169958127.08,112186372.39,82096576.14,44011050.81,216888741.86,167700969.95,117476857.87,54008121.15,144907670.10,117549574.37,71793701.90,42986490.09,170081800.74,109866595.48,77895500.89,49453370.34,120908397.75,86241111.43,54565864.47,25302609.48,73028681.01,57495003.68,37339820.08,20081997.87,63066832.61,44052008.33,26349524.65,66496544.19,47639218.22,0.0
