,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1850102596.78,1235163960.52,488254429.74,3049154490.41,1563164977.83,925712610.18,415814529.96,2864362332.03,1745570432.88,926570324.48,423556997.11,1878033333.40,1346322439.27,909579216.44,340170300.24,1637634247.14,1140526998.97,693416092.77,328364478.87,1263546176.16,772582530.38,481076402.01,259111718.09,842283637.78,723499207.40,347138182.14,192052030.54,867071060.60,592994900.35,365137074.81,154344213.09,780041878.16,779266174.14,434730798.15,270659151.60,1161819752.73,774229498.32,537516521.89,269259619.40,1462523315.27,1273737313.02,707061610.70,0.0
3,收到的税费返还,34175947.12,27417358.70,12599959.66,83742320.10,67999399.94,39044331.21,14061602.21,54732367.61,41969367.96,20753147.33,6862482.63,40383426.84,32644825.61,20048127.57,8423189.74,34311430.25,26908599.19,9688734.14,5897942.15,8269975.04,7087645.02,4358992.75,1680192.53,3968303.31,2564285.03,1470427.52,384427.73,2688715.01,2410816.53,974601.61,193619.25,4409552.02,4409552.02,4409552.02,2761523.67,4258914.25,2908699.07,2908699.09,0,8732540.89,3150554.30,4130998.34,0.0
4,收到的其他与经营活动有关的现金,20369966.84,17111665.66,6670471.58,33326285.02,18237090.24,12213452.76,7241888.87,22238038.53,15482776.89,11940316.64,6827714.47,26771332.96,12477149.78,11170331.35,7877373.43,25174131.06,12520785.87,8816124.59,11978983.27,19530051.35,14127167.49,9027132.15,48984349.21,121559749.51,107973609.54,98267598.91,28020801.33,104221352.10,85359127.68,47602356.37,41810328.87,99191082.77,56657298.60,41674588.51,17957900.58,7223956.00,7191688.37,2186855.71,2155860.00,108100392.47,62349656.64,2387572.10,0.0
5,经营活动现金流入小计,1904648510.74,1279692984.88,507524860.98,3166223095.53,1649401468.01,976970394.15,437118021.04,2941332738.17,1803022577.73,959263788.45,437247194.21,1945188093.20,1391444414.66,940797675.36,356470863.41,1697119808.45,1179956384.03,711920951.50,346241404.29,1291346202.55,793797342.89,494462526.91,309776259.83,967811690.60,834037101.97,446876208.57,220457259.60,973981127.71,680764844.56,413714032.79,196348161.21,883642512.95,840333024.76,480814938.68,291378575.85,1173302622.98,784329885.76,542612076.69,271415479.40,1579356248.63,1339237523.96,713580181.14,0.0
6,购买商品、接受劳务支付的现金,1202457924.09,795354155.49,320896655.95,2245650090.07,947539306.68,468278338.33,256332257.61,2281939354.13,1300181952.13,652751397.30,280757514.54,1193349748.00,879972481.89,604029540.04,182306606.82,1102636584.51,870028572.51,553785242.63,309884769.15,896435479.27,742619301.47,439676020.08,251146058.04,645601408.41,631808169.24,367842550.81,280210222.90,567767317.75,440555783.03,278224772.85,128449276.40,800570250.29,806004478.70,486401934.27,298912662.33,860188090.13,557318530.95,387355920.21,194157782.83,1136043731.68,1040068282.75,524975335.83,0.0
7,支付给职工以及为职工支付的现金,257239637.49,159701009.53,72424156.06,359757226.34,256052527.39,155240304.27,91973693.33,302289093.15,233511207.73,98404218.18,49485969.99,290579436.87,198730223.38,118549765.69,50164084.18,244094622.62,177773372.29,101397494.64,46556580.43,208080684.75,156406714.65,87078080.16,37555451.89,172789779.25,120208107.36,74604695.28,38319589.49,142399250.59,104747570.85,67393115.41,38876806.62,85773713.47,66731919.65,42274210.21,19319635.67,57918080.63,43103648.18,30385160.66,9498820.34,41564634.80,46238274.79,22341101.68,0.0
8,支付的各项税费,177915973.33,126684040.76,61113159.59,184853996.15,148280127.57,100088635.56,54673384.76,149991530.39,116092413.26,97085264.95,45700967.68,129238480.58,95341905.43,59763676.48,25774501.93,79781906.21,58260580.24,37365095.53,18060770.85,69472200.82,48532539.23,32037878.41,15164411.61,101704044.98,72629352.50,57704606.91,20619994.40,103494981.18,90997841.19,66245600.59,30989801.51,153616122.20,139457747.66,96517694.50,51408388.93,146803192.71,119891752.55,82146333.00,30546305.76,118698961.99,89553850.90,46113108.82,0.0
9,支付的其他与经营活动有关的现金,81017047.90,51345483.65,10647049.12,137419165.84,77661065.51,50331662.23,13884012.66,119776580.02,62475033.25,48992610.34,16920768.54,125877169.18,48855715.67,47795736.28,18530039.22,103298116.33,43937067.66,38431446.15,20262744.81,70935918.59,50285038.83,32316109.52,48431951.29,136073339.81,109047832.76,35973060.06,16744251.01,85153848.03,41149459.35,22871456.05,12418421.27,57132817.09,38804401.33,16652439.89,8556180.82,37089064.88,25044130.32,16787051.91,5883330.55,21997415.91,9477931.92,7925738.73,0.0
10,经营活动现金流出小计,1718630582.81,1133084689.43,465081020.72,2927680478.40,1429533027.15,773938940.39,416863348.36,2853996557.69,1712260606.37,897233490.77,392865220.75,1739044834.63,1222900326.37,830138718.49,276775232.15,1529811229.67,1149999592.70,730979278.95,394764865.24,1244924283.43,997843594.18,591108088.17,352297872.83,1056168572.45,933693461.86,536124913.06,355894057.80,898815397.55,677450654.42,434734944.90,210734305.80,1097092903.05,1050998547.34,641846278.87,378196867.75,1101998428.35,745358062.00,516674465.78,240086239.48,1318304744.38,1185338340.36,601355285.06,0.0
11,经营活动产生的现金流量净额,186017927.93,146608295.45,42443840.26,238542617.13,219868440.86,203031453.76,20254672.68,87336180.48,90761971.36,62030297.68,44381973.46,206143258.57,168544088.29,110658956.87,79695631.26,167308578.78,29956791.33,-19058327.45,-48523460.95,46421919.12,-204046251.29,-96645561.26,-42521613.00,-88356881.85,-99656359.89,-89248704.49,-135436798.20,75165730.16,3314190.14,-21020912.11,-14386144.59,-213450390.10,-210665522.58,-161031340.19,-86818291.90,71304194.63,38971823.76,25937610.91,31329239.92,261051504.25,153899183.60,112224896.08,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,80000000.00,80000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,462240.00,573485.76,0,0,0,0,0,0,1500000.00,1500000.00,1500000.00,1500000.00,0,0,0,0,0,3772977.45,2500000.00,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,2225011.32,2343200.00,2343200.00,0,2500000.00,2500000.00,2500000.00,0,0,0,0,0,0,0,0,0,148224.96,36979.20,36979.20,36979.20,0,0,0,0,0,0,0,0,28240.00,28240.00,28240.00,28240.00,24240.00,20240.00,19200.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2027722.00,2027722.00,2025000.00,16404802.86,282905.00,0,0,55336.74,0,0,84000.00,578000.00,0,0,0,0,441942.55,0,0,594162.33,279670.00,179670.00,0,897500.00,897500.00,6000.00,6000.00,96130.30,288930.30,276000.00,60000.00,386942.70,370000.00,206000.00,0,223240.00,270000.00,0,0,0,1149000.00,123400.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782249.73,0,0,0,0,-28466309.11,-28466309.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,6830000.00,834089166.67,844089166.67,563144166.67,212415000.00,1153894947.50,1029212364.85,242451054.34,170125354.34,40248888.89,69349318.89,40248888.89,10682222.23,123516453.05,0,0,0,450283370.28,443364840.02,257513334.29,184496174.99,1321724659.93,1061473833.54,418821831.89,268146139.12,1205546239.98,926500000.00,0,0,9903506.31,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,2027722.00,2027722.00,8855000.00,850493969.53,844372071.67,563144166.67,212415000.00,1156175295.56,1111555564.85,324794254.34,170209354.34,43326888.89,71849318.89,42748888.89,10682222.23,124298702.78,441942.55,0.00,0.00,450877532.61,415178200.91,229226695.18,184496174.99,1323232624.89,1062981798.50,418864811.09,268189118.32,1205642370.28,926788930.30,276000.00,60000.00,11790449.01,1870000.00,1706000.00,1500000.00,251480.00,298240.00,28240.00,28240.00,24240.00,4942217.45,2642600.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,273087937.86,209704093.97,48187328.46,560625968.84,413149961.80,353502408.85,109860989.58,719615217.31,261816909.76,160228668.13,63614695.56,315640090.73,71631404.81,51693758.88,32018496.37,231339773.90,199901907.31,176203540.29,70316860.14,154821145.39,107235788.60,52238670.76,39738163.40,599650667.29,426421947.71,329909719.19,160568660.00,370237851.17,217003120.91,177519893.94,101978054.28,815461193.34,425350805.94,206914552.44,96264157.69,448055532.55,362377214.47,192614203.23,111507391.03,399927814.27,330433081.19,189978946.33,0.0
20,投资所支付的现金,12900000.00,0,2532674.00,4660000.00,50840246.34,290000.00,0,0,40000000.00,40000000.00,0,2500000.00,2500000.00,2500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5648800.00,0.0
21,取得子公司及其他营业单位支付的现金净额,4868279.27,4868279.27,-131720.73,0,0,0,0,0,0,0,0,0,0,0,0,25382015.39,25382015.39,12660108.81,0,0,0,0,0,275383759.58,267850246.61,0,0,74372903.95,69295606.05,69295606.05,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,280000000.00,280000000.00,280000000.00,0,660000000.00,660195219.59,130000000.00,130000000.00,985000000.00,1113000000.00,28000000.00,0,108000000.00,0,0,0,71000000.00,71000000.00,71000000.00,71000000.00,705300000.00,571800000.00,111800000.00,27000000.00,1113152277.06,605000000.00,100000000.00,100000000.00,1008500000.00,0,0,0,0,0,0,0,13619783.23,4406330.11,0,0.0
23,投资活动现金流出小计,290856217.13,214572373.24,50588281.73,845285968.84,743990208.14,633792408.85,109860989.58,1379615217.31,962012129.35,330228668.13,193614695.56,1303140090.73,1187131404.81,82193758.88,32018496.37,364721789.29,225283922.70,188863649.10,70316860.14,225821145.39,178235788.60,123238670.76,110738163.40,1580334426.87,1266072194.32,441709719.19,187568660.00,1557763032.18,891298726.96,346815499.99,201978054.28,1823961193.34,425350805.94,206914552.44,96264157.69,448055532.55,362377214.47,192614203.23,111507391.03,413547597.50,334839411.30,195627746.33,0.0
24,投资活动产生的现金流量净额,-288828495.13,-212544651.24,-41733281.73,5208000.69,100381863.53,-70648242.18,102554010.42,-223439921.75,149543435.50,-5434413.79,-23405341.22,-1259813201.84,-1115282085.92,-39444869.99,-21336274.14,-240423086.51,-224841980.15,-188863649.10,-70316860.14,225056387.22,236942412.31,105988024.42,73758011.59,-257101801.98,-203090395.82,-22844908.10,80620458.32,-352120661.90,35490203.34,-346539499.99,-201918054.28,-1812170744.33,-423480805.94,-205208552.44,-94764157.69,-447804052.55,-362078974.47,-192585963.23,-111479151.03,-413523357.50,-329897193.85,-192985146.33,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,16128000.00,16128000.00,0,0,1368225015.38,1368225015.38,1368225015.38,0,1948080.00,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,35000000.00,35000000.00,35000000.00,0,2193500000.00,2157000000.00,2157000000.00,2157000000.00,0,0,0,0,257484500.00,206859500.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,16128000.00,16128000.00,0,0,0,0,0,0,1948080.00,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,35000000.00,35000000.00,35000000.00,0,36500000.00,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,2532220000.00,1962020000.00,802606250.00,3106588476.03,1890906975.61,1359295895.39,779307367.83,2845950000.00,1810200000.00,1341200000.00,833100000.00,2044043774.49,2022960110.00,1080374570.89,734555804.45,2777654970.52,2348024170.52,1382308930.00,871365222.00,2751703400.00,2170703400.00,1327803400.00,565009120.00,2266710220.00,1911121100.00,1430250000.00,719390000.00,2485160000.00,1797660000.00,1168700000.00,566500000.00,1684529519.41,1077136000.00,775500000.00,555500000.00,1324225599.40,988500000.00,610000000.00,340000000.00,714272905.59,746625550.94,394512800.00,0.0
29,发行债券收到的现金,0,0,0,598000000.00,99000000.00,99000000.00,0,0,0,0,0,0,0,0,0,475680000.00,475680000.00,475680000.00,475680000.00,0,0,0,0,448200000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,455120000.00,455120000.00,61220436.04,90000000.00,148750000.00,90000000.00,50000000.00,507625500.00,294000000.00,78280444.44,0,384980110.00,420490000.00,378180110.00,88966232.50,318210000.00,303299044.35,191003228.35,29496000.00,413638388.89,261638888.89,241638888.89,154638888.89,38661709.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171500000.00,503700000.00,396000000.00,0.0
31,筹资活动现金流入小计,2987340000.00,2417140000.00,863826686.04,3794588476.03,2138656975.61,1548295895.39,829307367.83,3369703500.00,2120328000.00,1419480444.44,833100000.00,3797248899.87,3811675125.38,2826779696.27,823522036.95,3573493050.52,3127003214.87,2048992158.35,1376541222.00,3165341788.89,2432342288.89,1569442288.89,719648008.89,2753571929.66,1911121100.00,1432250000.00,721390000.00,2520160000.00,1832660000.00,1203700000.00,566500000.00,3878029519.41,3234136000.00,2932500000.00,2712500000.00,1324225599.40,988500000.00,610000000.00,340000000.00,1143257405.59,1457185050.94,790512800.00,0.0
32,偿还债务支付的现金,2084460629.56,1596462702.28,849284443.99,3091358876.03,2179434982.44,1503028574.74,916110102.93,2546972951.76,1909886443.66,1502167156.29,863266782.68,2265346691.00,2307825180.75,1221274621.35,727259798.70,2766793205.07,2277902776.58,1272836051.96,612272992.65,2822266357.26,2090955347.95,1548227205.30,707862262.65,2254034670.59,1647653607.94,926572951.96,410161475.98,2179979251.96,1362531475.98,716200000.00,435170000.00,1344025599.40,844495599.40,672165599.40,367700000.00,851684236.19,605844236.19,315954236.19,172080834.19,642717975.19,602004876.25,491670660.78,0.0
33,分配股利、利润或偿付利息所支付的现金,208123895.88,119862946.51,25641836.95,354583120.24,284296268.89,124476055.09,68319688.92,281326126.44,249918822.10,91473636.24,65738807.50,297833445.68,253442550.30,109757406.15,72866162.74,221943386.94,217505153.03,150144161.95,38418383.66,196327090.40,116201921.97,91063392.20,31462538.65,244114872.23,209704389.03,150738981.59,27731138.00,271023606.79,243440374.97,180067234.11,28980309.37,89106773.97,63847908.62,40963925.29,18396202.84,87425636.16,70192168.28,49468952.40,12829295.01,75661846.72,91795916.26,47732554.48,0.0
34,其中：子公司支付给少数股东的股利、利润,16857600.00,1104000.00,1104000.00,24505600.00,24505600.00,24505600.00,0,0,0,0,0,14653534.43,16543712.43,16543712.43,0,2739262.40,1227120.00,1227120.00,0,4144464.44,3844464.44,0,0,1695680.00,1695680.00,1695680.00,1695680.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
