,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1494887364.41,880005569.97,379509723.02,2357715074.58,1610560890.14,1129635009.89,613064201.81,598534422.41,313195955.47,181327975.58,86137365.13,365956878.03,288237475.98,209433010.33,94925880.46,406488811.36,280882116.63,192811952.43,84012994.68,341468935.19,239875196.91,140270404.04,63060991.43,337472397.33,248718772.91,134908962.03,97820386.02,219226881.56,141260308.10,101352029.02,52134374.91,282555896.30,259200617.65,168219111.69,66936987.49,207342395.59,135394973.50,140857370.27,139900126.04,0.0
3,收到的税费返还,1351434.71,984749.40,977864.75,1999980.11,1629479.25,1367628.45,694604.43,1574745.35,713826.19,388239.69,298900.00,1401750.51,1668620.87,1278259.98,93333.44,1324168.18,813750.93,393750.45,218750.25,754507.56,465954.76,121590.17,121590.17,785123.32,363899.82,431806.82,210539.33,673211.68,496584.81,345544.08,160416.85,542500.62,272137.87,107916.79,52500.06,966757.93,552378.29,750958.18,542376.46,0.0
4,收到的其他与经营活动有关的现金,18394726.41,16436092.14,2947305.49,72327452.22,15735508.38,7098874.31,13312030.90,23034810.22,12059500.37,5633420.96,251435.99,10161023.35,9508513.74,12997046.36,701645.69,9037344.02,4956073.60,3325995.74,1183114.88,17972187.64,10238833.43,9939273.25,3099799.08,10034926.47,899393.25,15546494.64,1063324.98,22454878.91,9000446.95,3933186.29,2250542.10,6586672.26,4652725.04,4085273.12,2173299.59,8658012.82,4899456.37,2110863.68,7445971.87,0.0
5,经营活动现金流入小计,1514633525.53,897426411.51,383434893.26,2432042506.91,1627925877.77,1138101512.65,627070837.14,623143977.98,325969282.03,187349636.23,86687701.12,377519651.89,299414610.59,223708316.67,95720859.59,416850323.56,286651941.16,196531698.62,85414859.81,360195630.39,250579985.10,150331267.46,66282380.68,348292447.12,249982065.98,150887263.49,99094250.33,242354972.15,150757339.86,105630759.39,54545333.86,289685069.18,264125480.56,172412301.60,69162787.14,216967166.34,140846808.16,143719192.13,147888474.37,0.0
6,购买商品、接受劳务支付的现金,1118928385.30,754970062.69,404587012.11,1801391216.35,1311420175.23,850980478.70,451570470.16,431675477.09,225954034.81,127353109.34,50883991.13,225313176.82,194564774.60,133517313.14,68997470.82,308687624.04,223030654.59,149652703.25,75109014.82,241442990.17,178494845.17,103466326.73,61724387.46,307731255.40,236504040.20,139133075.35,104590266.55,200454316.04,133917591.28,92329998.37,44859788.58,179261696.75,181786042.42,92911799.14,64169080.32,153785705.02,95301799.06,112387052.00,119914757.20,0.0
7,支付给职工以及为职工支付的现金,154326219.64,108573423.45,53587526.58,197475167.84,150179875.94,104287339.35,49926237.89,79440004.48,46248513.63,31090443.01,17228253.45,58276185.40,44929213.61,32632829.51,19951521.64,49889644.54,38559816.28,27424417.60,14192102.15,36288413.95,25752034.79,16939381.81,7277619.83,36327283.40,24364553.34,15411092.70,7506140.73,29929000.33,19551133.05,12751401.56,6731785.00,26349649.01,18555555.56,12845089.16,6396826.84,13936189.13,9305234.66,7689708.65,7177167.48,0.0
8,支付的各项税费,97636573.70,61387074.16,24615609.92,130558955.41,71779861.60,49778071.21,36159672.12,35291765.26,27155507.85,20889861.97,12461056.91,23753813.35,13953080.65,8243341.31,4859164.51,32646980.24,25450210.17,19618499.50,11293402.00,21075831.21,16082832.80,9463645.27,3359860.16,25916630.08,14042015.59,8568035.19,3565702.46,31788140.47,23535536.50,15283972.29,3072474.72,29326996.23,23495948.50,14963311.14,1976726.47,26838050.46,19455657.86,4127115.77,3150855.43,0.0
9,支付的其他与经营活动有关的现金,77495866.10,58899847.05,24050889.08,117239981.67,73907930.40,51101236.87,18911878.46,42813061.13,23516579.43,12950115.43,9141217.60,34887741.34,23622896.57,16130909.10,5831112.65,29545796.27,22612422.68,16187834.42,8195291.99,25533284.29,17792155.01,12593578.96,7543411.69,27551313.64,8091483.35,10795138.46,165712.49,21773946.22,17568212.70,10669664.62,4256072.77,17696224.36,14879842.50,9288548.76,6638114.77,12815903.26,5784257.88,14675550.22,11787066.37,0.0
10,经营活动现金流出小计,1448387044.74,983830407.35,506841037.69,2246665321.27,1607287843.17,1056147126.13,556568258.63,589220307.96,322874635.72,192283529.75,89714519.09,342230916.91,277069965.43,190524393.06,99639269.62,420770045.09,309653103.72,212883454.77,108789810.96,324340519.62,238121867.77,142462932.77,79905279.14,397526482.52,283002092.48,173907341.70,115827822.23,283945403.06,194572473.53,131035036.84,58920121.07,252634566.35,238717388.98,130008748.20,79180748.40,207375847.87,129846949.46,138879426.64,142029846.48,0.0
11,经营活动产生的现金流量净额,66246480.79,-86403995.84,-123406144.43,185377185.64,20638034.60,81954386.52,70502578.51,33923670.02,3094646.31,-4933893.52,-3026817.97,35288734.98,22344645.16,33183923.61,-3918410.03,-3919721.53,-23001162.56,-16351756.15,-23374951.15,35855110.77,12458117.33,7868334.69,-13622898.46,-49234035.40,-33020026.50,-23020078.21,-16733571.90,-41590430.91,-43815133.67,-25404277.45,-4374787.21,37050502.83,25408091.58,42403553.40,-10017961.26,9591318.47,10999858.70,4839765.49,5858627.89,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,166300000.00,148800000.00,94600000.00,739800000.00,287200000.00,201600000.00,58600000.00,105900000.00,61900000.00,53900000.00,28400000.00,165140000.00,118090000.00,64000000.00,40000000.00,116500000.00,93000000.00,50000000.00,19000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
