,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,991924291.93,746418462.38,460581388.05,1190026050.15,1044636646.18,728567610.18,442015333.90,1668551573.46,1181811418.22,822469967.82,380556238.19,823557207.98,654658409.10,433009412.27,185409299.64,716445161.19,512100572.10,355595731.14,167222632.60,735320969.53,617545453.22,458621232.29,195474718.85,2135758504.47,1934728068.65,1321908579.57,513763705.82,2351765060.59,1874179430.72,1472576343.18,749150694.91,3259075999.62,2878408151.38,2052547427.89,993130111.23,3121412803.86,1140550670.85,397126726.64,0.0
3,收到的税费返还,11607078.64,9602314.94,7229209.34,28150325.06,16485235.06,12174181.56,6772506.92,11449125.28,14139767.08,9404014.54,4284698.02,13235530.14,13512353.47,12866870.43,3977176.78,28650544.45,23492608.58,7867897.56,1865537.83,47373831.58,49744456.66,42919193.14,14611168.96,9277324.40,12111116.60,3788884.01,0,10955469.68,11120291.79,9349108.90,707672.56,9355029.02,1771021.07,272162.88,0,1851217.03,370069.22,2659691.76,0.0
4,收到的其他与经营活动有关的现金,27492476.63,19083502.57,16149098.51,53649552.97,21802915.44,17220046.26,15421675.74,19186420.14,14999041.72,4020049.13,16358571.23,34543852.05,29842182.98,18261726.37,17575664.72,23975251.81,25738455.27,17674153.21,2478974.45,54833728.25,78380910.24,48995829.47,49299391.56,26348870.32,58990283.84,11504228.06,22729557.94,259296498.79,624652762.04,363810899.43,89957388.29,78252581.21,97977915.53,24053530.38,30500719.15,16203254.69,8680067.07,4044671.43,0.0
5,经营活动现金流入小计,1031023847.20,775104279.89,483959695.90,1271825928.18,1082924796.68,757961838.00,464209516.56,1699187118.88,1210950227.02,835894031.49,401199507.44,871336590.17,698012945.55,464138009.07,206962141.14,769070957.45,561331635.95,381137781.91,171567144.88,837528529.36,745670820.12,550536254.90,259385279.37,2171384699.19,2005829469.09,1337201691.64,536493263.76,2622017029.06,2509952484.55,1845736351.51,839815755.76,3346683609.85,2978157087.99,2076873121.15,1023630830.38,3139467275.58,1149600807.14,403831089.83,0.0
6,购买商品、接受劳务支付的现金,597981731.64,427778545.78,276859383.47,719836355.87,597181253.70,392929833.21,297263598.38,1111732768.80,754927001.75,432131503.61,183349236.26,462095988.05,385741782.87,226033654.02,116606087.09,434104392.65,312383141.57,224905217.13,101388253.00,576624525.75,618825184.95,487165498.13,247092783.99,1283658857.13,1070971979.17,610235254.87,220475690.67,1372126979.28,1185717878.54,840450194.08,231081008.32,2144994568.42,1887145740.17,1318755634.09,573926795.27,2162893360.86,689470624.82,188086061.25,0.0
7,支付给职工以及为职工支付的现金,201766572.38,142360086.20,82310055.20,260938552.44,194670757.75,132801027.91,71532704.38,208899457.18,151275694.20,101445443.80,54907342.11,148295773.13,105633810.67,73835601.66,28251412.27,110717695.11,80627097.07,54381421.33,27151203.28,155331743.95,119139007.88,86074390.65,44263204.17,175309642.31,133879368.67,92273407.60,46727427.55,254770637.54,208664668.10,156227606.11,100724370.26,247999997.37,209624423.88,147186769.00,72539086.27,143730411.09,45345018.63,23119720.66,0.0
8,支付的各项税费,56607076.45,51417619.48,20332004.56,82530729.24,77717650.94,63649899.88,35861956.29,49127721.26,42797715.76,32050882.57,8377870.74,48364886.18,42462936.75,15398036.45,12074502.56,57535819.78,43422572.42,27942419.44,10930669.77,105065880.08,93929915.70,67134492.80,28905891.47,200692433.96,182412126.56,70519336.46,25235098.83,212431589.85,196281503.18,123044815.49,24358428.95,414578491.68,356095422.44,181671786.09,55642279.72,263939827.70,73307311.27,24337987.43,0.0
