,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,33671292666.21,24691683923.18,15549713799.25,7343174598.53,34407654509.23,25176328743.25,14928726649.84,7288315249.83,36116105306.93,27903381360.64,15367323137.76,7596042533.18,28142651801.32,20743360842.92,13361942182.00,6503939342.64,28729800870.12,22172517345.68,14362922997.16,7089238579.84,28636548113.50,21345231950.21,13525195498.36,6203191602.25,28279370860.66,20931979671.99,13546843464.89,5856150681.20,27199469075.37,20369129876.90,13312188371.48,5498855160.22,20527807108.10,15629190817.07,9586437385.40,4654131322.78,19255678887.15,14074094320.91,9034993376.04,4812591464.20,16721647165.75,11838376930.56,7657554829.75,4233656770.98,19303497101.50,13814872227.46,8706576421.67,4995760030.44,16889018723.75,11703566116.23,7145320085.22,3433604226.42,12075953194.19,8744457649.64,2577069439.04,4958866168.96,4972159089.35,0.0
3,收到的税费返还,49108347.31,37614746.78,26426320.58,13813831.50,53997654.42,44127385.90,20644581.25,9676663.10,38068422.31,28731084.81,19645501.12,11916742.57,129841536.68,99047588.97,90313072.85,25550404.29,569354467.03,406336527.81,284950148.48,120056513.22,553321799.97,438753555.13,238554846.72,148746337.41,443233083.98,345860414.08,238796387.78,30716414.73,438314387.45,271835573.11,137749060.41,34395299.79,143253.52,737407.42,0,0,25510940.38,26813232.70,18917632.99,0,0,69904390.12,69745390.12,0,0,24165785.28,20655567.05,4626491.00,27942347.36,24362711.49,19537945.11,5709582.00,50229975.12,25817910.78,3838347.38,19166940.79,42115628.58,0.0
4,收到的其他与经营活动有关的现金,3376311271.19,2806700001.68,1577337476.62,657747071.01,4027803548.12,2690072392.97,1521551959.75,930523624.32,3987797726.15,2851091119.63,1996079195.56,973986644.96,3113584291.68,2134964550.60,1477082189.87,374523220.83,3534618267.96,2443249343.96,1539253363.87,558780313.08,5288873102.55,3290630157.38,2860280311.52,1076241630.85,5901661641.96,4885114212.16,3315818888.84,795528918.27,4439053034.86,4539262874.75,2970175585.30,1195796139.76,3976595956.14,3252499253.00,2201263686.12,987893037.64,4184732433.99,3261594221.10,1656705736.12,1334444810.13,2657296042.18,1608161205.12,1040322446.95,941468607.76,3699949906.04,6420222110.91,2544830713.30,2483799929.21,2863324677.42,3467771322.43,778820765.75,3035669786.01,8028943333.37,5850652738.50,1208371239.51,4621160876.11,2443072870.56,0.0
5,经营活动现金流入小计,37096712284.71,27535998671.64,17153477596.45,8014735501.04,38489455711.77,27910528522.12,16470923190.84,8228515537.25,40141971455.39,30783203565.08,17383047834.44,8581945920.71,31386077629.68,22977372982.49,14929337444.72,6904012967.76,32833773605.11,25022103217.45,16187126509.51,7768075406.14,34478743016.02,25074615662.72,16624030656.60,7428179570.51,34624265586.60,26162954298.23,17101458741.51,6682396014.20,32076836497.68,25180228324.76,16420113017.19,6729046599.77,24504546317.76,18882427477.49,11787701071.52,5642024360.42,23465922261.52,17362501774.71,10710616745.15,6147036274.33,19378943207.93,13516442525.80,8767622666.82,5175125378.74,23003447007.54,20259260123.65,11272062702.02,7484186450.65,19780285748.53,15195700150.15,7943678796.08,6474983594.43,20155126502.68,14620928298.92,3789279025.93,9599193985.86,7457347588.49,0.0
6,购买商品、接受劳务支付的现金,16983118354.00,12052345044.94,7763167988.36,4046586166.35,18708590544.41,12832184965.99,7637665954.17,3544056292.76,16899700504.01,12234304733.97,7332653531.42,3758669081.64,15983420136.76,10093573260.39,5899181726.59,2885582091.66,11671558923.80,9621251851.47,5958826642.16,3226394543.60,12307805123.05,9992022899.18,6252153603.95,2755813909.05,13796136046.32,9920680118.92,6583011585.14,2826409397.97,14645840486.66,10889778616.36,6938554336.49,2267792707.06,7128632417.51,5750565762.17,3402490507.07,1737383184.40,6579570251.07,5794172562.06,3449208881.85,2101119090.83,6535154932.60,3540538237.94,2371678764.01,1666744412.46,6637548287.58,4765160536.01,2822295038.81,2426134414.16,6015867652.50,4347570910.24,2375553645.71,1235516233.30,3879073334.72,2667347898.74,862659576.69,1890317385.92,2169514825.60,0.0
7,支付给职工以及为职工支付的现金,6701001882.88,4701000556.44,3310783945.08,1531889999.84,7151759671.10,4893616531.86,3447326051.56,1640561580.93,6609547018.41,4772122663.70,3250481092.02,1682961290.87,6034639845.56,3977734972.04,2596359284.54,1324032848.52,5800646654.62,3879153887.50,2563772909.98,1121922211.18,5082818167.51,2612185602.30,1725998530.94,841970756.62,3916887085.63,2676507460.27,1702573326.46,840910322.61,3794133477.94,2489102409.96,1601404981.11,847028183.15,3601933408.45,2333492741.36,1510230490.80,809693436.92,3461097624.02,2247277625.57,1459546637.06,759658296.74,3276569941.74,2217526351.89,1408779383.82,715722163.34,2994592930.25,1957233854.90,1242943141.24,613327276.02,2671011847.23,1845287762.69,1216932654.50,617388682.59,2731389010.22,1773981561.39,504156114.08,581007570.74,402888720.53,0.0
8,支付的各项税费,4524862462.16,4202189499.36,3403006064.92,2338751302.27,3452418649.69,3215043161.11,2062037719.76,917434129.34,3679182026.36,3267634650.31,2021813007.07,1298283610.89,2794214482.28,2627165660.69,1931838564.96,1043349039.28,3287549374.03,2920998864.09,2184681035.56,985132174.53,2435080042.13,2186700988.28,1441568223.41,662575755.69,3010966969.23,2376242597.74,1672408180.73,928942281.58,2509022842.88,1974533655.55,1282867919.05,598253574.41,1992859102.54,1615943905.90,1092428110.85,601511166.81,1595403028.14,1299442442.60,798439057.19,245411833.77,1335674374.82,1051872932.92,742694308.14,321304956.06,1889536475.28,1428566224.78,828510345.14,360484286.35,1339276149.29,1037867404.07,698286221.03,311440388.54,1256198494.06,962489010.84,335725029.37,545281924.84,482616063.36,0.0
