,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,8654287498.41,5740931974.70,2887322741.88,11723802944.43,8553459000.95,5038046359.48,3311849585.40,6713529386.84,3262251834.67,1864400092.23,611109775.38,3619278074.92,2470471552.81,1653076573.12,772064089.36,3749548646.48,3136039018.61,2454644708.63,1461709847.35,4569803687.38,3384704505.74,1949288267.05,830922683.39,3199844441.48,2871787382.39,1940455421.04,886685330.55,3346821713.98,2384441361.12,1916776782.69,620376796.51,4189178815.31,2875409925.79,1770053194.32,555843109.81,3555918895.19,2688320918.22,1769163914.71,643860378.71,3507000382.47,2431947877.06,1633820960.74,546698820.38,2208913447.57,1410952069.34,784739005.84,280061163.84,1870012966.77,1287400666.52,604562458.77,198555920.85,1903342897.67,1535617508.58,906862977.82,381074818.51,2202147626.01,1690668220.64,1178448303.74,422760913.95,2246132762.03,1828432168.69,1187499205.57,0,2919926948.15,2071567025.86,1357470527.61,0,2593684626.48,1365743064.00,2056820932.00,1092301801.00,743472324.00,71780780.00,236363585.00,0.0
3,收到的税费返还,7780225.48,7607017.76,2781679.45,12959238.99,12814742.86,12245779.25,9284.86,10873418.44,0,0,44298.51,26418356.11,12680637.92,1413764.11,724538.00,41519090.89,41125089.42,45170.41,16747.94,118527.23,823975.78,798339.99,30398.03,147689.80,524837.23,490256.11,443056.41,0,772323.77,717992.93,6241.19,2378509.68,2382160.71,1092051.56,0,119000.00,0,0,10458200.00,1163000.00,11020000.00,10020000.00,10020000.00,1690817.62,123464.58,80000.00,80000.00,8622850.61,8622850.61,8622850.61,8622850.61,5001897.66,5001897.66,5001897.66,3000000.00,0,0,0,0,758794.77,758794.77,758794.77,0,0,0,0,0,0,0,2057843.00,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,255797821.34,114454898.75,46585634.77,448122160.61,189522597.97,156710728.06,89849756.67,245334476.30,183841262.89,70188923.96,48091702.92,389558820.22,382941832.26,207509376.42,175552191.73,571301381.34,519942869.17,364039167.39,73062795.86,469909277.81,490067813.33,341934163.42,231412894.90,656669346.26,292689832.31,175262368.39,82931910.55,1349364011.35,1612318595.34,368840848.83,143593674.67,396305573.23,176621199.82,149768544.94,217699947.68,508643795.40,383032319.09,72341543.78,72055038.37,186338749.02,143353379.92,78186995.05,64817649.51,102316415.04,123097649.05,40474031.40,230333687.66,60241693.83,36018106.75,44944722.65,7761380.93,79056506.40,29378848.69,70371880.80,57889268.01,155535865.56,178132758.31,95686604.68,32708736.84,18204606.34,36034661.52,24107144.36,0,16325645.81,134400244.44,87822206.15,0,18627603.76,39285262.00,263525890.00,25282452.00,232190.00,2196156.00,123401568.00,0.0
5,经营活动现金流入小计,8917865545.23,5862993891.21,2936690056.10,12184884344.03,8755796341.78,5207002866.79,3401708626.93,6969737281.58,3446093097.56,1934589016.19,659245776.81,4035255251.25,2866094022.99,1861999713.65,948340819.09,4362369118.71,3697106977.20,2818729046.43,1534789391.15,5039831492.42,3875596294.85,2292020770.46,1062365976.32,3856661477.54,3165002051.93,2116208045.54,970060297.51,4696185725.33,3997532280.23,2286335624.45,763976712.37,4587862898.22,3054413286.32,1920913790.82,773543057.49,4064681690.59,3071353237.31,1841505458.49,726373617.08,3694502131.49,2586321256.98,1722027955.79,621536469.89,2312920680.23,1534173182.97,825293037.24,510474851.50,1938877511.21,1332041623.88,658130032.03,214940152.39,1987401301.73,1569998254.93,982236756.28,441964086.52,2357683491.57,1868800978.95,1274134908.42,455469650.79,2265096163.14,1865225624.98,1212365144.70,0,2936252593.96,2205967270.30,1445292733.76,0,2612312230.24,1405028326.00,2322404665.00,1117584253.00,743704514.00,73976936.00,359765153.00,0.0
6,购买商品、接受劳务支付的现金,3943934315.36,2702444668.96,1488873996.65,5291467522.19,3360875779.95,2078467673.36,1626184001.16,2806848481.51,771303262.64,696209530.44,258237488.27,1348670515.20,693120060.11,446158230.56,214860968.70,1780861426.18,1472869984.33,819929950.23,364998918.73,2568023239.84,1815677067.80,877203578.10,491117176.57,1794424900.62,1116071350.23,747911688.14,416601363.29,2044954324.93,1557873032.23,1145952106.24,381786293.60,2950690782.11,1997418118.53,1138950377.43,395577609.56,2336054272.78,1755097814.28,1114131168.41,454334075.11,2095824572.56,1390664491.54,653871358.10,230708515.98,1425838298.95,912072619.11,531880098.50,237487894.61,1134692555.42,819966680.34,464809265.21,160896444.23,1657365064.77,1416561434.10,775516614.95,297880652.72,1753563545.88,1312236885.17,864788623.05,332731179.17,1626321576.04,1535213474.71,933423016.73,0,2324777189.60,1565896445.18,980940905.92,0,2030194819.53,904111185.00,1890033106.00,859508528.00,736310618.00,50116958.00,141746360.00,0.0
7,支付给职工以及为职工支付的现金,484148579.58,338810014.51,194658255.91,554531401.57,391046463.26,262493100.42,145954791.85,462652415.32,331568561.69,219596966.81,117647103.65,460805227.28,329597811.19,226019512.34,119107622.57,555311714.68,412147749.30,288601170.06,179873993.90,493665788.49,372448670.20,238185889.26,125891444.85,421802284.86,305660032.10,212043632.55,120669154.81,337198250.35,256187174.93,176850356.04,98753697.84,217166860.78,158881063.84,106581193.02,66868745.30,100608153.90,90463053.76,65420044.04,38151039.74,80901346.59,49615066.83,31878023.77,18324301.35,51406621.71,38300861.39,24442205.18,13017072.88,47053884.94,36441735.56,24285642.33,14530675.88,51869369.57,38628065.84,24472976.74,12284340.50,64775435.97,49949816.55,0,15395983.28,66094615.71,46789733.83,29058923.40,0,59655930.85,41725925.42,22506752.03,0,50666170.04,22013325.00,39106458.00,0,18614343.00,5224170.00,8625769.00,0.0
8,支付的各项税费,1212842452.89,957153985.31,524820264.15,1787128095.50,1481050791.87,1134026760.42,587865888.76,814984708.96,532045397.05,296507946.13,137795847.96,430057250.51,326610750.79,238824405.85,125500232.18,764127484.90,679509311.01,510782287.73,296069597.21,717095598.48,517431776.91,299340629.21,128860345.13,809711985.33,649197830.64,420540588.66,149770877.87,566428434.39,531244958.89,316501017.32,140162560.60,534041317.92,392544028.17,218395924.92,82572816.27,479320697.23,362286549.46,276403313.96,119002661.58,410086412.89,293127175.81,175601393.29,39056062.26,302535337.86,247150900.28,123732167.36,72029891.21,134816050.56,94804980.29,52117984.38,17388249.60,86539742.89,64892014.48,45140996.67,12480745.45,96252032.76,78679340.52,57685816.84,23537790.73,96419884.52,74815068.52,56454559.17,0,68911590.72,45707695.12,25220225.06,0,79196127.95,67720247.00,52478533.00,34902010.00,21027063.00,1665489.00,11014586.00,0.0
