,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,8813177206.31,5931743480.36,3452237273.21,1845523282.42,7811175963.70,5324163854.29,3152857052.66,1647078914.39,6522070722.78,4597306553.21,2959774413.62,1346446838.46,5298109840.95,3972932680.87,2581438887.90,1202188610.90,4322564972.84,3263177830.31,2157581911.16,1002786907.74,4204532076.21,2948873830.20,1878710684.72,902963062.99,3532098847.44,2436184687.71,1540123447.58,676296769.66,2856305052.76,2042693199.93,1334464715.67,659601038.79,2538443856.79,1707770669.02,1180521461.94,637604685.82,2307633231.23,1551892532.29,1011636743.94,454198711.98,1822945786.79,1266933788.82,818667891.29,354625754.54,1465293540.87,1039883595.27,651800712.98,310238683.51,1164269463.51,778402235.58,489880371.04,210644385.36,974402810.04,657496503.33,412186843.28,188203697.15,815694665.46,541459245.20,337931950.73,149092044.68,612056661.09,414117346.35,260480663.65,121765685.62,442985149.37,295554544.55,188833145.48,78026925.94,337778080.61,132316833.10,272788984.15,104864035.14,213511753.97,89462215.63,178538478.24,0.0
3,收到的税费返还,58134833.00,56664369.01,43879042.56,22717766.80,91084105.86,66628412.09,41652655.95,23988354.04,72275755.87,125750709.63,51407839.56,46696706.96,64794370.90,58858683.24,39939492.39,17569714.56,46764141.15,51398876.15,35146574.11,15085179.64,81473899.32,71980114.57,48585099.08,29178187.74,118296639.34,100697911.17,54315486.77,40423265.41,86781033.19,84043674.18,38274929.15,37059658.22,70966904.25,51996688.55,49171256.00,10157012.18,70223056.76,51449808.25,50148908.25,878431.96,29768817.22,26924148.49,19016387.52,4666426.39,15567754.77,11772856.40,4309312.86,529734.23,0,7312647.10,2687014.45,0,12170209.32,5891647.80,3876647.80,0,0,26625.25,26625.25,0,0,0,0,0,0,0,0,0,1568200.34,2405216.17,15522196.21,4360000.00,9720000.00,0,11567288.95,0.0
4,收到的其他与经营活动有关的现金,95904821.51,120918720.25,92570146.41,17164096.44,74767008.35,85038745.85,51991109.59,19757642.73,46223749.44,59987629.42,45114567.87,17835246.43,27863938.63,48567679.69,38095790.59,12550718.64,32010681.56,50450923.64,28284026.73,6884555.97,67917791.84,30273467.66,17319306.23,2262080.38,29140092.11,21705159.20,8479861.87,3512442.41,90841978.86,75550573.87,38992401.83,9864474.09,87552927.15,81421067.60,31117374.30,2481180.55,51779887.24,22232366.62,9714202.24,4518990.16,34057614.06,23819940.10,17481131.56,6644395.49,10835347.11,9789174.18,4376389.24,2349366.81,10786598.48,7907947.52,1887373.33,803427.02,18334467.67,18678622.97,9951972.61,1259725.05,6427656.86,4043612.76,2533037.72,862458.25,3170344.41,2875810.66,2308063.09,1657491.96,3058990.54,2905850.67,1975390.82,175632.61,5201001.59,3935511.13,5290744.30,1259653.25,3720750.32,202004.00,356052.68,0.0
5,经营活动现金流入小计,8967216860.82,6109326569.62,3588686462.18,1885405145.66,7977027077.91,5475831012.23,3246500818.20,1690824911.16,6640570228.09,4783044892.26,3056296821.05,1410978791.85,5390768150.48,4080359043.80,2659474170.88,1232309044.10,4401339795.55,3365027630.10,2221012512.00,1024756643.35,4353923767.37,3051127412.43,1944615090.03,934403331.11,3679535578.89,2558587758.08,1602918796.22,720232477.48,3033928064.81,2202287447.98,1411732046.65,706525171.10,2696963688.19,1841188425.17,1260810092.24,650242878.55,2429636175.23,1625574707.16,1071499854.43,459596134.10,1886772218.07,1317677877.41,855165410.37,365936576.42,1491696642.75,1061445625.85,660486415.08,313117784.55,1175056061.99,793622830.20,494454758.82,211447812.38,1004907487.03,682066774.10,426015463.69,189463422.20,822122322.32,545529483.21,340491613.70,149954502.93,615227005.50,416993157.01,262788726.74,123423177.58,446044139.91,298460395.22,190808536.30,78202558.55,344547282.54,138657560.40,293601924.66,110483688.39,226952504.29,89664219.63,190461819.87,0.0
6,购买商品、接受劳务支付的现金,5513149707.03,3902225724.77,2348918240.07,1308848246.00,4884151718.77,3574395259.83,2168379011.62,1327789878.20,3876049010.29,2878131445.18,1911808603.79,965691487.34,3269178609.77,2569121137.85,1794103447.16,913328759.91,2711048436.66,2194691637.46,1583704078.94,826547256.94,2546207210.28,1773431680.09,1328279061.76,713329938.10,2274760988.77,1843250925.71,1219609052.99,625750918.10,1991111410.32,1689572580.16,1074213014.75,603422904.46,1923539315.63,1413179435.32,1003524339.34,584019136.20,1577350017.97,1102083117.00,741442966.91,345836429.38,1226499249.97,800977268.24,493489000.52,216537061.37,873582486.97,643791342.22,450447694.77,280805367.41,803671230.85,534905012.28,322426413.13,182907697.36,614115273.45,408979044.72,255716892.02,126590628.11,497855140.79,375803213.73,244652503.18,119400278.52,376393315.74,253220581.73,176167022.15,96062484.08,239283270.70,162185046.18,112741496.79,67259344.22,179324588.33,113391332.64,137837116.60,46844467.02,115355536.25,53620049.67,80007105.02,0.0
7,支付给职工以及为职工支付的现金,956959029.35,733013031.35,541535840.23,283536904.11,866685858.37,664322537.95,467167054.82,245564238.73,705015313.05,578900873.97,400852356.32,230576609.52,576841518.85,422093534.41,278713224.44,168165877.50,436263309.07,315561805.78,220373889.83,133588857.96,397874010.62,274409402.74,193711213.37,112248543.48,314926429.23,227782021.29,156853138.76,86345997.02,255324944.59,185889948.48,125313978.93,72443163.59,199170870.59,147534596.62,96086908.24,54901959.27,135783968.25,105703565.43,72027241.69,42858027.00,107898901.48,82500214.29,56279977.01,34996520.91,88449595.56,67309620.14,47047891.49,31776932.23,77273992.58,45668500.91,36416580.21,20747514.04,54936262.92,33405312.95,32521752.35,19747727.13,44835651.79,37399920.03,25098279.81,12736972.04,34105485.81,24683615.86,19207252.44,12417262.35,24435441.70,19596031.24,14220873.42,7303801.40,22309623.89,14300272.86,19907127.80,9239611.30,11871130.61,5589277.85,9773580.39,0.0
8,支付的各项税费,378009069.75,275975346.26,212629508.22,98114041.46,354529415.91,273787390.66,198895321.28,103413489.80,334675059.35,251774176.34,177084260.97,98719589.39,257280855.05,198886246.84,134600838.24,54790217.89,231018115.15,178455016.12,116912022.32,63017556.84,255793605.88,188000916.21,142114960.27,65403805.52,223041220.92,163134857.79,117316857.54,49097609.36,206995887.59,138300489.29,85805443.45,34303516.03,173226221.01,135686108.11,95308078.05,42643868.22,156385850.27,126512585.60,88792897.20,36225233.80,107643302.83,65858777.16,47349619.28,25734580.86,75575643.05,53488239.16,36337552.25,16197366.34,50814665.36,43893520.88,26893883.55,14265638.75,53156556.14,35962785.85,25018564.15,12014317.01,50539115.07,28480707.79,23079789.03,10391931.43,50741492.47,30180975.68,22404596.42,9352530.31,41831069.63,24178105.26,21380980.69,10090296.31,37530283.32,14433442.32,48970030.89,18713836.69,42765799.51,16783351.97,28200310.29,0.0
