,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2527665097.14,1798069298.49,1252640356.77,849246171.46,2001025091.60,1492621330.15,864579808.36,321066824.72,2215812549.90,1346219423.22,883287188.18,284646932.18,2098993422.85,761634067.46,455284060.49,289271213.68,2547031332.23,1484745962.03,730147955.00,222034151.43,2224276246.44,1141754415.69,925926967.26,408484152.92,1900143795.82,1005394848.00,837452094.38,278951868.97,1755631906.16,726031205.99,333682489.99,158169883.94,1460788361.96,740394743.29,623330538.58,267491853.93,1238757133.60,491025737.12,263670534.98,44218592.14,1331915641.11,896119582.15,606866507.68,218651049.34,1213130887.14,725286833.96,599291489.98,94844871.47,1611981548.70,723684936.05,447431365.79,259150622.10,1266898219.46,304052836.01,122350201.35,28627446.55,281728987.41,211608475.34,150117851.68,68738210.00,252119578.56,147693305.69,82271996.54,19508795.48,171516222.16,77781336.35,28017787.97,15868832.56,336649801.58,141031915.07,221358212.09,127338815.75,167806028.38,0.0
3,收到的税费返还,15382160.99,5137289.32,2017863.63,0,473430.49,401980.96,401980.96,0,0,0,0,0,25589.91,0,0,0,557214.96,42974.20,42974.20,0,0,0,0,0,0,0,0.00,0,0,43973.66,43973.66,43973.66,0,0,0,0,0,0,0,0,0,0,0,0,0,23319.09,23319.09,0,0,0,0,5651.06,37579.91,37579.91,37579.91,37579.91,167000.00,106012.77,106012.77,106012.77,74466.63,75086.63,75086.63,75086.63,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,22128360.18,13075510.90,4512736.34,3061645.12,12328437.60,3510912.18,2034177.79,988779.10,23406752.34,6401496.95,4644492.71,1986100.89,31740982.38,106851618.95,13902556.09,3576590.10,22777738.49,96588331.27,7482715.74,3198731.24,27445367.32,19004701.91,8903899.45,4288944.30,43683739.85,28881634.92,19553994.02,10664708.70,27340187.85,27121519.91,18799799.26,9048886.48,32424932.79,23877993.33,16005929.04,8455423.78,29106601.96,21423572.58,10174743.49,4453616.57,14388286.69,8908040.23,6558641.04,4966669.03,21096771.39,13609170.66,9901766.08,4101711.38,18256358.96,11634965.97,7243799.13,23426985.52,17838335.32,178127291.91,6809593.06,4847770.07,6913577.83,6785225.54,2205710.54,3775657.95,17230041.53,5610753.63,3433944.91,1953457.52,17124780.91,11368496.28,9687224.09,5539219.54,18619696.17,6376198.62,9562231.28,5598824.48,1721464.83,0.0
5,经营活动现金流入小计,2565175618.31,1816282098.71,1259170956.74,852307816.58,2013826959.69,1496534223.29,867015967.11,322055603.82,2239219302.24,1352620920.17,887931680.89,286633033.07,2130759995.14,868485686.41,469186616.58,292847803.78,2570366285.68,1581377267.50,737673644.94,225232882.67,2251721613.76,1160759117.60,934830866.71,412773097.22,1943827535.67,1034276482.92,857006088.40,289616577.67,1782972094.01,753196699.56,352526262.91,167262744.08,1493213294.75,764272736.62,639336467.62,275947277.71,1267863735.56,512449309.70,273845278.47,48672208.71,1346303927.80,905027622.38,613425148.72,223617718.37,1234227658.53,738919323.71,609216575.15,98946582.85,1630237907.66,735319902.02,454675164.92,282583258.68,1284774134.69,482217707.83,129197374.32,33512796.53,288809565.24,218499713.65,152429574.99,72619880.72,269424086.72,153379145.95,85781028.08,21537339.63,188641003.07,89149832.63,37705012.06,21408052.10,355269497.75,147408113.69,230920443.37,132937640.23,169527493.21,0.0
6,购买商品、接受劳务支付的现金,1738983610.50,1284462658.61,744861067.47,350882473.59,1065011906.09,637472030.71,319726642.90,131666239.49,1076194509.67,906641555.25,757143942.17,455868823.79,1713732806.97,1231455701.43,641216725.45,237928604.93,1180429796.57,1522776216.05,1028452739.97,480508245.90,1730009391.78,1145886576.63,731094436.07,381685492.39,1013084112.29,653267731.70,279619392.83,94692050.23,1409530929.25,707635980.92,576300105.09,155440476.66,1116873850.38,968973255.56,790179080.66,284069889.18,821574479.63,599065482.13,385110709.89,222153740.79,689181070.75,505102797.96,436328141.61,196927284.98,871565171.23,670007106.85,528138560.25,108508136.69,1152844660.09,670537698.74,480446643.76,317731684.02,922817817.01,215536457.22,84317443.65,15627823.82,159239507.18,100189019.31,70287409.68,27145555.04,126703395.85,87866997.65,62485179.96,28602196.82,162785457.02,94475762.67,77229971.69,30308061.68,161132037.28,73546837.52,182077731.32,97374718.15,72117618.14,0.0
7,支付给职工以及为职工支付的现金,658742590.26,551830863.35,391815004.59,187949197.50,777850499.83,490836109.36,318416514.48,151610014.42,824629564.01,546790831.89,364625465.34,189427048.12,828174463.00,551879243.15,373765300.22,182678967.99,801426226.65,545909371.87,362274029.78,186452542.18,790413119.22,495969955.12,334612659.24,173513102.26,815432297.30,483127729.22,317098917.71,168663708.06,647808222.47,436741447.94,313415687.93,171680567.50,569443239.29,393763393.95,250840221.62,136982761.08,296498718.96,180949963.21,127927406.94,80480701.18,187842636.88,145410932.03,99016611.82,59459895.94,167612941.46,132695222.91,91908764.00,58379992.96,161183950.26,123991025.76,85612189.75,47790817.16,123678526.94,70839211.15,39664194.49,21649836.08,56009004.93,38461594.97,26048715.22,14006865.36,49933198.36,36582921.99,28146078.77,13689182.79,46949568.54,32799144.54,20849351.75,10622368.60,31024346.92,12590828.31,18860172.14,9090261.34,8019010.78,0.0
8,支付的各项税费,34856812.36,34507220.37,34768637.60,4915533.54,15286996.50,13350399.51,11969685.05,4677792.47,48232438.12,43577369.00,39347337.80,10693954.44,28973048.60,26783776.38,23486143.34,11889002.64,30334820.16,29342615.86,23534541.66,8063896.49,10658044.59,17957811.73,14214446.37,8977184.63,14227241.28,17741384.75,13516770.79,8998564.26,34983759.81,35419516.46,31484096.41,6304925.19,23047241.37,21202337.08,18404683.44,9863494.61,32304040.18,32663573.55,25159662.35,9587177.95,28095418.41,18049616.09,13086257.50,2987156.22,21400742.64,9516620.00,9040006.36,4204530.34,15867913.50,12731198.26,10418162.73,3860504.01,7683335.48,4965746.63,3347871.24,3253091.82,12877754.08,8504175.29,7429135.85,5133052.37,12656567.21,12086580.32,8812802.59,3987909.22,8253040.68,6125861.04,4636842.43,157293.69,8133995.01,4458073.48,1591261.30,277280.04,223496.17,0.0
