,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,63138122597.15,39718214930.26,15651995593.32,75115266865.24,53020529295.45,36855566741.78,15035762871.42,78049396624.59,55253708801.07,42916854104.17,23447623395.24,90132071862.37,58180140811.47,34173409748.47,13203657287.90,76214469697.14,40927669258.27,24300490371.89,8905337641.53,34034221278.72,30334637587.71,23492583870.76,7826566582.61,31454976552.64,21814068719.27,13719220983.93,5271286829.68,18259400990.53,12909437189.15,8108487951.38,2880136361.20,15250083050.20,11590675632.17,187886874.58,64791443.53,288958989.12,177110912.37,107848699.00,29552163.02,216499786.09,132676435.56,71835322.63,24936636.93,389692298.91,214066092.37,155246652.14,75033580.14,389107647.05,274563314.84,183076684.07,64784359.92,307669210.73,208670601.82,126995704.80,60843291.41,176218005.98,128171612.92,82591310.92,39377388.32,196475014.13,152230979.17,91243153.40,46477582.33,204043161.49,155877917.87,166167072.35,0,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295313.27,3545999.82,0,0,0,794812.65,0,794812.65,0,1009230.01,1009230.01,1009230.01,0,887825.02,887825.02,557485.64,0,1323125.55,1299307.62,395946.10,0,2882117.94,0,0,0,0,0,0,0,0,467435.00,0,0.0
4,收到的其他与经营活动有关的现金,1430874974.60,1072628457.58,498708893.91,4942908022.45,1246529704.86,1230112786.66,515397249.40,3543125762.54,1460657504.78,1373095790.07,612332689.80,3725703809.36,2152637907.25,1357013405.43,208454913.14,9003966210.16,4376206224.57,1438135474.62,323585929.30,6447166142.98,1159756963.60,916347036.72,240491396.35,2044788057.51,1508622580.25,1683029110.40,482879884.53,1136288702.32,888574329.52,577574201.74,480283870.47,1387742031.31,2330837491.59,7916106.26,14150598.35,23235816.28,18028709.98,14108241.04,3942323.63,1911842.48,39049961.54,6651787.36,1494326.47,12353441.14,24923790.23,20515912.17,7659931.90,8604486.75,33026499.05,6751410.58,3707411.07,7729170.62,7606043.24,5330072.92,2567442.47,11082510.22,1598514.10,0,261689.28,9067271.95,126219.31,0,1257737.38,575887.54,381086.34,3368545.18,0,0.0
5,经营活动现金流入小计,64568997571.75,40790843387.84,16150704487.23,80058174887.69,54267059000.31,38085679528.44,15551160120.82,81592522387.13,56714366305.85,44289949894.24,24059956085.04,93857775671.73,60332778718.72,35530423153.90,13412112201.04,85218435907.30,45303875482.84,25738625846.51,9228923570.83,40481387421.70,31494394551.31,24408930907.48,8067057978.96,33499764610.15,23322691299.52,15402250094.33,5754166714.21,19395689692.85,13798011518.67,8686062153.12,3360420231.67,16637825081.51,13921513123.76,195802980.84,78942041.88,312490118.67,198685622.17,121956940.04,33494486.65,218411628.57,172521209.75,78487109.99,27225776.05,402045740.05,239999112.61,176771794.32,83702742.05,397712133.80,308477638.91,190715919.67,69049256.63,315398381.35,217599770.61,133625085.34,63806679.98,187300516.20,132652244.96,82591310.92,39639077.60,205542286.08,152357198.48,91243153.40,47735319.71,204619049.03,156259004.21,170003052.53,0,0.0
6,购买商品、接受劳务支付的现金,78682530700.99,42821392978.72,21167432049.03,58370480173.25,40943944698.03,29061640622.26,14310407528.38,70962496116.65,60691113091.72,33902281929.09,17841410615.65,66160878175.69,48278149023.81,31019560428.43,12021127904.42,61362254187.54,31889061261.41,19452588346.47,7491259933.56,35549968985.30,28261327485.60,20751700636.31,7685303176.48,31546049235.68,20320102885.95,13222937046.33,4999862008.54,15054443527.32,10993180073.33,6265433693.53,2140718621.02,12688227306.84,8471935268.54,134403410.29,51110906.88,202668077.09,123200992.46,80300523.60,27281982.65,141020349.34,80226268.13,48406954.27,12845940.31,302061997.85,153266499.91,110955774.92,64862707.68,309463789.60,202986755.48,136346838.74,55619105.70,200613540.19,128602099.18,68612469.38,37470986.38,126328112.42,95784074.87,53924846.55,28032340.91,153240848.33,128715836.31,76454905.27,38691480.47,118523704.97,83531015.59,104897113.82,0,0.0
7,支付给职工以及为职工支付的现金,7694430657.15,5712813069.48,3524957798.46,12212872228.59,9075729176.68,7270983247.10,4236124099.54,8277783127.35,6305368208.54,4457953566.40,2817645964.68,4634350682.73,3438287840.74,2253993063.21,1338039944.17,3064428472.58,2428327307.09,1935332314.44,861481905.40,2190176530.68,1564817395.15,1061509957.06,621712875.68,1064796435.57,776126767.92,515003231.88,321080946.52,800408136.50,554242915.23,397790481.86,227947011.16,337460166.23,247040877.59,12557602.35,6235683.87,17755663.84,9486795.64,5887154.74,3284400.72,12437816.15,8585727.62,5883487.56,3114247.73,26318308.38,18693865.64,12426073.07,7636587.34,34403674.34,23370819.43,17223117.88,10584276.98,26463968.94,17304754.00,10637566.74,4993297.19,16598260.17,11875908.94,8392684.58,5004411.62,16228087.43,12620884.49,8218621.77,4269469.61,13598079.85,9555051.87,11239433.99,0,0.0
8,支付的各项税费,15090187626.56,9926187626.56,4868545762.06,10674959851.75,9851953624.55,7261255810.70,4325958410.70,11012111210.70,9902643820.76,7988247277.14,3568186914.33,8805390064.16,7807745898.07,6307128500.90,3241040928.69,6367033879.74,6409361304.77,4660902928.66,2106640276.84,3714930886.65,3328771572.63,2477419464.52,977393150.47,2561248295.83,2014588934.03,1463167165.35,686586560.30,1501804271.80,1332277483.97,1077566718.56,395844533.47,885494457.93,713930402.98,6706365.87,3553072.02,8231678.47,5374858.26,3812258.06,2903729.03,3468270.88,2545271.43,700129.87,227353.19,15814581.04,14614526.06,6489841.88,1001455.79,5005732.35,9373762.50,6957108.25,5006601.95,6503016.64,3364395.11,1818132.96,495683.45,8526475.70,10179872.68,7138844.67,3413953.17,42147668.65,10749533.14,6045502.05,2092520.58,13856508.92,9876153.48,17036830.25,0,0.0
