,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010930,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,6138630629.92,4183253314.34,2717153515.70,6756250008.57,3794926207.88,2608474094.42,771484031.23,7630978829.66,5558755767.25,3777742619.84,1686159096.71,8906869091.13,4841348703.00,2836102281.00,1717635982.00,6414302129.00,4184874714.00,2671669145.00,1197846672.00,6578020980.00,5363990619.00,3508277684.00,1677833586.00,6174308746.00,4791515054.00,2828058840.00,1116346429.00,4877591352.00,3874571480.00,2609245818.00,911133551.00,6083677363.00,4395666368.00,2005191539.00,1049183787.00,4089523612.00,2769997414.00,1987414134.00,884336447.00,3646195021.00,2613973470.00,1737346188.00,666724831.00,3920523586.00,2824280842.00,1860210872.00,922156051.00,3169558616.00,2393750174.00,1345208804.00,691723479.00,2573062095.00,1810047251.00,1125002995.00,496696802.00,2646370999.00,1858995792.00,1147886053.00,525244995.00,2105279930.00,1421993938.00,870579466.00,367915438.00,1633306496.00,1143848112.00,758970454.00,343059064.00,1440432282.00,451878453.00,792574490.00,590096069.00,741297457.00,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752500.00,0,0,0,0,0,0,0,0,38100.00,38100.00,38100.00,0,203200.00,0,0,0,118700.00,118700.00,118700.00,118700.00,273000.00,273000.00,0,0,344200.00,344200.00,344200.00,0,491200.00,491200.00,491200.00,491200.00,222300.00,222300.00,222300.00,222300.00,434600.00,0,0,0,0,0,0,19600000.00,4835000.00,0.0
4,收到的其他与经营活动有关的现金,602835447.68,421915702.99,49996655.86,1009775538.57,386649193.24,335516613.42,296102513.97,373618559.37,149106005.81,54542179.16,10952109.17,1563566433.77,1340979577.00,1334063646.00,374594939.00,729630018.00,171010761.00,103160801.00,79864522.00,355717418.00,408404011.00,529573229.00,363910041.00,514231699.00,291309709.00,281594594.00,58460138.00,252552463.00,230707616.00,198537296.00,194801676.00,208091932.00,136585997.00,85364391.00,112998448.00,66340756.00,92661307.00,51467410.00,47592625.00,97949830.00,93219602.00,70280643.00,10897816.00,115571957.00,13657692.00,14899352.00,4815551.00,73842584.00,25609535.00,9512171.00,4705411.00,51182808.00,12383858.00,8250819.00,6021555.00,33538919.00,23692426.00,12807865.00,16521459.00,44065903.00,24929801.00,12348750.00,4964660.00,36820281.00,17326261.00,7942074.00,4216894.00,26226085.00,11920793.00,28129955.00,18711159.00,28153917.00,0.0
5,经营活动现金流入小计,6741466077.60,4605169017.33,2767150171.56,7766025547.14,4181575401.12,2943990707.84,1067586545.20,8004597389.03,5707861773.06,3832284799.00,1697111205.88,10470435524.90,6182328280.00,4170165927.00,2092230921.00,7143932147.00,4355885475.00,2774829946.00,1277711194.00,6933738398.00,5772394630.00,4037850913.00,2041743627.00,6688540445.00,5082824763.00,3109653434.00,1176559067.00,5130143815.00,4105279096.00,2807783114.00,1105935227.00,6291769295.00,4532252365.00,2090555930.00,1162182235.00,4155902468.00,2862696821.00,2038919644.00,931929072.00,3744348051.00,2707193072.00,1807626831.00,677622647.00,4036214243.00,2838057234.00,1875228924.00,927090302.00,3243674200.00,2419632709.00,1354720975.00,696428890.00,2624589103.00,1822775309.00,1133598014.00,502718357.00,2680401118.00,1883179418.00,1161185118.00,542257654.00,2149568133.00,1447146039.00,883150516.00,373102398.00,1670561377.00,1161174373.00,766912528.00,347275958.00,1466658367.00,463799246.00,840304445.00,628407228.00,774286374.00,0.0
6,购买商品、接受劳务支付的现金,498843258.18,272971727.12,173232972.02,1042063596.43,377439125.85,289422407.41,228200130.75,1335690955.43,1025593345.62,821527855.81,605987972.62,1109587525.76,842577933.00,762727003.00,329059137.00,1382274372.00,1193044368.00,812351505.00,510791441.00,2086259668.00,3886397189.00,2575757999.00,1276758281.00,3105633182.00,2312377025.00,1412034792.00,739396198.00,2283742118.00,1239482983.00,862210722.00,478886684.00,2087366086.00,1494466767.00,529345708.00,292338057.00,964272293.00,622147862.00,471064525.00,278554290.00,963595160.00,795679188.00,578889088.00,241920896.00,1140587861.00,980525206.00,723028673.00,274642294.00,872681203.00,763707070.00,459356191.00,237763673.00,765271729.00,386607280.00,311421765.00,145452552.00,966602889.00,675723564.00,428672686.00,196157028.00,620130161.00,425581922.00,203933164.00,100846084.00,541202635.00,418743579.00,239868413.00,72857307.00,377969896.00,22893094.00,53688019.00,21407628.00,57998662.00,0.0
7,支付给职工以及为职工支付的现金,798805124.69,444201423.89,229580859.90,1049353273.16,584446241.26,311875696.80,157746435.62,831550105.94,577609400.49,395159010.68,159922736.06,783851217.56,551601543.00,0,154456209.00,708740916.00,495554363.00,309990781.00,140553189.00,654252750.00,465789734.00,314521823.00,125833796.00,601936774.00,376092720.00,253332524.00,117526693.00,495852360.00,327583718.00,233917093.00,130468615.00,466893062.00,285543628.00,144684158.00,79299856.00,281891884.00,194766196.00,132745873.00,58794832.00,271111693.00,147256398.00,104518578.00,47924206.00,242385523.00,157869029.00,102939172.00,54206612.00,189176886.00,121909126.00,81505114.00,43223670.00,145790266.00,89698281.00,67109778.00,29784001.00,147021039.00,100535166.00,69766714.00,29349203.00,105279010.00,78219888.00,50909199.00,24988074.00,94099894.00,64915995.00,49162690.00,27517584.00,86362775.00,31835038.00,46923032.00,35319860.00,29205579.00,0.0
8,支付的各项税费,962186382.34,754312021.41,487131509.43,1349816439.37,1205914489.63,974252244.15,258895160.00,1492864490.10,1150058847.96,843013281.94,359012357.95,1540758736.75,1226061721.00,924401636.00,324044151.00,1468191235.00,1181425644.00,866477234.00,371998130.00,1381917195.00,1109867327.00,849435431.00,332927193.00,1032996529.00,806538832.00,572698735.00,192527764.00,934874599.00,765401968.00,558733678.00,199992993.00,962848784.00,810499666.00,408044664.00,144962468.00,576113641.00,490974700.00,360706324.00,120712551.00,569580102.00,465424310.00,386242715.00,120867281.00,617007723.00,522119902.00,435897180.00,206085110.00,587741569.00,441367238.00,365862110.00,177952314.00,510894462.00,388790603.00,314199479.00,163708378.00,411779986.00,340217942.00,232756286.00,122935190.00,399092729.00,278909304.00,174126677.00,88814170.00,202183688.00,193290024.00,108586831.00,51937332.00,230236555.00,80967860.00,102726294.00,68908966.00,64712512.00,0.0
