,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,3956903993.96,2714905025.18,998613437.94,4921557166.15,3254460700.37,2040641681.56,862278804.16,3669977493.74,2449356267.93,1901405439.41,661664007.81,3056287961.78,1579169953.75,1331091122.45,527314957.81,2312474207.87,1530391640.41,1198729739.72,414948866.75,2947351513.36,3318546932.01,2772382298.60,1184959954.39,4473141231.18,5528397366.03,3214320337.56,1002245062.64,1943086327.93,1686433677.41,1226082988.44,404110661.24,3167590129.36,3736780003.55,1409423274.53,601558039.91,2937136459.23,2159192205.29,1654940651.59,504486671.25,2001893314.85,1402362399.94,889199243.85,228709566.13,1557632638.20,1256716160.11,929367806.95,391271337.78,1283819315.33,1443760793.55,1055209192.58,438983577.49,1175919340.99,1149341705.29,807075997.04,256745060.83,1016907054.85,725007485.43,566366336.12,231380443.22,1599030084.15,1012069870.15,747885379.24,294955334.22,1807274119.68,1103089428.81,814617262.70,362824933.98,1370697246.52,0,0.0
3,收到的税费返还,0,0,0,0,0,0,0,0,8476680.81,0,0,0,2490859.03,1353644.44,1083724.38,81832.04,0,0,0,730605.54,730605.54,730605.54,0,19149182.59,12381043.45,4980263.15,4821559.52,28854956.08,17690947.05,1145346.19,3459765.75,5448150.62,5572458.55,0,0,0,0,0,0,0,0,0,0,0,5097512.81,5097512.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,42473247.05,27096326.76,17933518.30,46210099.23,18045523.15,16186823.66,11445471.40,65183962.80,67607165.77,40308861.63,22442932.96,340895950.37,141427275.75,123715300.36,117841729.96,66329989.56,48692071.00,11123107.64,5701014.61,30511404.83,8852605.02,22977411.06,16346248.90,68750600.01,49465484.02,38660249.27,38121560.52,98582011.23,131677600.23,85277721.24,16557991.91,128544411.92,102851545.14,2066651.97,1194553.10,4311633.69,1004381.98,15140318.80,317142.83,9194540.96,25010288.09,1254483.70,200596.43,1443000.00,79648502.71,1849669.39,7753881.12,1337230.50,7751740.22,3844280.25,1960839.16,6253900.18,3770155.18,0,803146.83,73385.31,4726911.03,1517145.33,806138.55,2591930.93,1569685.86,1416792.92,43380241.50,2256836.51,2015866.84,2015866.84,2015866.84,305130.47,0,0.0
5,经营活动现金流入小计,3999377241.01,2742001351.94,1016546956.24,4967767265.38,3272506223.52,2056828505.22,873724275.56,3735161456.54,2525440114.51,1941714301.04,684106940.77,3397183912.15,1723088088.53,1456160067.25,646240412.15,2378886029.47,1579083711.41,1209852847.36,420649881.36,2978593523.73,3328130142.57,2796090315.20,1201306203.29,4561041013.78,5590243893.50,3257960849.98,1045188182.68,2070523295.24,1835802224.69,1312506055.87,424128418.90,3301582691.90,3845204007.24,1411489926.50,602752593.01,2941448092.92,2160196587.27,1670080970.39,504803814.08,2011087855.81,1427372688.03,890453727.55,228910162.56,1559075638.20,1341462175.63,936314989.15,399025218.90,1285156545.83,1451512533.77,1059053472.83,440944416.65,1182173241.17,1153111860.47,807075997.04,257548207.66,1016980440.16,729734396.46,567883481.45,232186581.77,1601622015.08,1013639556.01,749302172.16,338335575.72,1819530956.19,1105105295.65,816633129.54,364840800.82,1371002376.99,0,0.0
6,购买商品、接受劳务支付的现金,2682705060.68,1934063232.47,862595174.21,4339882894.20,1806444565.09,1010084010.39,584569464.71,2805211187.84,2047332317.48,1670201445.24,563693587.75,1998210538.40,689473192.40,540423057.24,245237509.33,1007834821.41,1005817650.24,927493644.60,768857500.35,2166696628.92,2203638927.23,2137531049.94,915593381.86,3212978657.88,4785924847.53,3092678353.40,1031795324.08,642064427.63,737853664.65,405438681.27,422974168.37,2126934697.93,3512215952.05,1216348943.75,784331487.58,2353284880.49,1584678156.75,1380389396.19,444505800.27,1175792207.07,711170451.27,411274439.44,129198869.29,1401878227.48,1099108274.92,713259659.98,164245590.74,1256214471.83,1395827844.23,843017074.03,322125450.03,898735474.03,930009647.84,661987658.19,164954398.56,729280371.43,526053875.66,390124982.14,181585217.22,1664641630.86,1216902816.94,759415010.20,241593270.88,1811874684.97,915053563.01,599496365.53,284287401.42,1119824781.51,0,0.0
7,支付给职工以及为职工支付的现金,273428441.75,188950514.34,92432501.92,366577154.84,271855233.79,183967656.60,89125145.10,349323961.69,259138597.01,178620550.38,92934645.07,304329960.06,264242841.83,151537505.92,85512269.82,354675752.76,307550663.02,207951396.16,86002570.91,381074743.75,311461448.98,199451868.69,81924261.68,316193152.33,215266934.62,140952269.77,55216051.29,236626430.19,181726660.97,119702948.28,53577377.83,247997048.38,150237899.03,44452742.75,23423936.58,85680670.70,56326816.14,38305173.04,15313484.28,57897149.75,47631120.64,29100179.29,12069536.61,51929323.67,43886276.21,29564263.73,13927631.45,40944625.58,29338871.42,18415329.59,8862857.72,33534466.10,23787936.15,17639800.48,7551439.00,24223861.36,14850113.48,7086183.79,2313826.18,23393749.99,15649421.27,12474289.34,6719647.67,50160645.28,37361482.10,31529555.87,25240203.08,27508760.10,0,0.0
8,支付的各项税费,180490819.90,125299511.83,82811276.05,183202232.10,152819994.57,122451029.83,55554651.49,202811687.89,166806415.23,121893571.07,50945435.15,135858679.91,110354964.31,60886016.19,19478344.27,142070733.74,104861540.21,57683957.23,30962649.53,208201003.44,187328866.92,152473820.86,65652513.44,221658406.28,173329967.96,108983909.73,27353216.37,136761834.19,129020445.41,68978375.77,26932605.26,243120350.88,228911649.06,71498185.16,9325841.97,117784433.08,100017382.00,60979801.97,20873932.92,88919543.63,63663862.01,27687097.45,5019718.44,42390046.26,41188591.92,26477112.01,12044639.37,53216831.12,44761738.70,36190087.95,3388571.29,64409179.57,50972964.26,33780383.60,4287047.94,56489061.68,52076911.64,47186973.51,15813320.77,33964742.63,39198144.44,34448126.59,9310650.29,44645070.19,41674014.55,34134401.06,15315486.15,62033896.95,0,0.0
9,支付的其他与经营活动有关的现金,221484401.63,196470484.73,70082061.35,472480271.45,292590505.83,201476341.94,64677658.21,331792656.52,254630530.08,170506461.04,46085721.63,269592416.12,248195148.15,146863340.85,61959274.72,356623954.42,242611647.51,172554614.05,56271436.20,463474515.81,300400824.33,220849221.37,110959169.36,344351892.96,241518322.09,157728975.02,50317019.94,289315270.59,253357414.99,170993841.55,44535783.56,410571315.35,127284747.35,56609880.52,8046089.32,71833008.00,29050567.13,37306861.54,8360515.71,71749664.08,16173944.93,15304997.65,3919144.16,47368574.21,23677145.07,13242429.11,7828321.10,40440495.00,21724778.66,28041274.71,5673025.82,42813534.72,20686512.22,5821836.06,6055247.43,27402020.01,35997708.89,23093437.46,10086217.01,31238273.20,26984631.65,17949282.22,52024950.67,40748879.96,22922454.45,17369219.15,11466933.40,32381441.89,0,0.0
10,经营活动现金流出小计,3358108723.96,2444783743.37,1107921013.53,5362142552.59,2523710299.28,1517979038.76,793926919.51,3689139493.94,2727907859.80,2141222027.73,753659389.60,2707991594.49,1312266146.69,899709920.20,412187398.14,1861205262.33,1660841500.98,1365683612.04,942094156.99,3219446891.92,3002830067.46,2710305960.86,1174129326.34,4095182109.45,5416040072.20,3500343507.92,1164681611.68,1304767962.60,1301958186.02,765113846.87,548019935.02,3028623412.54,4018650247.49,1388909752.18,825127355.45,2628582992.27,1770072922.02,1516981232.74,489053733.18,1394358564.53,838639378.85,483366713.83,150207268.50,1543566171.62,1207860288.12,782543464.83,198046182.66,1390816423.53,1491653233.01,925663766.28,340049904.86,1039492654.42,1025457060.47,719229678.33,182848132.93,837395314.48,628978609.67,467491576.90,209798581.18,1753238396.68,1298735014.30,824286708.35,309648519.51,1947429280.40,1017011514.11,682529541.61,336310024.05,1241748880.45,0,0.0
